d0_date,stock_code,stock_name,market,sector,industry,stock_type,d0_open,d0_high,d0_low,d0_close,d0_volume,d0_prev_close,d0_pct_change,d0_trading_value_proxy_eok,d0_volume_vs_20d,d0_value_vs_20d,d0_upper_shadow_ratio,d0_lower_shadow_ratio,d0_range_pct,d0_volume_rank,d0_value_rank,signal_date,trading_day_age,source_layer,watch_days,duplicate_active_event_dropped,signal_prev_close,entry_1500_available,entry_1500_price,entry_1500_dt,signal_volume_to_1500,rsi14_signal_1500,signal_minute_rows_to_1500,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,pool_f_base,pool_f_refined_d0,pool_signal_balanced,daily3_active_score
2026-05-06,001200,유진투자증권,KOSPI,금융 지원 서비스업,"유가증권 매매,중개,인수",COMMON,6440,6570,6040,6400,10249766,5980.0,7.0234113712374535,655.985024,3.627386622735004,3.941592025924078,0.24528301886792453,0.6792452830188679,8.774834437086088,37.0,153.0,2026-05-21,10,ACTIVE_WATCHLIST,10,False,5210.0,True,5220.0,2026-05-21 15:00:00,797479.0,41.66666666666667,350,0.19193857965451588,-18.437499999999996,-20.547945205479458,7.7804605490505825,True,False,False,32.75
2026-05-08,001440,대한전선,KOSPI,절연선 및 케이블 제조업,"전력선,통신케이블,적산계기,스텐레스압연제품,광케이블,초고압선,알루미늄 제조,도매/전기공사",COMMON,63000,74800,62700,72300,20346622,64100.0,12.792511700468022,14710.607706,1.2786221487204192,1.9147762532219492,0.2066115702479339,0.024793388429752067,19.298245614035082,14.0,5.0,2026-05-21,8,ACTIVE_WATCHLIST,10,False,53200.0,True,56300.0,2026-05-21 15:00:00,4646074.0,58.33333333333333,361,5.827067669172936,-22.130013831258644,-24.732620320855613,22.83462090169071,False,False,False,47.25
2026-05-06,001510,SK증권,KOSPI,금융 지원 서비스업,"증권업,부동산 임대",COMMON,5600,6000,5350,5640,109253515,5190.0,8.670520231213864,6161.898246,5.765648225777399,6.237487181341667,0.5538461538461539,0.38461538461538464,12.149532710280365,2.0,15.0,2026-05-21,10,ACTIVE_WATCHLIST,10,False,3820.0,True,3935.0,2026-05-21 15:00:00,8261005.0,50.0,361,3.010471204188492,-30.230496453900713,-34.416666666666664,7.561317363564917,False,False,False,42.75
2026-05-15,001740,SK네트웍스,KOSPI,기타 전문 도매업,"정보통신 유통, 자동차 관리, 글로벌 트레이딩, 호텔&리조트",COMMON,8250,9900,7400,8720,70864974,7900.0,10.379746835443049,6179.4257328,20.60907524662156,26.844194211737737,0.472,0.34,33.7837837837838,2.0,15.0,2026-05-21,3,ACTIVE_WATCHLIST,10,False,8200.0,True,8250.0,2026-05-21 15:00:00,11389721.0,38.46153846153846,361,0.6097560975609762,-5.389908256880737,-16.666666666666664,16.07242669700267,False,False,False,43.5
2026-05-14,001780,알루코,KOSPI,1차 비철금속 제조업,"알루미늄제품,샷시 제조",COMMON,2720,3170,2720,2900,13615035,2720.0,6.617647058823528,394.836015,1.8066346100315573,1.69664493369557,0.6,0.0,16.544117647058833,22.0,204.0,2026-05-21,4,ACTIVE_WATCHLIST,10,False,2545.0,True,2535.0,2026-05-21 14:59:00,972591.0,50.0,355,-0.39292730844793233,-12.586206896551722,-20.03154574132492,7.14350715954825,False,False,False,29.25
2026-05-15,003280,흥아해운,KOSPI,해상 운송업,외항화물운송업(케미컬탱커),COMMON,2730,3070,2630,2740,83601287,2730.0,0.366300366300365,2290.6752638,2.7207934435341965,2.49165788388498,0.75,0.22727272727272727,16.730038022813698,1.0,47.0,2026-05-21,3,ACTIVE_WATCHLIST,10,False,2560.0,True,2445.0,2026-05-21 15:00:00,8550179.0,40.0,361,-4.4921875,-10.766423357664234,-20.35830618892508,10.227329395060629,False,False,False,36.5
2026-05-06,003470,유안타증권,KOSPI,금융 지원 서비스업,"유가증권 매매,중개,대리,인수",COMMON,6790,7830,6120,7830,33014902,6030.0,29.850746268656714,2585.0668266,19.318339978865914,26.393198623547324,0.0,0.391812865497076,27.941176470588225,10.0,42.0,2026-05-21,10,ACTIVE_WATCHLIST,10,False,5820.0,True,5780.0,2026-05-21 15:00:00,1262390.0,33.33333333333333,358,-0.6872852233676952,-26.181353767560665,-26.181353767560665,3.8236975533048683,False,False,False,39.75
2026-05-06,003530,한화투자증권,KOSPI,금융 지원 서비스업,"유가증권 위탁매매,자기매매,인수주선",COMMON,8900,9880,8400,9370,38051827,8190.0,14.407814407814401,3565.4561899,10.096323187183756,12.231083551944987,0.34459459459459457,0.33783783783783783,17.619047619047624,8.0,28.0,2026-05-21,10,ACTIVE_WATCHLIST,10,False,6580.0,True,6720.0,2026-05-21 15:00:00,2399524.0,35.71428571428572,361,2.127659574468077,-28.28175026680897,-31.983805668016196,6.305936374618754,False,False,False,42.75
2026-05-12,004710,한솔테크닉스,KOSPI,전자부품 제조업,"백라이트유닛,인버터,폴리바리콘,모니터,통신장비 제조",COMMON,13800,15500,12810,14580,10888055,14140.0,3.111739745403108,1587.478419,3.5557214462934956,5.853332786127463,0.3420074349442379,0.3680297397769517,20.9992193598751,36.0,82.0,2026-05-21,6,ACTIVE_WATCHLIST,10,False,13840.0,True,15170.0,2026-05-21 15:00:00,992597.0,66.66666666666666,361,9.609826589595372,4.046639231824423,-2.1290322580645116,9.11638488233206,True,False,False,57.75
2026-05-14,005880,대한해운,KOSPI,해상 운송업,"외항화물운송,국제해운대리점",COMMON,2405,2600,2400,2550,16870110,2385.0,6.91823899371069,430.187805,0.6603775412895234,0.6195135071582653,0.25,0.025,8.333333333333325,15.0,198.0,2026-05-21,4,ACTIVE_WATCHLIST,10,False,2500.0,True,2465.0,2026-05-21 15:00:00,6842464.0,41.66666666666667,361,-1.4000000000000012,-3.3333333333333326,-5.192307692307696,40.55968811110301,True,False,True,60.25
