d0_date,v2_r1_cell,v2_r1_light,v2_r1_score,v2_r1_case_key,v2_r1_reason,v2_r2_cell,v2_r2_light,v2_r2_score,v2_r2_case_key,v2_r2_reason,v2_r3_cell,v2_r3_light,v2_r3_score,v2_r3_case_key,v2_r3_reason,hybrid_r1_cell,hybrid_r1_light,hybrid_r1_score,hybrid_r1_case_key,hybrid_r1_reason,hybrid_r2_cell,hybrid_r2_light,hybrid_r2_score,hybrid_r2_case_key,hybrid_r2_reason,hybrid_r3_cell,hybrid_r3_light,hybrid_r3_score,hybrid_r3_case_key,hybrid_r3_reason,v2_green,v2_red,hybrid_green,hybrid_red,v2_avg_down,hybrid_avg_down,date_verdict,current_v2_count,hybrid_count,overlap_count,current_only_count,hybrid_only_count,overlap_codes,current_only_codes,hybrid_only_codes
2025-05-16,🟢 아스테라시스 (450950),GREEN,3.0,V2|2025-05-16|R1|450950,+3 먼저 / -2 먼저 / +5 도달 / 점심 양호,🟢 두산에너빌리티 (034020),GREEN,7.0,V2|2025-05-16|R2|034020,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 폴라리스AI파마 (041910),RED,-13.0,V2|2025-05-16|R3|041910,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🔴 LG에너지솔루션 (373220),RED,-3,HYBRID_D0_RISK_FILTER|2025-05-16|R1|373220,+2 먼저 / -3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,🔴 포스코퓨처엠 (003670),RED,0,HYBRID_D0_RISK_FILTER|2025-05-16|R2|003670,+3 먼저 / -1 먼저 / -5 도달 / -10 도달 / D1 종가 양호,🔴 대상 (001680),RED,-8,HYBRID_D0_RISK_FILTER|2025-05-16|R3|001680,-3 먼저 / -5 도달,2.0,1.0,0.0,3.0,-5.86023397365626,-8.528268787242451,V2 공격 우세,3,3,0,3,3,,034020|041910|450950,001680|003670|373220
2025-05-19,🟢 아스테라시스 (450950),GREEN,7.0,V2|2025-05-19|R1|450950,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 하림 (136480),RED,-14.0,V2|2025-05-19|R2|136480,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🟢 두산에너빌리티 (034020),GREEN,7.0,V2|2025-05-19|R3|034020,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 LG에너지솔루션 (373220),RED,-10,HYBRID_D0_RISK_FILTER|2025-05-19|R1|373220,-3 먼저 / -5 도달 / D1 종가 -3 이하,🔴 포스코퓨처엠 (003670),RED,-14,HYBRID_D0_RISK_FILTER|2025-05-19|R2|003670,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 SK이노베이션 (096770),RED,-11,HYBRID_D0_RISK_FILTER|2025-05-19|R3|096770,+1 먼저 / -3 먼저 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,2.0,1.0,0.0,3.0,-8.063673269241113,-9.648457769080743,V2 공격 우세,3,3,0,3,3,,034020|136480|450950,003670|096770|373220
2025-05-20,🔴 하림 (136480),RED,4.0,V2|2025-05-20|R1|136480,+3 먼저 / +5 도달 / -5 도달 / D1 종가 양호 / 점심 양호,🟢 두산에너빌리티 (034020),GREEN,7.0,V2|2025-05-20|R2|034020,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 랩지노믹스 (084650),GREEN,7.0,V2|2025-05-20|R3|084650,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 포스코퓨처엠 (003670),RED,-7,HYBRID_D0_RISK_FILTER|2025-05-20|R1|003670,+1 먼저 / -3 먼저 / -5 도달,🔴 SK이노베이션 (096770),RED,-4,HYBRID_D0_RISK_FILTER|2025-05-20|R2|096770,+1 먼저 / -3 먼저,🟠 CJ제일제당 (097950),ORANGE,-3,HYBRID_D0_RISK_FILTER|2025-05-20|R3|097950,-2 먼저,2.0,1.0,0.0,2.0,-1.8970933856951326,-5.244614595748065,V2 공격 우세,3,3,0,3,3,,034020|084650|136480,003670|096770|097950
2025-05-21,🔴 하림 (136480),RED,-1.0,V2|2025-05-21|R1|136480,+3 먼저 / -5 도달 / D1 종가 -3 이하,🟢 랩지노믹스 (084650),GREEN,7.0,V2|2025-05-21|R2|084650,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 세진중공업 (075580),RED,2.0,V2|2025-05-21|R3|075580,+3 먼저 / +5 도달 / -5 도달,🔴 포스코퓨처엠 (003670),RED,-4,HYBRID_D0_RISK_FILTER|2025-05-21|R1|003670,+2 먼저 / -3 먼저 / +5 도달 / -5 도달,🔴 SK이노베이션 (096770),RED,-4,HYBRID_D0_RISK_FILTER|2025-05-21|R2|096770,-3 먼저 / D1 종가 양호,🔴 SK바이오팜 (326030),RED,-5,HYBRID_D0_RISK_FILTER|2025-05-21|R3|326030,-3 먼저,1.0,2.0,0.0,3.0,-5.69311917803127,-4.947657110780308,V2 공격 우세,3,3,0,3,3,,075580|084650|136480,003670|096770|326030
2025-05-22,🔴 휴마시스 (205470),RED,-14.0,V2|2025-05-22|R1|205470,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 랩지노믹스 (084650),RED,-14.0,V2|2025-05-22|R2|084650,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 셀리드 (299660),RED,-13.0,V2|2025-05-22|R3|299660,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 -3 이하,🟢 SK텔레콤 (017670),GREEN,4,HYBRID_D0_RISK_FILTER|2025-05-22|R1|017670,+2 먼저 / 점심 양호,🔴 SK이노베이션 (096770),RED,-8,HYBRID_D0_RISK_FILTER|2025-05-22|R2|096770,-3 먼저 / +5 도달 / D1 종가 -3 이하 / 점심 -3 이하,🟢 한국타이어앤테크놀로지 (161390),GREEN,5,HYBRID_D0_RISK_FILTER|2025-05-22|R3|161390,+3 먼저 / D1 종가 양호,0.0,3.0,2.0,1.0,-18.44666038255512,-1.7088840421830012,HYBRID 방어 우세,3,3,0,3,3,,084650|205470|299660,017670|096770|161390
2025-05-23,🔴 휴마시스 (205470),RED,3.0,V2|2025-05-23|R1|205470,+3 먼저 / +5 도달 / -5 도달 / 점심 양호,🔴 랩지노믹스 (084650),RED,4.0,V2|2025-05-23|R2|084650,+3 먼저 / +5 도달 / -5 도달 / D1 종가 양호 / 점심 양호,🔴 셀리드 (299660),RED,-7.0,V2|2025-05-23|R3|299660,-3 먼저 / +5 도달 / -5 도달 / -10 도달 / D1 종가 양호,🟢 메리츠금융지주 (138040),GREEN,6,HYBRID_D0_RISK_FILTER|2025-05-23|R1|138040,+3 먼저 / +5 도달 / D1 종가 양호,🟢 포스코인터내셔널 (047050),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-23|R2|047050,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 CJ제일제당 (097950),GREEN,4,HYBRID_D0_RISK_FILTER|2025-05-23|R3|097950,+3 먼저 / -1 먼저 / D1 종가 양호,0.0,3.0,3.0,0.0,-10.633009697413861,-0.7358695748757212,HYBRID 방어 우세,3,3,0,3,3,,084650|205470|299660,047050|097950|138040
2025-05-26,🟢 피아이이 (452450),GREEN,7.0,V2|2025-05-26|R1|452450,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 휴마시스 (205470),RED,-9.0,V2|2025-05-26|R2|205470,+2 먼저 / -3 먼저 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 랩지노믹스 (084650),RED,-10.0,V2|2025-05-26|R3|084650,+2 먼저 / -3 먼저 / +5 도달 / -5 도달 / -10 도달,🟢 SK바이오팜 (326030),GREEN,5,HYBRID_D0_RISK_FILTER|2025-05-26|R1|326030,+3 먼저 / D1 종가 양호,🟢 CJ제일제당 (097950),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-26|R2|097950,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 HL만도 (204320),GREEN,4,HYBRID_D0_RISK_FILTER|2025-05-26|R3|204320,+3 먼저 / -1 먼저 / +5 도달,1.0,2.0,3.0,0.0,-6.758302011539752,-0.42360238915573795,HYBRID 방어 우세,3,3,0,3,3,,084650|205470|452450,097950|204320|326030
2025-05-27,🔴 피아이이 (452450),RED,3.0,V2|2025-05-27|R1|452450,+3 먼저 / +5 도달 / -5 도달 / 점심 양호,🔴 삼성중공업 (010140),RED,-2.0,V2|2025-05-27|R2|010140,+2 먼저 / -3 먼저 / +5 도달 / 점심 양호 / D1 종가 -3 이하,🟢 태웅 (044490),GREEN,7.0,V2|2025-05-27|R3|044490,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 메리츠금융지주 (138040),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-27|R1|138040,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 고려아연 (010130),GREEN,6,HYBRID_D0_RISK_FILTER|2025-05-27|R2|010130,+3 먼저 / -1 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 한국타이어앤테크놀로지 (161390),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-27|R3|161390,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,1.0,2.0,3.0,0.0,-3.3334146557235544,-0.6958096082177456,HYBRID 방어 우세,3,3,0,3,3,,010140|044490|452450,010130|138040|161390
2025-05-28,🔴 MDS테크 (086960),RED,-1.0,V2|2025-05-28|R1|086960,+3 먼저 / -2 먼저 / +5 도달 / -5 도달,🔴 피아이이 (452450),RED,1.0,V2|2025-05-28|R2|452450,+3 먼저 / -5 도달,🔴 애경케미칼 (161000),RED,-11.0,V2|2025-05-28|R3|161000,-3 먼저 / +5 도달 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 한화비전 (489790),RED,-3,HYBRID_D0_RISK_FILTER|2025-05-28|R1|489790,+2 먼저 / -3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,🔴 고려아연 (010130),RED,-2,HYBRID_D0_RISK_FILTER|2025-05-28|R2|010130,+1 먼저 / -3 먼저 / D1 종가 양호 / 점심 양호,🟢 SKC (011790),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-28|R3|011790,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,0.0,3.0,1.0,2.0,-7.9984431447319295,-4.820050596697178,HYBRID 방어 우세,3,3,0,3,3,,086960|161000|452450,010130|011790|489790
2025-05-29,🔴 MDS테크 (086960),RED,-9.0,V2|2025-05-29|R1|086960,-3 먼저 / +5 도달 / -5 도달 / D1 종가 -3 이하,🔴 애경케미칼 (161000),RED,-2.0,V2|2025-05-29|R2|161000,-3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 삼성중공업 (010140),GREEN,7.0,V2|2025-05-29|R3|010140,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🔴 한화비전 (489790),RED,-10,HYBRID_D0_RISK_FILTER|2025-05-29|R1|489790,-3 먼저 / -5 도달 / D1 종가 -3 이하,🟢 한화솔루션 (009830),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-29|R2|009830,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 오리온 (271560),GREEN,2,HYBRID_D0_RISK_FILTER|2025-05-29|R3|271560,+1 먼저 / 점심 양호,1.0,2.0,2.0,1.0,-3.7022060271217456,-3.294746329686556,HYBRID 방어 우세,3,3,0,3,3,,010140|086960|161000,009830|271560|489790
