case_key,d0_date,d1_date,version_key,version_label_ko,compare_group,candidate_group_dashboard,raw_rank,rank_label,code,name,stock_label,market,sector,industry,regime,candidate_source,source_score,entry_time_1500,entry_price_1500,traffic_light,traffic_icon,traffic_score,traffic_reason,plus1_touch,plus2_touch,plus3_touch,plus5_touch,plus10_touch,minus1_touch,minus2_touch,minus3_touch,minus5_touch,minus10_touch,plus1_first,plus2_first,plus3_first,minus1_first,minus2_first,minus3_first,first_touch_1v1,first_touch_time_1v1,first_touch_2v2,first_touch_time_2v2,first_touch_3v3,first_touch_time_3v3,max_gain_d1d5_from_1500,max_loss_d1d5_from_1500,d5_last_price_return_from_1500,d5_last_time,d1_close_return_pct,lunch_1200_return_pct,tp2_sl3_return_pct,tp3_sl3_return_pct,tp3_sl2_return_pct,recommended_exit_condition_mode,recommended_exit_lunch_mode,d0_ret_pct,d0_gap_pct,d0_upper_shadow_pct,d0_range_pct,d0_trading_value_eok,d0_value_vs_20d,d0_close_vs_ma20_pct,overheat_score,health_score,regime_score,event_risk_note,research_note,d1d5_dates,d1d5_minute_ready,price_scale_anomaly_flag,display_name,rank
V2|2025-07-02|R2|064260,2025-07-02,2025-07-03,V2,기존 V2 기록후보,CURRENT_WEBHOOK_V2_TOP3,BASE_V2_TOP3,2,R2,064260,다날,다날 (064260),KOSDAQ,소프트웨어 개발 및 공급업,모바일콘텐츠 및 유무선전화결제,bull,BASE_V2,74.1173,2025-07-02 15:00:00,6830.0,GREEN,🟢,7,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,PROFIT_FIRST,2025-07-03 09:00:00,PROFIT_FIRST,2025-07-03 09:00:00,PROFIT_FIRST,2025-07-03 09:00:00,52.562225475841885,-2.342606149341142,34.114202049780374,2025-07-09 15:30:00,1.024890190336758,2.489019033674955,2.0000000000000018,3.0000000000000027,3.0000000000000027,TP3_SL3_FB1200,LUNCH_1200,-8.163265306122447,-1.904761904761909,4.022191400832176,13.98176291793314,1087.5585825,1.2979515890410935,15.035575816965618,0.1590801021014967,1.0,0.55,,현행 V2 비교 기준. 운영 산식 변경 없음.,2025-07-03|2025-07-04|2025-07-07|2025-07-08|2025-07-09,True,False,기존 V2 기록후보,2
V2|2025-07-02|R3|263050,2025-07-02,2025-07-03,V2,기존 V2 기록후보,CURRENT_WEBHOOK_V2_TOP3,BASE_V2_TOP3,3,R3,263050,유틸렉스,유틸렉스 (263050),KOSDAQ,기초 의약물질 제조업,"면역항암 세포치료제, 면역항암 항체치료제",bull,BASE_V2,73.4043,2025-07-02 15:00:00,2755.0,RED,🔴,-14,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,LOSS_FIRST,2025-07-03 09:00:00,LOSS_FIRST,2025-07-03 09:00:00,LOSS_FIRST,2025-07-03 09:00:00,-0.5444646098003658,-16.69691470054446,-3.8112522686025385,2025-07-09 15:30:00,-9.255898366606175,-3.8112522686025385,-3.0000000000000027,-3.0000000000000027,-2.0000000000000018,TP3_SL3_FB1200,LUNCH_1200,1.8587360594795488,-2.9739776951672847,2.189781021897818,16.182572614107894,33.927091,1.1981063764483129,64.77734010884927,0.1621816262841031,1.0,0.55,,현행 V2 비교 기준. 운영 산식 변경 없음.,2025-07-03|2025-07-04|2025-07-07|2025-07-08|2025-07-09,True,False,기존 V2 기록후보,3
V2|2025-07-03|R1|376900,2025-07-03,2025-07-04,V2,기존 V2 기록후보,CURRENT_WEBHOOK_V2_TOP3,BASE_V2_TOP3,1,R1,376900,로킷헬스케어,로킷헬스케어 (376900),KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,장기 재생 플랫폼,bull,BASE_V2,79.8352,2025-07-03 15:00:00,19160.0,RED,🔴,-14,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,LOSS_FIRST,2025-07-04 09:00:00,LOSS_FIRST,2025-07-04 09:00:00,LOSS_FIRST,2025-07-04 09:01:00,-0.6784968684759862,-11.221294363256783,-9.185803757828817,2025-07-10 15:30:00,-6.10647181628392,-4.749478079331936,-2.9999999999999916,-2.9999999999999916,-2.0000000000000018,TP3_SL3_FB1200,LUNCH_1200,27.12765957446808,0.0664893617021267,1.935146443514646,31.334231805929917,2348.7181992,4.234188845578206,25.63656076485856,0.5848496971901761,0.85,0.55,,현행 V2 비교 기준. 운영 산식 변경 없음.,2025-07-04|2025-07-07|2025-07-08|2025-07-09|2025-07-10,True,False,기존 V2 기록후보,1
V2|2025-07-03|R2|038110,2025-07-03,2025-07-04,V2,기존 V2 기록후보,CURRENT_WEBHOOK_V2_TOP3,BASE_V2_TOP3,2,R2,038110,에코플라스틱,에코플라스틱 (038110),KOSDAQ,자동차 신품 부품 제조업,BUMPER 및 자동차TRIM류,bull,BASE_V2,76.9056,2025-07-03 15:00:00,3970.0,RED,🔴,-14,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,LOSS_FIRST,2025-07-04 09:00:00,LOSS_FIRST,2025-07-04 09:00:00,LOSS_FIRST,2025-07-04 09:00:00,-1.5113350125944611,-11.460957178841314,-10.957178841309824,2025-07-10 15:30:00,-5.919395465994959,-4.659949622166248,-3.0000000000000027,-3.0000000000000027,-2.0000000000000018,TP3_SL3_FB1200,LUNCH_1200,17.159763313609467,0.1479289940828465,4.671717171717171,24.287856071964026,2333.8924488,12.245833006217056,23.479887745556603,0.5208420321397487,1.0,0.55,,현행 V2 비교 기준. 운영 산식 변경 없음.,2025-07-04|2025-07-07|2025-07-08|2025-07-09|2025-07-10,True,False,기존 V2 기록후보,2
V2|2025-07-03|R3|064260,2025-07-03,2025-07-04,V2,기존 V2 기록후보,CURRENT_WEBHOOK_V2_TOP3,BASE_V2_TOP3,3,R3,064260,다날,다날 (064260),KOSDAQ,소프트웨어 개발 및 공급업,모바일콘텐츠 및 유무선전화결제,bull,BASE_V2,74.1173,2025-07-03 15:00:00,6810.0,GREEN,🟢,7,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,True,True,True,True,True,False,False,False,False,False,True,True,True,False,False,False,PROFIT_FIRST,2025-07-04 09:00:00,PROFIT_FIRST,2025-07-04 09:00:00,PROFIT_FIRST,2025-07-04 09:00:00,53.01027900146842,3.3773861967694607,34.50807635829663,2025-07-10 15:30:00,24.37591776798824,21.732745961820843,2.0000000000000018,3.0000000000000027,3.0000000000000027,TP3_SL3_FB1200,LUNCH_1200,2.2222222222222143,3.25925925925925,9.182209469153513,14.092953523238382,1240.587984,1.3798715746706902,14.238410596026483,0.2403581987428296,1.0,0.55,,현행 V2 비교 기준. 운영 산식 변경 없음.,2025-07-04|2025-07-07|2025-07-08|2025-07-09|2025-07-10,True,False,기존 V2 기록후보,3
V2|2025-07-04|R1|064260,2025-07-04,2025-07-07,V2,기존 V2 기록후보,CURRENT_WEBHOOK_V2_TOP3,BASE_V2_TOP3,1,R1,064260,다날,다날 (064260),KOSDAQ,소프트웨어 개발 및 공급업,모바일콘텐츠 및 유무선전화결제,bull,BASE_V2,87.3701,2025-07-04 15:00:00,8670.0,GREEN,🟢,7,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,True,True,True,True,True,True,False,False,False,False,True,True,True,False,False,False,PROFIT_FIRST,2025-07-07 09:00:00,PROFIT_FIRST,2025-07-07 09:00:00,PROFIT_FIRST,2025-07-07 09:01:00,20.184544405997684,-1.9607843137254943,0.6920415224913601,2025-07-11 15:30:00,11.995386389850049,15.224913494809677,2.0000000000000018,3.0000000000000027,3.0000000000000027,TP3_SL3_FB1200,LUNCH_1200,22.75362318840579,4.7826086956521685,3.7780401416765086,24.85795454545454,4289.3465692,3.875989762402895,34.706373504035625,0.5208259772675569,1.0,0.55,,현행 V2 비교 기준. 운영 산식 변경 없음.,2025-07-07|2025-07-08|2025-07-09|2025-07-10|2025-07-11,True,False,기존 V2 기록후보,1
V2|2025-07-04|R2|376900,2025-07-04,2025-07-07,V2,기존 V2 기록후보,CURRENT_WEBHOOK_V2_TOP3,BASE_V2_TOP3,2,R2,376900,로킷헬스케어,로킷헬스케어 (376900),KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,장기 재생 플랫폼,bull,BASE_V2,79.8352,2025-07-04 15:00:00,17930.0,RED,🔴,-7,+1 먼저 / -3 먼저 / -5 도달,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True,PROFIT_FIRST,2025-07-07 09:00:00,LOSS_FIRST,2025-07-07 09:03:00,LOSS_FIRST,2025-07-07 09:15:00,3.1232571109871765,-5.131065253764644,-2.732849972113771,2025-07-11 15:30:00,-0.9481316229782433,-1.5616285554935883,-3.0000000000000027,-3.0000000000000027,-1.9999999999999907,TP3_SL3_FB1200,LUNCH_1200,-5.910041841004188,-1.673640167364021,1.223404255319149,6.9702079820123775,366.4947986,0.6452749393094441,17.110959216222366,0.0706343802999441,1.0,0.55,,현행 V2 비교 기준. 운영 산식 변경 없음.,2025-07-07|2025-07-08|2025-07-09|2025-07-10|2025-07-11,True,False,기존 V2 기록후보,2
V2|2025-07-04|R3|201490,2025-07-04,2025-07-07,V2,기존 V2 기록후보,CURRENT_WEBHOOK_V2_TOP3,BASE_V2_TOP3,3,R3,201490,미투온,미투온 (201490),KOSDAQ,소프트웨어 개발 및 공급업,소셜 카지노 게임,bull,BASE_V2,78.5052,2025-07-04 15:00:00,5690.0,GREEN,🟢,7,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,True,True,True,True,True,False,False,False,False,False,True,True,True,False,False,False,PROFIT_FIRST,2025-07-07 09:00:00,PROFIT_FIRST,2025-07-07 09:00:00,PROFIT_FIRST,2025-07-07 09:00:00,27.592267135325123,1.0544815465729274,5.272407732864681,2025-07-11 15:30:00,7.557117750439368,4.569420035149374,2.0000000000000018,3.0000000000000027,3.0000000000000027,TP3_SL3_FB1200,LUNCH_1200,17.647058823529417,2.839756592292097,3.275862068965507,20.766129032258075,1081.240002,1.9734008041672335,19.597492576707356,0.3731239779234125,0.65,0.55,ZERO_VALUE_OHLCV_OBSERVED; ZERO_VALUE_OHLCV_OBSERVED,현행 V2 비교 기준. 운영 산식 변경 없음.,2025-07-07|2025-07-08|2025-07-09|2025-07-10|2025-07-11,True,False,기존 V2 기록후보,3
V2|2025-07-07|R1|064260,2025-07-07,2025-07-08,V2,기존 V2 기록후보,CURRENT_WEBHOOK_V2_TOP3,BASE_V2_TOP3,1,R1,064260,다날,다날 (064260),KOSDAQ,소프트웨어 개발 및 공급업,모바일콘텐츠 및 유무선전화결제,bull,BASE_V2,87.3701,2025-07-07 15:00:00,9720.0,RED,🔴,-13,+1 먼저 / -3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,True,PROFIT_FIRST,2025-07-08 09:00:00,LOSS_FIRST_SAME_BAR,2025-07-08 09:01:00,LOSS_FIRST,2025-07-08 09:01:00,2.366255144032925,-16.56378600823045,-15.432098765432102,2025-07-14 15:30:00,-6.68724279835391,-5.1440329218107035,-3.0000000000000027,-3.0000000000000027,-2.0000000000000018,TP3_SL3_FB1200,LUNCH_1200,14.639905548996456,4.132231404958686,7.312049433573642,19.632606199770382,4306.9199239,3.3559161923179355,48.35752482811306,0.4396550378182945,1.0,0.55,,현행 V2 비교 기준. 운영 산식 변경 없음.,2025-07-08|2025-07-09|2025-07-10|2025-07-11|2025-07-14,True,False,기존 V2 기록후보,1
V2|2025-07-07|R2|376900,2025-07-07,2025-07-08,V2,기존 V2 기록후보,CURRENT_WEBHOOK_V2_TOP3,BASE_V2_TOP3,2,R2,376900,로킷헬스케어,로킷헬스케어 (376900),KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,장기 재생 플랫폼,bull,BASE_V2,79.8352,2025-07-07 15:00:00,17620.0,RED,🔴,2,+3 먼저 / -1 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,True,True,True,False,False,True,True,True,True,False,False,True,True,True,False,False,LOSS_FIRST,2025-07-08 09:03:00,PROFIT_FIRST,2025-07-08 09:06:00,PROFIT_FIRST,2025-07-08 09:08:00,3.575482406356412,-5.788876276958,-5.675368898978439,2025-07-14 15:30:00,1.53234960272417,1.8728717366628844,2.0000000000000018,3.0000000000000027,3.0000000000000027,TP3_SL3_FB1200,LUNCH_1200,-1.27848804891606,1.4452473596442417,1.315068493150684,6.878612716763,240.414456,0.4175977525196931,14.326177218449264,0.0621234207508787,1.0,0.55,,현행 V2 비교 기준. 운영 산식 변경 없음.,2025-07-08|2025-07-09|2025-07-10|2025-07-11|2025-07-14,True,False,기존 V2 기록후보,2
