month,version_key,version_label_ko,sample_n,days_with_pick,green,yellow,orange,red,avg_score,avg_max_up,avg_max_down,avg_d1_close,avg_lunch_1200,green_rate,red_rate
2025-04,V2,기존 V2 기록후보,6,2,0,0,0,6,-12.166666666666666,5.271351691628245,-21.820361930724516,-10.411568304637408,-7.914034966806695,0.0,1.0
2025-05,V2,기존 V2 기록후보,57,19,18,0,0,39,-2.3508771929824563,12.403276358908574,-9.21665464850953,-0.3343568190059454,-0.2307901133557895,0.3157894736842105,0.6842105263157895
2025-06,V2,기존 V2 기록후보,57,19,18,0,0,39,-2.807017543859649,13.398656907791889,-7.834231522023086,1.4411110691633373,0.5037471414080803,0.3157894736842105,0.6842105263157895
2025-07,V2,기존 V2 기록후보,69,23,15,0,0,54,-4.333333333333333,10.413024995897144,-9.59091100735612,0.090563497569194,0.3921696460043467,0.217391304347826,0.782608695652174
2025-08,V2,기존 V2 기록후보,60,20,22,0,0,38,-2.05,9.139355132868925,-6.554269821013426,-0.236258835944947,0.3624199871798757,0.3666666666666666,0.6333333333333333
2025-09,V2,기존 V2 기록후보,66,22,20,0,0,46,-1.7424242424242424,13.275200677050732,-7.281579199318,0.486797130459727,0.2809135743335072,0.303030303030303,0.696969696969697
2025-10,V2,기존 V2 기록후보,54,18,25,0,0,29,0.0,15.362173160898278,-5.004323105178179,2.3781351236411856,2.7605499644974465,0.4629629629629629,0.5370370370370371
2025-11,V2,기존 V2 기록후보,60,20,17,0,0,43,-2.75,14.793343262053812,-7.989763468951761,0.2997450724604536,0.573632784017348,0.2833333333333333,0.7166666666666667
2025-12,V2,기존 V2 기록후보,63,21,24,0,0,39,-1.238095238095238,17.747720484791753,-7.95273951110762,1.2496238315866866,1.374019973287527,0.3809523809523809,0.6190476190476191
2026-01,V2,기존 V2 기록후보,63,21,24,0,0,39,-0.6349206349206349,16.5037721519149,-6.45398727761164,0.597587307612646,0.859787076008453,0.3809523809523809,0.6190476190476191
2026-02,V2,기존 V2 기록후보,51,17,12,0,0,39,-3.4901960784313726,14.312089253440226,-12.994267512562642,-0.3192473256835705,-0.1213129117179011,0.2352941176470588,0.7647058823529411
2026-03,V2,기존 V2 기록후보,63,21,17,0,0,46,-2.746031746031746,18.35173144553356,-11.820967070249038,0.3255276267159065,0.4953152586163331,0.2698412698412698,0.7301587301587301
2026-04,V2,기존 V2 기록후보,66,22,21,0,0,45,-1.9545454545454544,22.78175589144005,-7.785288606211125,0.3981616543446374,0.0359152927155372,0.3181818181818182,0.6818181818181818
2026-05,V2,기존 V2 기록후보,18,6,9,0,0,9,-0.8888888888888888,14.87818852334246,-8.139070166204132,1.166995633041247,1.4608408524497145,0.5,0.5
