effective_as_of_date,model_name,window_id,window_label,sample_status,n_d5_eligible_rows,cum_d5_plus13_touch_rate,cum_d5_minus2_touch_rate,cum_d5_plus13_before_minus2_rate,cum_d5_minus2_before_plus13_rate,avg_ret_d5_close,median_ret_d5_close,cum_d5_avg_mfe_pct,cum_d5_avg_mae_pct,partial_window
2026-05-27,BASELINE_EOD_VALUE_TOP3,EXPANDING,누적,OK,825,89.33333333333333,71.75757575757575,45.93939393939394,22.3030303030303,1.798361258751622,0.37735849056603765,11.679289260797969,-7.269582593834001,False
2026-05-27,BASELINE_EOD_VALUE_TOP3,ROLLING_120TD,최근 6개월(120거래일),OK,345,91.59420289855072,79.13043478260869,34.492753623188406,22.608695652173914,3.1387078250239147,0.23121387283238093,15.282615323338394,-8.812703682601509,False
2026-05-27,BASELINE_EOD_VALUE_TOP3,ROLLING_20TD,최근 1개월(20거래일),MEDIUM_SAMPLE,45,86.66666666666667,84.44444444444444,26.666666666666668,33.33333333333333,0.6593765692799815,-5.633802816901412,16.552456793677372,-12.136716473964675,False
2026-05-27,BASELINE_EOD_VALUE_TOP3,ROLLING_60TD,최근 3개월(60거래일),OK,165,88.48484848484848,81.81818181818183,29.09090909090909,25.454545454545453,3.591094785796192,-1.5486725663716783,18.376917690212352,-10.149602150762808,False
