period_type,period_key,period_start,period_end,v3_variant,rows,complete_d1_rows,complete_d5_rows,signal_days,avg_d1_close_return_pct,avg_d5_close_return_pct,median_d5_close_return_pct,d5_close_win_rate_pct,avg_mfe_d1_d5_pct,avg_mae_d1_d5_pct,plus13_touch_d1_rate_pct,plus13_touch_d2_rate_pct,plus13_touch_d3_rate_pct,plus13_touch_d4_rate_pct,plus13_touch_d5_rate_pct,cumulative_plus13_touch_d5_rate_pct,plus20_touch_d5_rate_pct,minus20_touch_d5_rate_pct,plus13_before_minus2_d1_rate_pct,plus13_before_minus2_d5_rate_pct,minus2_before_plus13_d5_rate_pct,same_day_ambiguous_d5_rate_pct,sample_status
year,2025,2025-04-01,2025-12-30,V3_A_CONSENSUS_WEIGHTED,552,552,552,184,1.366786514992151,2.7432220863295824,1.1258977608787468,57.427536231884055,9.133630257804626,-3.9409350920208928,68.11594202898551,62.31884057971014,62.86231884057971,61.41304347826087,60.68840579710145,89.13043478260869,82.42753623188406,60.68840579710145,50.54347826086957,59.78260869565217,21.920289855072465,18.115942028985508,OK
year,2026,2026-01-02,2026-05-28,V3_A_CONSENSUS_WEIGHTED,294,291,279,98,3.5226936653922216,8.865411661419737,2.5606469002695365,59.85663082437276,18.829205864278926,-3.994020816554723,72.85223367697594,68.40277777777779,68.0701754385965,71.63120567375887,68.45878136200717,93.1899641577061,92.1146953405018,72.75985663082437,43.6426116838488,46.236559139784944,25.448028673835125,28.31541218637993,OK
year,2025,2025-04-01,2025-12-30,V3_B_WINRATE_ORIENTED,552,552,552,184,0.599031595791578,2.1094703940290884,1.1258977608787468,57.789855072463766,8.292047400977006,-4.547894333537166,67.93478260869566,61.77536231884058,62.13768115942029,62.31884057971014,61.41304347826087,89.13043478260869,82.42753623188406,61.050724637681164,49.63768115942029,58.87681159420289,22.10144927536232,18.84057971014493,OK
year,2026,2026-01-02,2026-05-28,V3_B_WINRATE_ORIENTED,294,291,279,98,5.199469703280949,10.846493214841585,2.257336343115135,58.78136200716846,20.528646197825427,-2.193691178638896,73.19587628865979,68.40277777777779,68.0701754385965,69.8581560283688,67.74193548387096,92.1146953405018,89.96415770609319,72.40143369175627,46.391752577319586,48.74551971326165,25.448028673835125,25.806451612903224,OK
year,2025,2025-04-01,2025-12-30,V3_C_RISK_CONTROL,552,552,552,184,1.464234253629423,3.2506545837257446,1.3667756285791532,58.69565217391305,9.47481087536965,-3.6976014350807747,70.28985507246377,63.76811594202898,64.13043478260869,63.22463768115942,62.5,89.85507246376811,83.51449275362319,58.87681159420289,51.992753623188406,60.86956521739131,20.28985507246377,18.65942028985507,OK
year,2026,2026-01-02,2026-05-28,V3_C_RISK_CONTROL,294,291,279,98,3.695661830487194,8.624961303001257,2.35294117647058,59.49820788530465,18.41297548306645,-3.5747050245562595,73.8831615120275,69.79166666666666,69.47368421052632,71.63120567375887,68.81720430107528,93.54838709677419,92.1146953405018,70.25089605734766,48.10996563573883,50.89605734767025,24.372759856630825,24.731182795698924,OK
year,2025,2025-04-01,2025-12-30,V3_D_V2_CONFIRM,552,552,552,184,1.440166811903492,2.528396231986771,1.0851071166143034,56.88405797101449,8.489672341522146,-3.6838199090040415,68.11594202898551,63.04347826086957,60.68840579710145,60.86956521739131,61.050724637681164,88.94927536231883,82.06521739130434,59.96376811594203,52.17391304347826,61.41304347826087,21.73913043478261,16.666666666666664,OK
year,2026,2026-01-02,2026-05-28,V3_D_V2_CONFIRM,294,291,279,98,4.889782160346989,10.946789248823224,2.3569023569023573,60.215053763440864,19.456236982114238,-1.2175944178459197,72.5085910652921,67.01388888888889,66.66666666666666,70.56737588652481,69.53405017921148,91.0394265232975,87.09677419354838,68.81720430107528,49.48453608247423,52.68817204301075,25.089605734767023,22.22222222222222,OK
year,2025,2025-04-01,2025-12-30,V3_E_EOD_FIRST_STABLE,552,552,552,184,0.37561010425939234,1.6987393306710799,0.9948567472223058,55.2536231884058,8.773890684184288,-5.532708755070484,68.65942028985508,61.77536231884058,61.41304347826087,60.86956521739131,58.87681159420289,88.58695652173914,80.43478260869566,64.4927536231884,46.3768115942029,54.528985507246375,22.282608695652172,23.007246376811594,OK
year,2026,2026-01-02,2026-05-28,V3_E_EOD_FIRST_STABLE,294,291,279,98,2.1180768519836133,5.957623713021795,1.1228030580867188,53.40501792114696,17.242565544306377,-6.4866299277587816,73.8831615120275,67.70833333333334,67.36842105263158,65.60283687943263,64.51612903225806,91.39784946236558,89.24731182795699,76.70250896057348,40.20618556701031,41.57706093189964,25.806451612903224,32.61648745519714,OK
year,2025,2025-04-01,2025-12-30,V3_F_V2_AGGRESSIVE,552,552,552,184,1.4846903113878172,2.865889689093933,1.1859434805758462,58.333333333333336,9.177763818125639,-3.8507822502332414,67.93478260869566,63.40579710144928,62.68115942028986,62.5,61.41304347826087,88.76811594202898,81.52173913043478,60.32608695652174,50.54347826086957,59.96376811594203,21.3768115942029,18.478260869565215,OK
year,2026,2026-01-02,2026-05-28,V3_F_V2_AGGRESSIVE,294,291,279,98,5.174901889923403,10.260043655009948,2.0477815699658786,58.422939068100355,19.49660710246065,-1.5777634622817125,73.8831615120275,68.05555555555556,66.66666666666666,69.50354609929079,67.38351254480287,91.39784946236558,87.81362007168458,69.89247311827957,48.797250859106526,51.971326164874554,23.655913978494624,24.372759856630825,OK
