v3_variant,success_metric,signal_days,complete_signal_days,avg_success_count,zero_success_day_rate,two_or_more_success_day_rate,three_success_day_rate
V3_A_CONSENSUS_WEIGHTED,plus13_before_minus2_success_count,282,277,1.6570397111913358,16.967509025270758,59.56678700361011,23.104693140794225
V3_A_CONSENSUS_WEIGHTED,plus13_touch_count,282,277,2.7148014440433212,0.7220216606498195,96.38989169675091,75.81227436823104
V3_B_WINRATE_ORIENTED,plus13_before_minus2_success_count,282,277,1.6642599277978338,16.967509025270758,59.92779783393502,23.465703971119133
V3_B_WINRATE_ORIENTED,plus13_touch_count,282,277,2.703971119133574,0.7220216606498195,96.38989169675091,74.72924187725631
V3_C_RISK_CONTROL,plus13_before_minus2_success_count,282,277,1.7256317689530687,15.162454873646208,61.371841155234655,26.353790613718413
V3_C_RISK_CONTROL,plus13_touch_count,282,277,2.732851985559567,1.444043321299639,96.38989169675091,78.33935018050542
V3_D_V2_CONFIRM,plus13_before_minus2_success_count,282,277,1.7545126353790614,15.162454873646208,64.25992779783394,26.353790613718413
V3_D_V2_CONFIRM,plus13_touch_count,282,277,2.6895306859205776,0.7220216606498195,94.22382671480143,75.45126353790613
V3_E_EOD_FIRST_STABLE,plus13_before_minus2_success_count,282,277,1.5054151624548737,20.577617328519857,49.09747292418773,22.021660649819495
V3_E_EOD_FIRST_STABLE,plus13_touch_count,282,277,2.6859205776173285,1.083032490974729,96.028880866426,73.6462093862816
V3_F_V2_AGGRESSIVE,plus13_before_minus2_success_count,282,277,1.7184115523465704,14.801444043321299,62.8158844765343,23.826714801444044
V3_F_V2_AGGRESSIVE,plus13_touch_count,282,277,2.6895306859205776,0.7220216606498195,95.30685920577618,74.36823104693141
