period_type,period_key,period_start,period_end,v3_variant,rows,complete_d1_rows,complete_d5_rows,signal_days,avg_d1_close_return_pct,avg_d5_close_return_pct,median_d5_close_return_pct,d5_close_win_rate_pct,avg_mfe_d1_d5_pct,avg_mae_d1_d5_pct,plus13_touch_d1_rate_pct,plus13_touch_d2_rate_pct,plus13_touch_d3_rate_pct,plus13_touch_d4_rate_pct,plus13_touch_d5_rate_pct,cumulative_plus13_touch_d5_rate_pct,plus20_touch_d5_rate_pct,minus20_touch_d5_rate_pct,plus13_before_minus2_d1_rate_pct,plus13_before_minus2_d5_rate_pct,minus2_before_plus13_d5_rate_pct,same_day_ambiguous_d5_rate_pct,sample_status
overall,native_full_range,2025-04-01,2026-05-28,V3_A_CONSENSUS_WEIGHTED,846,843,831,282,2.1109964565893287,4.798686456305698,1.4884979702300516,58.24308062575211,12.388823511963867,-3.9587580970087846,69.7508896797153,64.40476190476191,64.63560334528077,64.86810551558753,63.29723225030084,90.49338146811071,85.67990373044525,64.74127557160048,48.16132858837485,55.23465703971119,23.104693140794225,21.540312876052948,OK
overall,native_full_range,2025-04-01,2026-05-28,V3_B_WINRATE_ORIENTED,846,843,831,282,2.1870831844978733,5.042839066720648,1.3542409123307175,58.12274368231047,12.400363964539833,-3.757493996333053,69.7508896797153,64.04761904761904,64.15770609318996,64.86810551558753,63.537906137184116,90.1323706377858,84.95788206979543,64.86161251504213,48.517200474495844,55.47533092659447,23.225030084235858,21.179302045728036,OK
overall,native_full_range,2025-04-01,2026-05-28,V3_C_RISK_CONTROL,846,843,831,282,2.2345135239326392,5.0550247096918905,1.6455696202531733,58.96510228640193,12.475710906112619,-3.656340185337887,71.53024911032028,65.83333333333333,65.94982078853047,66.06714628297362,64.62093862815884,91.0950661853189,86.40192539109506,62.69554753309266,50.65243179122183,57.52105896510229,21.660649819494584,20.697954271961493,OK
overall,native_full_range,2025-04-01,2026-05-28,V3_D_V2_CONFIRM,846,843,831,282,2.630959298732742,5.354788111285652,1.3542409123307175,58.00240673886883,12.171587545764257,-2.8558091845357914,69.63226571767497,64.40476190476191,62.72401433691756,64.14868105515588,63.898916967509024,89.65102286401925,83.75451263537906,62.936221419975936,51.245551601423486,58.48375451263538,22.86401925391095,18.531889290012032,OK
overall,native_full_range,2025-04-01,2026-05-28,V3_E_EOD_FIRST_STABLE,846,843,831,282,0.9771021844346571,3.1286174807021863,1.0224948875255713,54.632972322503,11.61716419317835,-5.852978318464029,70.46263345195729,63.8095238095238,63.44086021505376,62.47002398081535,60.770156438026476,89.53068592057761,83.39350180505414,68.59205776173285,44.246737841043895,50.18050541516246,23.465703971119133,26.233453670276774,OK
overall,native_full_range,2025-04-01,2026-05-28,V3_F_V2_AGGRESSIVE,846,843,831,282,2.7585355893876455,5.348403475484508,1.379310344827589,58.36341756919374,12.642213007451112,-3.087638758249515,69.98813760379596,65.0,64.03823178016727,64.86810551558753,63.41756919374247,89.65102286401925,83.63417569193743,63.537906137184116,49.940688018979834,57.28038507821901,22.14199759326113,20.45728038507822,OK
