period_type,period_key,period_start,period_end,v3_variant,rows,complete_d1_rows,complete_d5_rows,signal_days,avg_d1_close_return_pct,avg_d5_close_return_pct,median_d5_close_return_pct,d5_close_win_rate_pct,avg_mfe_d1_d5_pct,avg_mae_d1_d5_pct,plus13_touch_d1_rate_pct,plus13_touch_d2_rate_pct,plus13_touch_d3_rate_pct,plus13_touch_d4_rate_pct,plus13_touch_d5_rate_pct,cumulative_plus13_touch_d5_rate_pct,plus20_touch_d5_rate_pct,minus20_touch_d5_rate_pct,plus13_before_minus2_d1_rate_pct,plus13_before_minus2_d5_rate_pct,minus2_before_plus13_d5_rate_pct,same_day_ambiguous_d5_rate_pct,sample_status,overlap_group
overlap_group,EOD_HUMAN,2025-04-02,2026-05-19,V3_A_CONSENSUS_WEIGHTED,252,252,252,252,1.1673225878088973,4.77233975761764,1.8335960672100637,58.730158730158735,12.420857547336968,-5.525237617539348,67.06349206349206,66.26984126984127,65.87301587301587,65.07936507936508,62.698412698412696,88.09523809523809,82.93650793650794,64.28571428571429,41.269841269841265,50.79365079365079,22.61904761904762,26.190476190476193,OK,EOD_HUMAN
overlap_group,EOD_ONLY_OR_WITH_SECONDARY,2025-04-02,2026-05-28,V3_A_CONSENSUS_WEIGHTED,172,169,157,152,0.6160447717264911,1.3561900121167167,1.5614522463837543,57.961783439490446,10.202333098170078,-6.037023965084435,70.41420118343196,62.048192771084345,62.57668711656442,62.5,62.42038216560509,89.80891719745223,84.07643312101911,64.96815286624204,46.74556213017752,56.05095541401274,23.56687898089172,20.382165605095544,OK,EOD_ONLY_OR_WITH_SECONDARY
overlap_group,EOD_V2,2025-04-30,2026-04-28,V3_A_CONSENSUS_WEIGHTED,44,44,44,41,0.45917219941870707,1.4170805179495662,1.0013530841108231,54.54545454545454,10.51210794970258,-6.717037368313103,84.0909090909091,61.36363636363637,61.36363636363637,63.63636363636363,61.36363636363637,93.18181818181817,90.9090909090909,68.18181818181817,50.0,50.0,15.909090909090908,34.090909090909086,LOW_SAMPLE,EOD_V2
overlap_group,EOD_V2_HUMAN,2025-06-11,2026-04-17,V3_A_CONSENSUS_WEIGHTED,7,7,7,7,2.638616925853525,8.015284922694862,7.0574162679425845,57.14285714285714,19.00137136567881,-7.963496420029051,71.42857142857143,85.71428571428571,71.42857142857143,71.42857142857143,57.14285714285714,85.71428571428571,85.71428571428571,57.14285714285714,57.14285714285714,57.14285714285714,28.57142857142857,14.285714285714285,VERY_LOW_SAMPLE,EOD_V2_HUMAN
overlap_group,OTHER_MULTI,2025-05-14,2026-05-19,V3_A_CONSENSUS_WEIGHTED,11,11,11,11,-1.1642533589260433,3.2011508212928748,-2.0146520146520186,36.36363636363637,14.84970276127079,-8.118393377620917,54.54545454545454,63.63636363636363,72.72727272727273,63.63636363636363,54.54545454545454,90.9090909090909,90.9090909090909,72.72727272727273,36.36363636363637,36.36363636363637,45.45454545454545,18.181818181818183,VERY_LOW_SAMPLE,OTHER_MULTI
overlap_group,OTHER_SINGLE,2025-04-01,2026-05-19,V3_A_CONSENSUS_WEIGHTED,28,28,28,17,-0.3512497855385714,2.8344903797677974,-0.0031736452176800434,50.0,12.03597921534766,-7.046034507371195,71.42857142857143,60.71428571428571,71.42857142857143,64.28571428571429,64.28571428571429,92.85714285714286,89.28571428571429,78.57142857142857,39.285714285714285,39.285714285714285,28.57142857142857,32.142857142857146,LOW_SAMPLE,OTHER_SINGLE
overlap_group,V2_ONLY_OR_WITH_SECONDARY,2025-04-29,2026-05-14,V3_A_CONSENSUS_WEIGHTED,332,332,332,240,4.112232048322451,7.045542371842473,1.3922312848259732,59.93975903614458,13.456004344427644,-0.9387648312347134,69.87951807228916,64.45783132530121,64.1566265060241,65.96385542168674,64.7590361445783,92.16867469879519,87.34939759036145,63.25301204819277,54.81927710843374,60.8433734939759,22.89156626506024,16.265060240963855,OK,V2_ONLY_OR_WITH_SECONDARY
overlap_group,EOD_HUMAN,2025-04-02,2026-05-19,V3_B_WINRATE_ORIENTED,250,250,250,250,1.0991688504457457,4.769054051532193,1.8335960672100637,58.8,12.18864039411431,-5.464494138159499,66.4,66.0,65.60000000000001,64.8,62.8,87.6,82.39999999999999,64.4,40.8,50.4,23.200000000000003,26.0,OK,EOD_HUMAN
overlap_group,EOD_ONLY_OR_WITH_SECONDARY,2025-04-02,2026-05-28,V3_B_WINRATE_ORIENTED,169,166,154,148,0.9712405504514205,2.2005469785495007,1.5454320055448223,57.7922077922078,10.159479954055518,-5.2738196899067,71.6867469879518,60.73619631901841,61.875,63.69426751592356,65.5844155844156,90.25974025974025,84.4155844155844,64.93506493506493,47.59036144578313,55.84415584415584,23.376623376623375,20.77922077922078,OK,EOD_ONLY_OR_WITH_SECONDARY
overlap_group,EOD_V2,2025-04-30,2026-04-28,V3_B_WINRATE_ORIENTED,44,44,44,41,0.45917219941870707,1.4170805179495662,1.0013530841108231,54.54545454545454,10.51210794970258,-6.717037368313103,84.0909090909091,61.36363636363637,61.36363636363637,63.63636363636363,61.36363636363637,93.18181818181817,90.9090909090909,68.18181818181817,50.0,50.0,15.909090909090908,34.090909090909086,LOW_SAMPLE,EOD_V2
