v3_variant,rows,mean_d5_return,median_d5_return,mean_vs_median_gap,max_winner_return,worst_trade,top1_trade_contribution_to_total_return,top5_trade_contribution_to_total_return,loss_rate_pct
V3_A_CONSENSUS_WEIGHTED,831,4.798686456305698,1.4884979702300516,3.3101884860756465,614.6676852559206,-34.65703971119134,15.414057815518866,42.67373996930473,40.55354993983153
V3_B_WINRATE_ORIENTED,831,5.042839066720648,1.3542409123307175,3.688598154389931,645.9415584415584,-34.58725182863114,15.41406175298244,45.6822558838441,40.794223826714806
V3_C_RISK_CONTROL,831,5.0550247096918905,1.6455696202531733,3.4094550894387172,614.6676852559206,-34.65703971119134,14.632417193575256,40.50977191822574,40.07220216606498
V3_D_V2_CONFIRM,831,5.354788111285652,1.3542409123307175,4.000547198954934,645.9415584415584,-28.211805555555557,14.516098708174981,51.613482951419186,41.03489771359807
V3_E_EOD_FIRST_STABLE,831,3.1286174807021863,1.0224948875255713,2.106122593176615,508.74524714828897,-34.65703971119134,19.568019551736533,29.293637281622743,44.163658243080626
V3_F_V2_AGGRESSIVE,831,5.348403475484508,1.379310344827589,3.969093130656919,645.9415584415584,-28.211805555555557,14.533427244425093,51.675096345506574,40.55354993983153
