strategy_key,strategy_type,rows,complete_d5_rows,signal_days,avg_d5_close_return_pct,median_d5_close_return_pct,d5_close_win_rate_pct,plus13_before_minus2_d5_rate_pct,same_day_ambiguous_d5_rate_pct
V3_A_CONSENSUS_WEIGHTED,V3_CONSENSUS,846,831,282,4.798686456305698,1.4884979702300516,58.24308062575211,55.23465703971119,21.540312876052948
V3_B_WINRATE_ORIENTED,V3_CONSENSUS,846,831,282,5.042839066720648,1.3542409123307175,58.12274368231047,55.47533092659447,21.179302045728036
V3_C_RISK_CONTROL,V3_CONSENSUS,846,831,282,5.0550247096918905,1.6455696202531733,58.96510228640193,57.52105896510229,20.697954271961493
V3_D_V2_CONFIRM,V3_CONSENSUS,846,831,282,5.354788111285652,1.3542409123307175,58.00240673886883,58.48375451263538,18.531889290012032
V3_E_EOD_FIRST_STABLE,V3_CONSENSUS,846,831,282,3.1286174807021863,1.0224948875255713,54.632972322503,50.18050541516246,26.233453670276774
V3_F_V2_AGGRESSIVE,V3_CONSENSUS,846,831,282,5.348403475484508,1.379310344827589,58.36341756919374,57.28038507821901,20.45728038507822
BELLGUARD_D0_STRICT_TOP3,LEGACY_OR_BASELINE,768,768,256,1.1878603129899132,-1.7795613486549622,41.015625,35.28645833333333,39.453125
BELLGUARD_PRICECAP_TOP3,LEGACY_OR_BASELINE,749,749,216,15.986990190182023,0.153139356814691,50.20026702269693,36.04806408544727,35.380507343124165
DAILY3_POOL_TOP3,LEGACY_OR_BASELINE,828,828,276,2.540833104908452,1.2846050979165136,56.40096618357487,46.61835748792271,27.05314009661836
EOD_ACTIVE_WATCH_LATEST_TOP3,LEGACY_OR_BASELINE,843,828,281,1.7931880080109357,0.4144128795945279,51.20772946859904,46.13526570048309,31.521739130434785
EOD_HUMAN_PROXY_A,LEGACY_OR_BASELINE,275,275,275,4.8132060689951,1.5458937198067568,56.72727272727273,50.90909090909091,25.454545454545453
EOD_MECHANICAL_TOP1,LEGACY_OR_BASELINE,275,275,275,3.2387620618175763,1.6891891891891886,59.27272727272728,52.72727272727272,22.181818181818183
LEGACY_CLASSIC_WEBHOOK_TOP3,LEGACY_OR_BASELINE,755,755,252,3.5861394185530453,-0.5154639175257714,47.81456953642384,33.50993377483444,41.4569536423841
P0_COMPARE_P0_TRADING_VALUE_TOP3,LEGACY_OR_BASELINE,753,753,251,3.2211866332198538,0.0,49.40239043824701,39.176626826029214,37.18459495351926
V2_HYBRID_HYBRID_D0_RISK_FILTER,LEGACY_OR_BASELINE,759,759,253,9.544194272246296,1.1111111111111072,55.99472990777339,57.70750988142292,16.337285902503293
V2_RECORD_V2,LEGACY_OR_BASELINE,753,753,251,23.996077155301087,-0.3348961821835194,48.20717131474104,36.38778220451528,40.50464807436919
