month,candidate_count,green_count,red_count,avg_bellguard_score,avg_d1_close,avg_mfe,avg_mae
2025-04,6,1,1,0.6171767798442135,-2.521924946940988,15.269171888345207,-16.037324242301523
2025-05,57,10,3,0.8268761017921349,1.0572368840841229,15.219696094407732,-7.0820003546314005
2025-06,57,2,5,0.8195791240483143,0.35708680184967834,10.306424082856813,-7.834857885698019
2025-07,69,9,7,0.834858737378226,-0.2078848200335948,11.430792975453588,-7.117813039484714
2025-08,60,7,5,0.8202609245828278,-0.5146872002435993,8.650219826118109,-5.724621040927041
2025-09,66,11,5,0.8319819794515299,-0.38282254130174614,10.191026878063989,-5.397848016234551
2025-10,54,7,7,0.8368698335611697,-1.340037288067463,9.487079551537715,-8.20457784084888
2025-11,60,9,5,0.7888971703655246,-0.76683595483914,8.533364170358503,-9.587503680124131
2025-12,63,6,4,0.7754491969834346,0.42061291851868443,14.819686005239447,-7.548572964035855
2026-01,63,12,6,0.8245201799106604,-0.016179831590738356,17.802732463164062,-5.828491682494656
2026-02,51,5,7,0.8261665040560211,-0.8852364604617905,14.272665530858825,-11.099898591992579
2026-03,63,13,6,0.8058561280843464,-0.3833347011936777,14.439342694244786,-10.000138087581064
2026-04,66,15,7,0.8550811236951401,0.28797757504143895,15.626067119256255,-6.075384443262964
2026-05,33,1,7,0.8225655554596439,-0.7972882578000547,9.636796572036888,-12.829159204732768
