signal_date,strategy,strategy_label,buy_day,selected_stock_count,capital_return_h5_close_pct,equity_h5_close,cum_return_h5_close_pct,drawdown_pct,selected_stock_names,recent20_risk_state,no_trade_bad_day
2025-04-02,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,-9.940526762956669,0.9005947323704333,-9.940526762956669,0.0,삼성전자,False,False
2025-04-03,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,30.534351145038173,1.1755854903461382,17.558549034613826,0.0,한텍,False,False
2025-04-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,35.36977491961415,1.5913874322692096,59.138743226920965,0.0,한텍,False,False
2025-04-07,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,47.94069192751236,2.3543095785465407,135.43095785465405,0.0,한텍,False,False
2025-04-08,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,38.226299694189606,3.2542750137707537,225.42750137707537,0.0,한텍,False,False
2025-04-09,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,30.78101071975499,4.255973754609838,325.59737546098376,0.0,한텍,False,False
2025-04-10,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,0.0,4.255973754609838,325.59737546098376,0.0,한텍,False,False
2025-04-11,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,17.961733697774296,5.0204204266600225,402.04204266600226,0.0,KBI동양철관,False,False
2025-04-14,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,14.269788182831666,5.736823787432021,473.6823787432021,0.0,KBI동양철관,False,False
2025-04-15,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,44.23963133640554,8.274773481411165,727.4773481411165,0.0,계룡건설,False,False
2025-04-16,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,12.009237875288692,9.26851071243514,826.851071243514,0.0,계룡건설,False,False
2025-04-17,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,30.202774813233724,12.06785813145237,1106.785813145237,0.0,계룡건설,False,True
2025-04-18,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,0.5415162454873723,12.133207543716553,1113.3207543716553,0.0,삼성전자,False,False
2025-04-21,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,0.7220216606498298,12.220811930313786,1122.0811930313787,0.0,삼성전자,False,False
2025-04-22,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,1.8248175182481676,12.443819447290315,1144.3819447290314,0.0,삼성전자,True,True
2025-04-23,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,4.285714285714293,12.97712599503133,1197.7125995031329,0.0,계룡건설,False,True
2025-04-24,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,-2.425876010781669,12.662317008628952,1166.2317008628952,-2.42587601078168,삼성전자,False,True
2025-04-25,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,8.105726872246688,13.688689841046452,1268.8689841046453,0.0,오리엔트정공,False,True
2025-04-28,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,14.57085828343314,15.68324943864404,1468.324943864404,0.0,오리엔트정공,True,True
2025-04-29,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,10.50988553590011,17.331541002955227,1633.1541002955228,0.0,오리엔트정공,True,True
2025-04-30,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,3.877366997294862,18.003548453926438,1700.3548453926437,0.0,삼성전자,False,False
2025-05-02,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,4.981549815498165,18.900404188716134,1790.0404188716134,0.0,삼성전자,True,False
2025-05-07,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,5.321100917431187,19.90611376940011,1890.611376940011,0.0,삼성전자,True,True
2025-05-08,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,4.94505494505495,20.890482032722094,1989.0482032722093,0.0,삼성전자,True,False
2025-05-09,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,3.555150410209662,21.63317009040319,2063.317009040319,0.0,삼성전자,True,True
2025-05-12,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,5.16759776536313,22.751085304572072,2175.108530457207,0.0,쎄크,True,True
2025-05-13,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,-0.1390820584144636,22.719442626818843,2171.944262681884,-0.13908205841446364,쎄크,True,True
2025-05-14,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,3.8381018841591175,23.591437982349227,2259.1437982349225,0.0,쎄크,True,True
2025-05-15,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,20.28301886792452,28.376493799523832,2737.6493799523832,0.0,두산에너빌리티,True,False
2025-05-16,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,9.036144578313255,30.940634805504903,2994.06348055049,0.0,나우로보틱스,True,False
2025-05-19,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,19.76911976911977,37.05732595753113,3605.7325957531125,0.0,두산에너빌리티,True,False
2025-05-20,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,14.074074074074083,42.27280146266514,4127.280146266514,0.0,두산에너빌리티,True,True
2025-05-21,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,2.051282051282044,43.13993585164289,4213.993585164289,0.0,두산에너빌리티,True,False
2025-05-22,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,10.326797385620925,47.59490961932889,4659.490961932889,0.0,두산에너빌리티,True,False
2025-05-23,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,3.4990791896869267,49.260293197169126,4826.029319716913,0.0,삼성전자,True,True
2025-05-26,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,4.8938134810710965,51.671000066467336,5067.100006646733,0.0,삼성전자,True,False
2025-05-27,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,7.037037037037042,55.307107478552076,5430.710747855208,0.0,삼성전자,True,True
2025-05-28,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,7.028753993610226,59.194508004201104,5819.450800420111,0.0,삼성중공업,True,True
2025-05-29,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,6.4056939501779375,62.98632702226381,6198.63270222638,0.0,삼성전자,True,True
2025-05-30,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,18.226600985221687,74.46659352385869,7346.659352385869,0.0,두산에너빌리티,True,False
2025-06-02,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,24.786324786324787,92.92412525199461,9192.412525199461,0.0,두산에너빌리티,True,True
2025-06-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,28.621908127208485,119.52078300963265,11852.078300963265,0.0,두산에너빌리티,True,True
2025-06-05,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,18.954248366013072,142.17504907028197,14117.504907028197,0.0,두산에너빌리티,True,True
2025-06-09,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,24.555903866248684,177.08741744177232,17608.74174417723,0.0,두산에너빌리티,True,False
2025-06-10,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,24.26778242677825,220.06260661174218,21906.26066117422,0.0,두산에너빌리티,True,False
2025-06-11,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,31.59922928709056,289.6006942501347,28860.069425013473,0.0,한화시스템,False,False
2025-06-12,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,12.132352941176473,324.7360725966584,32373.60725966584,0.0,두산에너빌리티,False,False
2025-06-13,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,9.653916211293256,356.08582095298425,35508.58209529842,0.0,두산에너빌리티,False,False
2025-06-16,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,15.294117647058814,410.54600533402885,40954.60053340288,0.0,두산에너빌리티,False,False
2025-06-17,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,18.384879725085916,486.0243946308348,48502.43946308348,0.0,두산에너빌리티,False,False
2025-06-18,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,8.401976935749577,526.860052169834,52586.0052169834,0.0,두산에너빌리티,False,False
2025-06-19,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,5.718954248366015,556.9909375063442,55599.09375063441,0.0,두산에너빌리티,False,False
2025-06-20,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,2.5295109612141653,571.0800843235367,57008.008432353665,0.0,삼성전자,False,False
2025-06-23,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,2.7491408934707806,586.7798804561425,58577.98804561424,0.0,삼성전자,False,False
2025-06-24,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,0.0831255195344882,587.2676442802955,58626.76442802955,0.0,삼성전자,False,False
2025-06-25,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,-0.7346938775510181,582.9530248529301,58195.30248529301,-0.7346938775510181,삼성전자,False,False
2025-06-26,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,5.804311774461035,616.7894359140455,61578.943591404546,0.0,삼성전자,False,False
2025-06-27,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,4.283360790774293,643.2087527736256,64220.87527736256,0.0,삼성전자,False,True
2025-06-30,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,2.747710241465451,660.8822655475888,65988.22655475888,0.0,삼성전자,False,True
2025-07-01,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,True,1,5.670103092783507,698.3549713260603,69735.49713260603,0.0,카카오페이,False,True
