signal_date,model_rank,stock_code,stock_name,human_proxy_score,signal_vs_d0_high_pct,signal_vs_d0_close_pct,signal_volume_retention_vs_d0,signal_day_pct_change_1500,trading_day_age,signal_risk_count,candidate_weak_flag_count,candidate_weak,recent20_risk_state,no_trade_bad_day,ret_h5_close,d1_plus13_before_minus2_1500,d1_minus2_before_plus13_1500
2025-04-02,1,005930,삼성전자,80.0,-1.2583892617449632,0.08503401360544505,92.38476817814221,0.08503401360544505,1,0,0,False,False,False,-9.940526762956669,0.0,1.0
2025-04-02,2,484810,티엑스알로보틱스,42.3333,-4.800000000000004,-2.6584867075664653,51.629755829927845,-2.6584867075664653,1,0,0,False,False,False,-23.529411764705888,1.0,0.0
2025-04-02,3,463480,모티브링크,77.6667,-3.407682775712517,2.2295081967213193,54.540021391902904,2.2295081967213193,1,0,0,False,False,False,-17.89608723540731,0.0,1.0
2025-04-03,1,005930,삼성전자,56.6667,-3.8590604026845665,-2.5510204081632626,123.3666139130538,-2.5510204081632626,2,0,0,False,False,False,-1.5706806282722474,1.0,0.0
2025-04-03,2,065500,오리엔트정공,61.8333,-5.690574985180796,0.12586532410321372,75.21227522316381,0.12586532410321372,1,0,0,False,False,False,-10.747957259585162,1.0,0.0
2025-04-03,3,098070,한텍,81.5,4.133545310015907,4.133545310015907,64.69297168747005,4.133545310015907,1,0,0,False,False,False,30.534351145038173,1.0,0.0
2025-04-04,1,005930,삼성전자,74.6667,-6.040268456375841,-4.761904761904767,149.00049892693863,-2.777777777777779,3,0,0,False,False,False,-1.4285714285714235,0.0,1.0
2025-04-04,2,065500,오리엔트정공,46.8333,-17.605216360403087,-12.523599748269355,106.35598885695119,-10.553410553410558,2,2,3,True,False,False,-6.402877697841724,0.0,1.0
2025-04-04,3,098070,한텍,78.5,-1.112877583465821,-1.112877583465821,32.5568831504648,-6.184012066365008,2,0,1,False,False,False,35.36977491961415,0.0,1.0
2025-04-07,1,005930,삼성전자,64.6667,-10.23489932885906,-9.013605442176875,201.2677194559688,-4.634581105169344,4,0,1,False,False,False,5.046728971962611,1.0,0.0
2025-04-07,2,065500,오리엔트정공,56.8333,-16.83461766449318,-11.705475141598487,33.73827920563524,6.529992406985574,3,1,1,False,False,False,-6.129722024233786,1.0,0.0
2025-04-07,3,098070,한텍,78.5,-3.497615262321141,-3.497615262321141,27.870841236699988,0.0,3,0,0,False,False,False,47.94069192751236,1.0,0.0
2025-04-08,1,005930,삼성전자,72.1667,-10.402684563758392,-9.183673469387754,149.9829717521814,0.3759398496240518,5,0,0,False,False,False,5.992509363295873,1.0,0.0
