signal_date,signal_month,strategy,strategy_label,selected_stock_count,selected_stock_codes,selected_stock_names,selected_ranks,recent20_risk_state,recent20_risk_reason,no_trade_bad_day,no_trade_reason,top3_stock_codes,top3_stock_names,buy_day,d1_open_return,ret_d1_close,d1_1500_return,d1_high_return,d1_low_return,ret_h5_close,h5_mfe_pct,h5_mae_pct,cum_d5_mfe_pct,cum_d5_mae_pct,d1_1500_exit_13_m2_pct,d1_1500_exit_20_m2_pct,d1_plus1_touch,d1_plus13_touch,d1_plus2_touch,d1_minus2_touch,d1_plus13_before_minus2_1500,d1_minus2_before_plus13_1500,d1_fast_fail,d1_direct_rise,h5_plus2_touch,h5_minus2_touch,cum_d5_plus13_touch,cum_d5_minus2_touch,cum_d5_plus13_before_minus2_by_day,cum_d5_minus2_before_plus13_by_day,cum_d5_same_day_ambiguous,hit_best_of_top3,hit_worst_of_top3,capital_return_h5_close_pct
2025-04-02,2025-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,005930,삼성전자,1,False,sample_not_ready;sample_under_20,False,trade_allowed,005930 | 484810 | 463480,삼성전자 | 티엑스알로보틱스 | 모티브링크,True,-3.313508920985553,-2.1240441801189447,-2.633814783347499,-1.7841971112999122,-3.313508920985553,-9.940526762956669,-1.1045029736618472,-10.11045029736618,-1.1045029736618472,-10.11045029736618,-2.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-9.940526762956669
2025-04-03,2025-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,098070,한텍,3,False,sample_not_ready;sample_under_20,False,trade_allowed,005930 | 065500 | 098070,삼성전자 | 오리엔트정공 | 한텍,True,3.053435114503822,-7.328244274809159,-5.038167938931293,5.6488549618320505,-8.702290076335872,30.534351145038173,30.534351145038173,-18.167938931297712,30.534351145038173,-18.167938931297712,1.3,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,30.534351145038173
2025-04-04,2025-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,098070,한텍,3,False,sample_not_ready;sample_under_20,False,trade_allowed,005930 | 065500 | 098070,삼성전자 | 오리엔트정공 | 한텍,True,-8.681672025723476,-4.340836012861738,-2.4115755627009627,1.7684887459807008,-13.826366559485525,35.36977491961415,43.7299035369775,-13.826366559485525,43.7299035369775,-13.826366559485525,-2.0,-2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,35.36977491961415
2025-04-07,2025-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,098070,한텍,3,False,sample_not_ready;sample_under_20,False,trade_allowed,005930 | 065500 | 098070,삼성전자 | 오리엔트정공 | 한텍,True,3.6243822075782584,6.919275123558477,7.742998352553543,11.367380560131801,0.49423393739702615,47.94069192751236,47.94069192751236,0.49423393739702615,47.94069192751236,0.4942339373970261,1.3,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,47.94069192751236
2025-04-08,2025-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,098070,한텍,2,False,sample_not_ready;sample_under_20,False,trade_allowed,005930 | 098070 | 484810,삼성전자 | 한텍 | 티엑스알로보틱스,True,11.926605504587151,0.6116207951070374,-0.1529051987767538,16.81957186544343,-2.4464831804281384,38.226299694189606,48.77675840978593,-2.4464831804281384,48.77675840978593,-2.4464831804281384,1.3,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,38.226299694189606
2025-04-09,2025-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,098070,한텍,2,False,sample_not_ready;sample_under_20;minus2_touch_ge_80;minus2_first_ge_plus13_first;median_h5_close_negative,False,trade_allowed,005930 | 098070 | 484810,삼성전자 | 한텍 | 티엑스알로보틱스,True,0.7656967840734996,30.93415007656968,24.196018376722826,30.93415007656968,-1.225114854517606,30.78101071975499,49.004594180704444,-1.225114854517606,49.00459418070445,-1.225114854517606,1.3,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,30.78101071975499
2025-04-10,2025-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,098070,한텍,2,False,sample_not_ready;sample_under_20;minus2_touch_ge_80;minus2_first_ge_plus13_first;median_h5_close_negative,False,trade_allowed,005930 | 098070 | 013580,삼성전자 | 한텍 | 계룡건설,True,3.8224414303329235,3.8224414303329235,2.71270036991369,10.234278668310726,-0.6165228113440224,0.0,19.975339087546228,-0.6165228113440224,19.975339087546228,-0.6165228113440224,1.3,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2025-04-11,2025-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,008970,KBI동양철관,3,False,sample_not_ready;sample_under_20;minus2_touch_ge_80;minus2_first_ge_plus13_first;median_h5_close_negative,False,trade_allowed,005930 | 098070 | 008970,삼성전자 | 한텍 | KBI동양철관,True,0.11714174150723178,14.2912924638813,5.076142131979688,18.937914877001162,-0.5857087075361145,17.961733697774296,39.75009761811792,-0.5857087075361145,39.75009761811792,-0.5857087075361145,1.3,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,17.961733697774296
2025-04-14,2025-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,008970,KBI동양철관,3,False,sample_not_ready;sample_under_20;minus2_touch_ge_80;median_h5_close_negative,False,trade_allowed,005930 | 098070 | 008970,삼성전자 | 한텍 | KBI동양철관,True,18.506131549609805,14.975845410628018,15.71906354515049,20.512820512820507,12.077294685990347,14.269788182831666,32.99888517279821,10.479375696767,32.99888517279821,10.479375696767,1.3,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,14.269788182831666
2025-04-15,2025-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,013580,계룡건설,3,False,sample_not_ready;sample_under_20;minus2_touch_ge_80;median_h5_close_negative,False,trade_allowed,005930 | 098070 | 013580,삼성전자 | 한텍 | 계룡건설,True,-1.6129032258064502,-0.23041474654378336,-0.23041474654378336,2.304147465437789,-2.995391705069128,44.23963133640554,44.23963133640554,-20.276497695852534,44.23963133640554,-20.27649769585253,-2.0,-2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,44.23963133640554
2025-04-16,2025-04,BEST_OF_TOP3_ORACLE,Post-outcome best of top3; reference ceiling only,1,013580,계룡건설,3,False,sample_under_20,False,trade_allowed,005930 | 098070 | 013580,삼성전자 | 한텍 | 계룡건설,True,-0.2309468822170868,-14.318706697459582,-13.441108545034641,6.235565819861422,-20.09237875288684,12.009237875288692,46.6512702078522,-20.09237875288684,46.6512702078522,-20.09237875288684,1.3,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,12.009237875288692
