strategy_key,strategy_label,strategy_family,group_type,rows,signal_days,date_min,date_max,horizon,plus_threshold_pct,minus_threshold_pct,eligible_rows,up_touch_rate_pct,down_touch_rate_pct,both_up_and_down_touch_rate_pct,up_then_close_negative_rate_pct,up_then_close_below_target_rate_pct,up_then_close_below_minus_threshold_rate_pct,final_d5_close_plus_rate_pct,final_d5_close_minus_rate_pct,d5_close_avg_pct,d5_close_median_pct
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1~D+5,1.0,-1.0,768,89.84375,89.32291666666666,79.16666666666666,48.56770833333333,52.083333333333336,43.75,37.76041666666667,53.90625,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1~D+5,1.0,-2.0,768,89.84375,82.8125,72.65625,48.56770833333333,52.083333333333336,39.453125,37.76041666666667,49.08854166666667,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1~D+5,1.0,-3.0,768,89.84375,76.69270833333334,66.53645833333334,48.56770833333333,52.083333333333336,35.02604166666667,37.76041666666667,43.88020833333333,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1~D+5,1.3,-1.0,768,88.02083333333334,89.32291666666666,77.34375,46.74479166666667,50.911458333333336,42.05729166666667,37.109375,53.90625,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1~D+5,1.3,-2.0,768,88.02083333333334,82.8125,70.96354166666666,46.74479166666667,50.911458333333336,37.76041666666667,37.109375,49.08854166666667,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1~D+5,1.3,-3.0,768,88.02083333333334,76.69270833333334,64.84375,46.74479166666667,50.911458333333336,33.46354166666667,37.109375,43.88020833333333,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1~D+5,2.0,-1.0,768,82.421875,89.32291666666666,71.74479166666666,41.27604166666667,47.78645833333333,36.97916666666667,34.63541666666667,53.90625,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1~D+5,2.0,-2.0,768,82.421875,82.8125,65.75520833333334,41.27604166666667,47.78645833333333,33.46354166666667,34.63541666666667,49.08854166666667,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1~D+5,2.0,-3.0,768,82.421875,76.69270833333334,59.895833333333336,41.27604166666667,47.78645833333333,29.557291666666668,34.63541666666667,43.88020833333333,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1~D+5,3.0,-1.0,768,76.69270833333334,89.32291666666666,66.015625,35.9375,45.3125,32.03125,31.380208333333332,53.90625,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1~D+5,3.0,-2.0,768,76.69270833333334,82.8125,60.026041666666664,35.9375,45.3125,28.776041666666668,31.380208333333332,49.08854166666667,1.187860312989913,-1.7795613486549622
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,base,768,256,2025-04-29,2026-05-19,D+1~D+5,3.0,-3.0,768,76.69270833333334,76.69270833333334,54.296875,35.9375,45.3125,25.0,31.380208333333332,43.88020833333333,1.187860312989913,-1.7795613486549622
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1~D+5,1.0,-1.0,749,87.18291054739653,80.50734312416556,67.69025367156209,36.715620827770366,39.65287049399199,34.17890520694259,47.53004005340454,46.86248331108144,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1~D+5,1.0,-2.0,749,87.18291054739653,75.16688918558077,62.34979973297731,36.715620827770366,39.65287049399199,32.843791722296395,47.53004005340454,45.26034712950601,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1~D+5,1.0,-3.0,749,87.18291054739653,69.42590120160213,56.742323097463284,36.715620827770366,39.65287049399199,30.440587449933243,47.53004005340454,42.323097463284384,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1~D+5,1.3,-1.0,749,85.84779706275033,80.50734312416556,66.35514018691589,35.380507343124165,38.98531375166889,32.843791722296395,46.86248331108144,46.86248331108144,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1~D+5,1.3,-2.0,749,85.84779706275033,75.16688918558077,61.01468624833111,35.380507343124165,38.98531375166889,31.5086782376502,46.86248331108144,45.26034712950601,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1~D+5,1.3,-3.0,749,85.84779706275033,69.42590120160213,55.407209612817084,35.380507343124165,38.98531375166889,29.10547396528705,46.86248331108144,42.323097463284384,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1~D+5,2.0,-1.0,749,83.71161548731642,80.50734312416556,64.21895861148198,33.244325767690256,38.584779706275036,30.707610146862486,45.12683578104139,46.86248331108144,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1~D+5,2.0,-2.0,749,83.71161548731642,75.16688918558077,59.012016021361816,33.244325767690256,38.584779706275036,29.506008010680908,45.12683578104139,45.26034712950601,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1~D+5,2.0,-3.0,749,83.71161548731642,69.42590120160213,53.40453938584779,33.244325767690256,38.584779706275036,27.236315086782376,45.12683578104139,42.323097463284384,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1~D+5,3.0,-1.0,749,79.30574098798398,80.50734312416556,59.94659546061415,28.83845126835781,36.58210947930574,26.702269692923895,42.72363150867824,46.86248331108144,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1~D+5,3.0,-2.0,749,79.30574098798398,75.16688918558077,54.73965287049399,28.83845126835781,36.58210947930574,25.901201602136183,42.72363150867824,45.26034712950601,15.986990190182023,0.15313935681469104
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,base,749,216,2025-04-30,2026-05-13,D+1~D+5,3.0,-3.0,749,79.30574098798398,69.42590120160213,49.39919893190921,28.83845126835781,36.58210947930574,23.76502002670227,42.72363150867824,42.323097463284384,15.986990190182023,0.15313935681469104
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1~D+5,1.0,-1.0,828,90.57971014492753,79.10628019323671,69.68599033816425,33.33333333333333,38.164251207729464,29.227053140096622,52.41545893719807,38.164251207729464,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1~D+5,1.0,-2.0,828,90.57971014492753,71.01449275362319,61.59420289855072,33.33333333333333,38.164251207729464,24.879227053140095,52.41545893719807,33.33333333333333,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1~D+5,1.0,-3.0,828,90.57971014492753,60.99033816425121,51.690821256038646,33.33333333333333,38.164251207729464,21.135265700483092,52.41545893719807,28.743961352657006,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1~D+5,1.3,-1.0,828,89.25120772946859,79.10628019323671,68.35748792270532,32.125603864734295,39.371980676328505,28.381642512077292,49.8792270531401,38.164251207729464,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1~D+5,1.3,-2.0,828,89.25120772946859,71.01449275362319,60.26570048309179,32.125603864734295,39.371980676328505,24.154589371980677,49.8792270531401,33.33333333333333,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1~D+5,1.3,-3.0,828,89.25120772946859,60.99033816425121,50.48309178743962,32.125603864734295,39.371980676328505,20.41062801932367,49.8792270531401,28.743961352657006,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1~D+5,2.0,-1.0,828,85.14492753623189,79.10628019323671,64.25120772946859,28.864734299516908,38.28502415458937,25.24154589371981,46.85990338164252,38.164251207729464,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1~D+5,2.0,-2.0,828,85.14492753623189,71.01449275362319,56.40096618357487,28.864734299516908,38.28502415458937,22.342995169082126,46.85990338164252,33.33333333333333,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1~D+5,2.0,-3.0,828,85.14492753623189,60.99033816425121,46.98067632850241,28.864734299516908,38.28502415458937,18.719806763285025,46.85990338164252,28.743961352657006,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1~D+5,3.0,-1.0,828,77.89855072463769,79.10628019323671,57.367149758454104,23.067632850241544,35.869565217391305,20.048309178743963,42.028985507246375,38.164251207729464,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1~D+5,3.0,-2.0,828,77.89855072463769,71.01449275362319,49.63768115942029,23.067632850241544,35.869565217391305,17.51207729468599,42.028985507246375,33.33333333333333,2.540833104908452,1.2846050979165136
DAILY3_POOL_TOP3,Daily3 Top3,baseline,base,828,276,2025-04-01,2026-05-19,D+1~D+5,3.0,-3.0,828,77.89855072463769,60.99033816425121,40.94202898550724,23.067632850241544,35.869565217391305,14.734299516908212,42.028985507246375,28.743961352657006,2.540833104908452,1.2846050979165136
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+1~D+5,1.0,-1.0,828,90.70048309178745,80.43478260869566,71.1352657004831,38.64734299516908,43.84057971014493,35.02415458937198,46.85990338164252,43.35748792270531,1.7931880080109361,0.4144128795945279
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+1~D+5,1.0,-2.0,828,90.70048309178745,71.73913043478261,62.43961352657005,38.64734299516908,43.84057971014493,30.07246376811594,46.85990338164252,38.04347826086957,1.7931880080109361,0.4144128795945279
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+1~D+5,1.0,-3.0,828,90.70048309178745,62.56038647342995,53.62318840579711,38.64734299516908,43.84057971014493,26.44927536231884,46.85990338164252,33.69565217391305,1.7931880080109361,0.4144128795945279
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+1~D+5,1.3,-1.0,828,89.3719806763285,80.43478260869566,69.80676328502415,37.31884057971014,44.565217391304344,34.05797101449276,44.806763285024154,43.35748792270531,1.7931880080109361,0.4144128795945279
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+1~D+5,1.3,-2.0,828,89.3719806763285,71.73913043478261,61.23188405797102,37.31884057971014,44.565217391304344,29.347826086956523,44.806763285024154,38.04347826086957,1.7931880080109361,0.4144128795945279
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,base,843,281,2025-04-02,2026-05-28,D+1~D+5,1.3,-3.0,828,89.3719806763285,62.56038647342995,52.65700483091788,37.31884057971014,44.565217391304344,25.845410628019323,44.806763285024154,33.69565217391305,1.7931880080109361,0.4144128795945279
