strategy_key,strategy_label,strategy_family,rows,complete_d1_rows,complete_d5_rows,signal_days,date_min,date_max,d1_plus1_rate_pct,d1_plus13_rate_pct,d1_plus2_rate_pct,d1_plus3_rate_pct,d1_minus1_rate_pct,d1_minus2_rate_pct,d1_minus3_rate_pct,cum_d1d5_plus1_rate_pct,cum_d1d5_plus13_rate_pct,cum_d1d5_plus2_rate_pct,cum_d1d5_plus3_rate_pct,cum_d1d5_minus1_rate_pct,cum_d1d5_minus2_rate_pct,cum_d1d5_minus3_rate_pct,plus13_before_minus2_d1_rate_pct,minus2_before_plus13_d1_rate_pct,plus13_before_minus2_d5_rate_pct,minus2_before_plus13_d5_rate_pct,same_day_ambiguous_d5_rate_pct,d5_avg_return_pct,d5_median_return_pct,d5_win_rate_pct,avg_mfe_d1d5_pct,avg_mae_d1d5_pct
V3_D_V2_CONFIRM,V3-D V2 확인,V3,846,843,831,282,2025-04-01,2026-05-28,74.85172004744959,69.63226571767497,55.99051008303677,39.383155397390276,54.32977461447213,38.19691577698695,25.50415183867141,91.4560770156438,89.65102286401925,83.75451263537906,73.6462093862816,74.9699157641396,62.936221419975936,50.661853188928994,51.245551601423486,19.81020166073547,58.48375451263538,22.86401925391095,18.531889290012032,5.354788111285652,1.3542409123307175,58.00240673886883,12.171587545764257,-2.855809184535791
V3_C_RISK_CONTROL,V3-C 리스크,V3,846,843,831,282,2025-04-01,2026-05-28,75.68208778173191,71.53024911032028,59.430604982206404,43.41637010676156,54.56702253855279,39.14590747330961,26.809015421115067,92.4187725631769,91.0950661853189,86.40192539109506,77.13598074608905,74.48856799037304,62.69554753309266,51.02286401925391,50.65243179122183,18.26809015421115,57.52105896510229,21.660649819494584,20.697954271961493,5.0550247096918905,1.645569620253173,58.96510228640193,12.475710906112619,-3.6563401853378865
V3_A_CONSENSUS_WEIGHTED,V3-A 합의,V3,846,843,831,282,2025-04-01,2026-05-28,74.37722419928826,69.7508896797153,58.12574139976275,42.11150652431791,56.34638196915777,41.16251482799525,28.46975088967972,91.93742478941034,90.49338146811071,85.67990373044525,76.53429602888086,75.81227436823104,64.74127557160048,52.82791817087846,48.16132858837485,19.572953736654807,55.23465703971119,23.104693140794225,21.540312876052948,4.798686456305698,1.4884979702300516,58.24308062575211,12.388823511963867,-3.9587580970087846
V3_E_EOD_FIRST_STABLE,V3-E EOD 보존,V3,846,843,831,282,2025-04-01,2026-05-28,74.61447212336893,70.46263345195729,59.07473309608541,44.60260972716489,60.26097271648872,46.38196915776987,33.68920521945433,90.85439229843561,89.53068592057761,83.39350180505414,75.93261131167269,77.85800240673886,68.59205776173285,58.24308062575211,44.246737841043895,20.166073546856463,50.18050541516246,23.465703971119133,26.233453670276774,3.1286174807021863,1.0224948875255713,54.632972322503,11.61716419317835,-5.852978318464029
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,843,840,828,281,2025-04-02,2026-05-28,76.54761904761904,72.73809523809524,62.26190476190476,48.69047619047619,64.04761904761904,51.547619047619044,39.04761904761905,90.70048309178745,89.3719806763285,84.42028985507247,77.65700483091787,80.43478260869566,71.73913043478261,62.56038647342995,40.95238095238095,19.761904761904763,46.13526570048309,22.22222222222222,31.521739130434785,1.7931880080109357,0.4144128795945279,51.20772946859904,11.697854884299671,-7.256361691083474
EOD_MECHANICAL_TOP1,EOD Top1,baseline,275,275,275,275,2025-04-02,2026-05-19,71.63636363636363,64.72727272727272,52.72727272727272,37.09090909090909,51.63636363636363,41.45454545454545,29.818181818181817,90.9090909090909,88.0,79.63636363636364,71.63636363636363,73.0909090909091,63.272727272727266,48.72727272727273,42.54545454545455,19.272727272727273,52.72727272727272,24.727272727272727,22.181818181818183,3.2387620618175763,1.6891891891891886,59.27272727272728,10.33388377806591,-5.343379158282199
EOD_HUMAN_PROXY_A,EOD 수동프록시,baseline,275,275,275,275,2025-04-02,2026-05-19,71.63636363636363,67.27272727272727,56.36363636363636,43.63636363636363,59.27272727272728,44.72727272727273,32.72727272727273,89.45454545454545,87.63636363636364,82.9090909090909,76.0,75.63636363636364,64.36363636363637,51.272727272727266,42.18181818181818,19.636363636363637,50.90909090909091,23.272727272727273,25.454545454545453,4.8132060689951,1.5458937198067568,56.72727272727273,12.754027898937652,-5.737744304893397
EOD_MECHANICAL_TOP3,EOD Top3,baseline,825,825,825,275,2025-04-02,2026-05-19,76.24242424242425,72.36363636363636,61.93939393939394,48.484848484848484,64.12121212121212,51.39393939393939,38.78787878787879,90.66666666666666,89.33333333333333,84.36363636363636,77.57575757575758,80.48484848484848,71.75757575757575,62.54545454545455,40.96969696969697,20.0,45.93939393939394,22.3030303030303,31.636363636363633,1.798361258751622,0.37735849056603765,51.15151515151515,11.679289260797969,-7.269582593834001
V2_HYBRID_HYBRID_D0_RISK_FILTER,V2 하이브리드,baseline,759,759,759,253,2025-04-29,2026-05-14,73.12252964426878,67.19367588932806,53.0961791831357,37.285902503293805,56.126482213438734,37.68115942028986,25.296442687747035,90.6455862977602,88.53754940711462,82.47694334650856,71.67325428194994,76.9433465085639,64.69038208168642,53.22793148880105,52.042160737812914,22.529644268774703,57.70750988142292,25.95520421607378,16.337285902503293,9.544194272246296,1.1111111111111072,55.99472990777339,19.285952539387928,1.7998121194555503
DAILY3_POOL_TOP3,Daily3 Top3,baseline,828,828,828,276,2025-04-01,2026-05-19,74.51690821256038,70.28985507246377,59.05797101449275,44.806763285024154,65.09661835748793,51.690821256038646,37.56038647342995,90.57971014492753,89.25120772946859,85.14492753623189,77.89855072463769,79.10628019323671,71.01449275362319,60.99033816425121,43.47826086956522,24.879227053140095,46.61835748792271,26.32850241545894,27.053140096618357,2.540833104908452,1.2846050979165136,56.40096618357487,10.190793872775599,-6.46728265272048
