strategy_label,complete_d1_rows,complete_d5_rows,d1_plus13_rate_pct,d1_minus1_rate_pct,d1_minus2_rate_pct,d1_minus3_rate_pct,cum_d1d5_plus1_rate_pct,cum_d1d5_plus13_rate_pct,cum_d1d5_plus2_rate_pct,cum_d1d5_plus3_rate_pct,plus13_before_minus2_d5_rate_pct,minus2_before_plus13_d5_rate_pct,d5_avg_return_pct,d5_median_return_pct,d5_win_rate_pct
V3-D V2 확인,843,831,69.63226571767497,54.32977461447213,38.19691577698695,25.50415183867141,91.4560770156438,89.65102286401925,83.75451263537906,73.6462093862816,58.48375451263538,22.86401925391095,5.354788111285652,1.3542409123307175,58.00240673886883
V3-C 리스크,843,831,71.53024911032028,54.56702253855279,39.14590747330961,26.809015421115067,92.4187725631769,91.0950661853189,86.40192539109506,77.13598074608905,57.52105896510229,21.660649819494584,5.0550247096918905,1.645569620253173,58.96510228640193
V3-A 합의,843,831,69.7508896797153,56.34638196915777,41.16251482799525,28.46975088967972,91.93742478941034,90.49338146811071,85.67990373044525,76.53429602888086,55.23465703971119,23.104693140794225,4.798686456305698,1.4884979702300516,58.24308062575211
V3-E EOD 보존,843,831,70.46263345195729,60.26097271648872,46.38196915776987,33.68920521945433,90.85439229843561,89.53068592057761,83.39350180505414,75.93261131167269,50.18050541516246,23.465703971119133,3.1286174807021863,1.0224948875255713,54.632972322503
현재 EOD웹훅 Top3,840,828,72.73809523809524,64.04761904761904,51.547619047619044,39.04761904761905,90.70048309178745,89.3719806763285,84.42028985507247,77.65700483091787,46.13526570048309,22.22222222222222,1.7931880080109357,0.4144128795945279,51.20772946859904
EOD Top1,275,275,64.72727272727272,51.63636363636363,41.45454545454545,29.818181818181817,90.9090909090909,88.0,79.63636363636364,71.63636363636363,52.72727272727272,24.727272727272727,3.2387620618175763,1.6891891891891886,59.27272727272728
EOD 수동프록시,275,275,67.27272727272727,59.27272727272728,44.72727272727273,32.72727272727273,89.45454545454545,87.63636363636364,82.9090909090909,76.0,50.90909090909091,23.272727272727273,4.8132060689951,1.5458937198067568,56.72727272727273
EOD Top3,825,825,72.36363636363636,64.12121212121212,51.39393939393939,38.78787878787879,90.66666666666666,89.33333333333333,84.36363636363636,77.57575757575758,45.93939393939394,22.3030303030303,1.798361258751622,0.37735849056603765,51.15151515151515
V2 하이브리드,759,759,67.19367588932806,56.126482213438734,37.68115942028986,25.296442687747035,90.6455862977602,88.53754940711462,82.47694334650856,71.67325428194994,57.70750988142292,25.95520421607378,9.544194272246296,1.1111111111111072,55.99472990777339
Daily3 Top3,828,828,70.28985507246377,65.09661835748793,51.690821256038646,37.56038647342995,90.57971014492753,89.25120772946859,85.14492753623189,77.89855072463769,46.61835748792271,26.32850241545894,2.540833104908452,1.2846050979165136,56.40096618357487
P0 거래대금,753,753,72.77556440903055,69.9867197875166,58.432934926958836,45.55112881806109,90.1726427622842,89.2430278884462,84.4621513944223,79.15006640106242,39.176626826029214,23.50597609561753,3.2211866332198538,0.0,49.40239043824701
V2 기록,753,753,76.36122177954847,73.83798140770253,63.612217795484725,52.98804780876494,90.70385126162019,89.64143426294821,87.11819389110225,82.20451527224436,36.387782204515275,23.107569721115535,23.996077155301087,-0.33489618218351946,48.20717131474104
BellGuard PriceCap,749,749,70.36048064085448,71.02803738317756,63.150867823765026,52.069425901201605,87.18291054739653,85.84779706275033,83.71161548731642,79.30574098798398,36.048064085447265,28.57142857142857,15.986990190182023,0.15313935681469104,50.200267022696934
BellGuard D0Strict,768,768,73.4375,77.86458333333334,63.541666666666664,50.130208333333336,89.84375,88.02083333333334,82.421875,76.69270833333334,35.28645833333333,25.130208333333332,1.1878603129899132,-1.7795613486549622,41.015625
Legacy 웹훅,755,755,72.31788079470198,73.90728476821192,64.76821192052981,54.3046357615894,90.19867549668874,88.74172185430463,85.1655629139073,80.66225165562913,33.50993377483444,25.03311258278146,3.5861394185530453,-0.5154639175257714,47.81456953642384
