v3_variant,score_bucket,rows,score_min,score_max,plus13_before_minus2_d5_rate_pct,minus2_before_plus13_d5_rate_pct,d5_avg_return_pct,d5_median_return_pct,d5_win_rate_pct,avg_consensus_score,avg_risk_control_score,avg_path_score
V3_D_V2_CONFIRM,"(21.410999999999998, 60.52]",167,21.411765,60.519639,35.32934131736527,40.119760479041915,6.551180141966219,-2.0000000000000018,37.12574850299401,25.67065868263473,79.58682634730539,56.99565948392365
V3_D_V2_CONFIRM,"(60.52, 62.621]",166,60.531096,62.621494,66.26506024096386,12.650602409638553,8.228279786344462,2.26588079342096,63.85542168674698,31.43975903614458,82.23493975903614,75.45039556341007
V3_D_V2_CONFIRM,"(62.621, 65.322]",166,62.634713,65.322488,68.67469879518072,18.67469879518072,6.345617163951172,2.0614225698971422,63.25301204819277,38.06024096385542,82.0421686746988,75.96287597481889
V3_D_V2_CONFIRM,"(65.322, 68.629]",166,65.380645,68.629049,50.602409638554214,28.915662650602407,1.244739017690705,0.5907245100708503,56.62650602409639,45.01204819277108,82.22289156626506,69.35728864954913
V3_D_V2_CONFIRM,"(68.629, 96.838]",166,68.630768,96.838091,71.6867469879518,13.855421686746988,4.396917265567997,3.0543520653307232,69.27710843373494,60.4277108433735,80.63855421686748,82.13743312541722
V3_C_RISK_CONTROL,"(19.448999999999998, 55.495]",167,19.45,55.495363,43.712574850299404,27.54491017964072,6.494965474199796,-0.7320644216691097,42.51497005988024,21.40119760479042,81.98203592814372,65.50262448487389
V3_C_RISK_CONTROL,"(55.495, 57.603]",166,55.502012,57.602779,57.22891566265061,25.301204819277107,7.681311976649845,2.5605713299812765,63.85542168674698,31.813253012048193,83.16867469879519,72.49108645449557
V3_C_RISK_CONTROL,"(57.603, 60.516]",166,57.604007,60.516143,60.8433734939759,17.46987951807229,1.6656290965520275,1.0656303913010534,59.036144578313255,40.74698795180723,80.93975903614458,74.77159226124898
V3_C_RISK_CONTROL,"(60.516, 66.267]",166,60.544421,66.267056,71.08433734939759,12.650602409638553,5.612815660243922,3.587516087516096,65.66265060240963,47.30722891566265,78.25301204819277,82.62230014094882
V3_C_RISK_CONTROL,"(66.267, 82.312]",166,66.27963,82.312378,54.81927710843374,25.301204819277107,3.811726998858995,1.9208728293083066,63.85542168674698,65.06626506024097,80.9578313253012,86.77254931087361
