v3_variant,signal_date,eod_count,v3_count,overlap_count,eod_only_count,v3_only_count,overlap_codes,eod_only_codes,v3_only_codes
V3_D_V2_CONFIRM,2025-07-01,3,3,0,3,3,,005930|377300|388610,006360|090710|462870
V3_D_V2_CONFIRM,2025-07-02,3,3,0,3,3,,323410|377300|388610,042660|100840|329180
V3_D_V2_CONFIRM,2025-07-03,3,3,1,2,2,005930,377300|388610,042660|329180
V3_D_V2_CONFIRM,2025-07-04,3,3,1,2,2,005930,377300|388610,042660|329180
V3_D_V2_CONFIRM,2025-07-07,3,3,1,2,2,005930,377300|388610,042660|329180
V3_D_V2_CONFIRM,2025-07-08,3,3,1,2,2,005930,377300|388610,042660|329180
V3_D_V2_CONFIRM,2025-07-09,3,3,1,2,2,005930,377300|388610,042660|329180
V3_D_V2_CONFIRM,2025-07-10,3,3,1,2,2,005930,015760|388610,034020|047810
V3_D_V2_CONFIRM,2025-07-11,3,3,1,2,2,005930,034020|388610,042660|329180
V3_D_V2_CONFIRM,2025-07-14,3,3,0,3,3,,005930|034020|388610,042660|047810|329180
V3_D_V2_CONFIRM,2025-07-15,3,3,1,2,2,005930,008970|034020,100840|352820
V3_D_V2_CONFIRM,2025-07-16,3,3,2,1,1,005930|034020,008970,352820
V3_D_V2_CONFIRM,2025-07-17,3,3,2,1,1,005930|034020,441270,402340
V3_D_V2_CONFIRM,2025-07-18,3,3,1,2,2,034020,005930|441270,000660|402340
V3_D_V2_CONFIRM,2025-07-21,3,3,1,2,2,005930,034020|463020,003240|192820
V3_D_V2_CONFIRM,2025-07-22,3,3,1,2,2,005930,009830|034020,000660|377300
V3_D_V2_CONFIRM,2025-07-23,3,3,1,2,2,005930,009830|034020,015760|402340
V3_D_V2_CONFIRM,2025-07-24,3,3,1,2,2,005930,008970|034020,003230|402340
V3_D_V2_CONFIRM,2025-07-25,3,3,1,2,2,005930,008970|034020,000660|402340
V3_D_V2_CONFIRM,2025-07-28,3,3,1,2,2,005930,009830|034020,000660|377300
V3_D_V2_CONFIRM,2025-07-29,3,3,1,2,2,005930,009830|034020,000660|402340
V3_D_V2_CONFIRM,2025-07-30,3,3,1,2,2,005930,009830|034020,259960|402340
V3_D_V2_CONFIRM,2025-07-31,3,3,1,2,2,005930,009830|034020,047050|402340
V3_D_V2_CONFIRM,2025-08-01,3,3,1,2,2,005930,009830|034020,000660|028260
V3_D_V2_CONFIRM,2025-08-04,3,3,1,2,2,034020,005930|009830,000660|402340
V3_D_V2_CONFIRM,2025-08-05,3,3,1,2,2,005930,034020|462860,009830|377300
V3_D_V2_CONFIRM,2025-08-06,3,3,0,3,3,,005930|034020|462860,000660|028260|402340
V3_D_V2_CONFIRM,2025-08-07,3,3,1,2,2,005930,015760|034020,000100|009830
V3_D_V2_CONFIRM,2025-08-08,3,3,1,2,2,005930,034020|035720,251270|402340
V3_D_V2_CONFIRM,2025-08-11,3,3,1,2,2,034020,005930|035720,009830|402340
V3_D_V2_CONFIRM,2025-08-12,3,3,2,1,1,005930|035720,034020,079550
V3_D_V2_CONFIRM,2025-08-13,3,3,2,1,1,005930|035720,034020,192820
V3_D_V2_CONFIRM,2025-08-14,3,3,1,2,2,005930,034020|035720,009830|011200
V3_D_V2_CONFIRM,2025-08-18,3,3,0,3,3,,005930|034020|035720,009830|192820|402340
V3_D_V2_CONFIRM,2025-08-19,3,3,1,2,2,005930,034020|035720,009830|034730
V3_D_V2_CONFIRM,2025-08-20,3,3,1,2,2,005930,034020|035720,192820|402340
V3_D_V2_CONFIRM,2025-08-21,3,3,1,2,2,005930,034020|035720,000720|402340
V3_D_V2_CONFIRM,2025-08-22,3,3,1,2,2,005930,034020|035720,071050|402340
V3_D_V2_CONFIRM,2025-08-25,3,3,0,3,3,,005930|034020|034220,035720|161390|161890
V3_D_V2_CONFIRM,2025-08-26,3,3,0,3,3,,005930|034020|034220,000720|009830|377300
V3_D_V2_CONFIRM,2025-08-27,3,3,1,2,2,034020,005930|034220,035720|079550
V3_D_V2_CONFIRM,2025-08-28,3,3,1,2,2,034020,005930|034220,079550|161890
V3_D_V2_CONFIRM,2025-08-29,3,3,1,2,2,005930,010140|034020,015760|079550
V3_D_V2_CONFIRM,2025-09-01,3,3,0,3,3,,005930|010140|034020,006400|015760|079550
V3_D_V2_CONFIRM,2025-09-02,3,3,1,2,2,005930,034020|097230,000720|006400
V3_D_V2_CONFIRM,2025-09-03,3,3,1,2,2,097230,005930|034020,000720|139480
V3_D_V2_CONFIRM,2025-09-04,3,3,1,2,2,097230,005930|034020,006400|377300
V3_D_V2_CONFIRM,2025-09-05,3,3,1,2,2,097230,005930|010140,006400|377300
V3_D_V2_CONFIRM,2025-09-08,3,3,1,2,2,097230,005930|010140,006400|377300
V3_D_V2_CONFIRM,2025-09-09,3,3,2,1,1,005930|097230,010140,006400
V3_D_V2_CONFIRM,2025-09-10,3,3,1,2,2,097230,005930|466100,006400|377300
V3_D_V2_CONFIRM,2025-09-11,3,3,2,1,1,005930|097230,466100,006400
V3_D_V2_CONFIRM,2025-09-12,3,3,2,1,1,005930|097230,100090,483650
V3_D_V2_CONFIRM,2025-09-15,3,3,1,2,2,005930,097230|100090,052690|377300
V3_D_V2_CONFIRM,2025-09-16,3,3,2,1,1,005930|097230,100090,003670
V3_D_V2_CONFIRM,2025-09-17,3,3,3,0,0,005930|034020|097230,,
V3_D_V2_CONFIRM,2025-09-18,3,3,1,2,2,005930,034020|097230,052690|078520
V3_D_V2_CONFIRM,2025-09-19,3,3,2,1,1,005930|097230,034020,052690
V3_D_V2_CONFIRM,2025-09-22,3,3,2,1,1,005930|064260,097230,259960
V3_D_V2_CONFIRM,2025-09-23,3,3,2,1,1,005930|064260,097230,000720
V3_D_V2_CONFIRM,2025-09-24,3,3,2,1,1,005930|064260,097230,003230
V3_D_V2_CONFIRM,2025-09-25,3,3,1,2,2,005930,034020|347850,003230|352820
V3_D_V2_CONFIRM,2025-09-26,3,3,1,2,2,005930,034020|347850,003230|012330
V3_D_V2_CONFIRM,2025-09-29,3,3,1,2,2,005930,034020|347850,000150|012330
V3_D_V2_CONFIRM,2025-09-30,3,3,1,2,2,005930,034020|249420,000150|005070
V3_D_V2_CONFIRM,2025-10-01,3,3,1,2,2,005930,034020|249420,062040|064260
