strategy_key,strategy_label,strategy_family,rows,complete_d1_rows,complete_d5_rows,signal_days,date_min,date_max,d1_plus1_rate_pct,d1_plus13_rate_pct,d1_plus2_rate_pct,d1_plus3_rate_pct,d1_minus1_rate_pct,d1_minus2_rate_pct,d1_minus3_rate_pct,cum_d1d5_plus1_rate_pct,cum_d1d5_plus13_rate_pct,cum_d1d5_plus2_rate_pct,cum_d1d5_plus3_rate_pct,cum_d1d5_minus1_rate_pct,cum_d1d5_minus2_rate_pct,cum_d1d5_minus3_rate_pct,plus13_before_minus2_d1_rate_pct,minus2_before_plus13_d1_rate_pct,plus13_before_minus2_d5_rate_pct,minus2_before_plus13_d5_rate_pct,same_day_ambiguous_d5_rate_pct,d5_avg_return_pct,d5_median_return_pct,d5_win_rate_pct,avg_mfe_d1d5_pct,avg_mae_d1d5_pct
V3_D_V2_CONFIRM_EOD_OVERLAP,V3_D_V2_CONFIRM ∩ EOD,overlap,276,273,261,206,2025-04-02,2026-05-28,73.62637362637363,68.86446886446886,56.41025641025641,38.82783882783883,56.043956043956044,43.956043956043956,32.234432234432234,90.42145593869732,88.12260536398468,81.60919540229885,73.18007662835248,73.5632183908046,62.06896551724138,49.42528735632184,43.956043956043956,19.047619047619047,53.63984674329502,22.988505747126435,22.988505747126435,4.112982523138482,1.849217638691325,59.77011494252874,11.12301720754809,-5.01447919295883
V3_D_V2_CONFIRM_V3_ONLY,V3_D_V2_CONFIRM only,overlap,570,570,570,267,2025-04-01,2026-05-19,75.43859649122807,70.0,55.78947368421052,39.64912280701755,53.50877192982456,35.43859649122807,22.280701754385966,91.9298245614035,90.35087719298247,84.73684210526315,73.85964912280701,75.6140350877193,63.33333333333333,51.2280701754386,54.736842105263165,20.175438596491226,60.70175438596491,22.807017543859647,16.49122807017544,5.9234043542793575,1.1908862154616617,57.19298245614035,12.651722384842186,-1.8673655490999783
V3_C_RISK_CONTROL_EOD_OVERLAP,V3_C_RISK_CONTROL ∩ EOD,overlap,421,418,406,256,2025-04-02,2026-05-28,74.16267942583733,69.85645933014354,57.89473684210527,42.3444976076555,56.45933014354066,42.58373205741627,30.861244019138756,90.64039408866995,88.66995073891626,83.2512315270936,74.8768472906404,73.64532019704434,62.06896551724138,49.75369458128079,45.21531100478469,17.942583732057415,53.69458128078818,22.660098522167488,23.39901477832512,3.874692649172167,1.8335960672100637,59.35960591133005,11.602367606897639,-5.255326982014676
V3_C_RISK_CONTROL_V3_ONLY,V3_C_RISK_CONTROL only,overlap,425,425,425,260,2025-04-01,2026-05-19,77.17647058823529,73.1764705882353,60.94117647058823,44.470588235294116,52.70588235294118,35.76470588235294,22.823529411764707,94.11764705882352,93.41176470588235,89.41176470588236,79.29411764705883,75.29411764705883,63.294117647058826,52.23529411764706,56.00000000000001,18.58823529411765,61.1764705882353,20.705882352941178,18.11764705882353,6.182588983976615,1.317122593718345,58.58823529411765,13.310010622539162,-2.128837504277237
