strategy_key,strategy_label,strategy_family,rows,complete_d1_rows,complete_d5_rows,signal_days,date_min,date_max,d1_plus1_rate_pct,d1_plus13_rate_pct,d1_plus2_rate_pct,d1_plus3_rate_pct,d1_minus1_rate_pct,d1_minus2_rate_pct,d1_minus3_rate_pct,cum_d1d5_plus1_rate_pct,cum_d1d5_plus13_rate_pct,cum_d1d5_plus2_rate_pct,cum_d1d5_plus3_rate_pct,cum_d1d5_minus1_rate_pct,cum_d1d5_minus2_rate_pct,cum_d1d5_minus3_rate_pct,plus13_before_minus2_d1_rate_pct,minus2_before_plus13_d1_rate_pct,plus13_before_minus2_d5_rate_pct,minus2_before_plus13_d5_rate_pct,same_day_ambiguous_d5_rate_pct,d5_avg_return_pct,d5_median_return_pct,d5_win_rate_pct,avg_mfe_d1d5_pct,avg_mae_d1d5_pct,common_window,common_start,common_end
V3_D_V2_CONFIRM,V3-D V2 확인,V3,360,360,360,120,2025-11-21,2026-05-20,74.44444444444444,70.83333333333334,59.72222222222222,46.38888888888889,58.611111111111114,44.166666666666664,29.72222222222222,93.33333333333333,91.66666666666666,86.94444444444444,79.72222222222223,77.22222222222223,67.5,55.27777777777778,50.27777777777778,23.61111111111111,53.61111111111111,25.0,21.38888888888889,9.13588687702731,2.1905149934810964,61.66666666666667,17.05936272215219,-1.837543313930808,latest_120_common_complete_d5_days,2025-11-21,2026-05-20
V3_C_RISK_CONTROL,V3-C 리스크,V3,360,360,360,120,2025-11-21,2026-05-20,76.66666666666667,74.44444444444444,66.11111111111111,54.166666666666664,59.72222222222222,46.38888888888889,33.05555555555556,95.0,94.16666666666667,91.94444444444444,85.27777777777777,78.05555555555556,68.61111111111111,57.49999999999999,49.166666666666664,21.11111111111111,51.94444444444445,22.22222222222222,25.833333333333336,7.72943460875871,2.297003889249505,61.38888888888889,16.976660807291324,-3.819478869480934,latest_120_common_complete_d5_days,2025-11-21,2026-05-20
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,360,360,360,120,2025-11-21,2026-05-20,79.16666666666666,77.22222222222223,68.61111111111111,58.611111111111114,73.61111111111111,63.61111111111111,49.44444444444444,92.5,91.94444444444444,89.16666666666667,85.0,84.44444444444444,78.61111111111111,70.83333333333334,35.27777777777778,21.666666666666668,36.388888888888886,21.666666666666668,41.94444444444444,3.207044243892505,0.5510018214936241,51.388888888888886,15.273193796857964,-8.60886920593572,latest_120_common_complete_d5_days,2025-11-21,2026-05-20
