signal_date,v2_rank,stock_code,stock_name,market,sector,industry,listing_date,score_total_100,entry_time,entry_price_1500,daily_latest_date,minute_latest_date,inst_trade_latest_date,institution_net_qty,foreign_net_qty,foreign_limit_exhaust_rate,short_sale_latest_date,short_sale_qty,short_sale_trade_weight,program_latest_date,program_net_amount,program_feature_used,corp_code,corp_name,corp_modify_date
2026-05-19,1,321370,센서뷰,KOSDAQ,전자부품 제조업,"T&M 케이블, 초소형 전송선로",2023-07-19,87.0714,2026-05-19 15:00:00,3840.0,2026-05-19,2026-05-19,2026-05-19,-16000,0,+2.42,2026-05-19,5446,+0.03,,,false,,,
2026-05-19,2,067310,하나마이크론,KOSDAQ,반도체 제조업,"반도체패키징,IOT",2005-10-11,79.8526,2026-05-19 15:00:00,47650.0,2026-05-19,2026-05-19,2026-05-19,105488,0,+22.14,2026-05-19,66791,+2.84,2026-05-19,686,false,,,
2026-05-19,3,066430,아이로보틱스,KOSDAQ,기타 전문 도매업,"VCI,LDPE필름 외",2002-12-24,79.2444,2026-05-19 15:00:00,4800.0,2026-05-19,2026-05-19,2026-05-19,-126295,0,+3.76,2026-05-19,11620,+0.02,,,false,,,
