strategy,sample_n,signal_days,picks_per_day,rank1_n,rank2_n,rank3_n,d1_close_positive_rate_pct,d1_avg_return_pct,d1_median_return_pct,d1_p10_return_pct,d1_p90_return_pct,d5_avg_close_return_pct,d5_median_close_return_pct,worst_d1_d5_close_pct,cum_d5_plus1_rate_pct,cum_d5_plus2_rate_pct,cum_d5_plus3_rate_pct,cum_d5_minus1_rate_pct,cum_d5_minus2_rate_pct,cum_d5_minus3_rate_pct,plus1_before_minus3_rate_pct,plus2_before_minus3_rate_pct,plus3_before_minus3_rate_pct,minus3_before_plus1_rate_pct,d1_morning_plus1_before_minus3_rate_pct,ambiguous_rows,generated_at,source_report
D0_STRICT_3D_BELLGUARD_TOP3,755.0,254.0,2.97244094488189,254.0,252.0,249.0,47.28476821192053,0.41324511340690073,-0.20030045067601643,-6.748965834227061,8.228847703464949,2.323274249228911,0.228473753571945,-43.91891891891891,89.00662251655629,83.70860927152319,77.35099337748345,84.50331125827815,77.48344370860927,69.5364238410596,69.27152317880795,60.264900662251655,52.58278145695364,29.668874172185433,66.09271523178808,29.0,2026-05-18T19:41:33,C:\Users\PYJ\Downloads\BELL_REACH_FIRST_TOUCH_EXIT_RULE_REPORT_20260518.md
P0_VALUE_20D,756.0,252.0,3.0,252.0,252.0,252.0,50.79365079365079,0.3562787910100879,0.146821207747172,-5.8514482229787035,6.2965698943811335,2.2585605953698598,0.8968609865470878,-39.377537212449255,90.21164021164022,83.73015873015873,76.5873015873016,81.21693121693121,73.01587301587301,63.35978835978836,73.14814814814815,63.888888888888886,55.68783068783068,25.925925925925924,66.53439153439153,19.0,2026-05-18T19:41:33,C:\Users\PYJ\Downloads\BELL_REACH_FIRST_TOUCH_EXIT_RULE_REPORT_20260518.md
V2_SCORE_3D,725.0,252.0,2.876984126984127,245.0,239.0,241.0,46.206896551724135,0.8393523322900922,-0.4587155963302725,-7.177673675250995,9.796253085337401,1.8858098478940248,-0.39920159680638667,-44.08783783783784,90.20689655172414,87.0344827586207,82.34482758620689,86.89655172413792,81.10344827586206,74.20689655172413,67.0344827586207,60.41379310344828,54.344827586206904,32.55172413793103,65.65517241379311,20.0,2026-05-18T19:41:33,C:\Users\PYJ\Downloads\BELL_REACH_FIRST_TOUCH_EXIT_RULE_REPORT_20260518.md
