candidate_source,score_variant_id,score_policy,signal_date,signal_time,raw_rank,rank_v2,stock_code,code,stock_name,name,market,score_coverage_pct,score_confidence_pct,d0_close,price_1415,d0_high,d0_volume,volume_1415_or_daily,d0_trading_value,d0_pct_change,change_rate_1415,d0_date,trading_day_age,days_after_D0,watch_age,legacy_d0_rank,legacy_d0_volume_rank,legacy_d0_trading_value_rank,distance_from_d0_high_pct,volume_ratio_vs_20d,upper_shadow_ratio,event_id,program_buy_feature_used,passed_d0_filter,source_pool,metadata_version,score_base_time,entry_base_time,price_source,score_total_100,component_candle_score,component_pullback_score,component_short_score,component_liquidity_score,component_risk_penalty_norm,d0_pullback_depth_pct,d0_volume_filter_pass,d0_amount_limit_pass,d0_change_filter_pass,score_v2,daily_latest_date,minute_latest_date,entry_time,entry_price_1500,entry_status,status,exclude_reason,source_pool_size,scored_pool_size,excluded_reason
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,14,14,025820,025820,이구산업,이구산업,KOSPI,70.0,70.0,6760.0,6760.0,7170.0,13275318.0,13275318.0,89741149680.0,13.805,13.805,2026-05-13,2,2,D+2,10,21,91,-5.718,6.502,0.35,20260515_025820_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,64.4084,0.4574,0.7864,0.5,0.5765,0.15,5.718,True,True,True,64.4084,2026-05-15,2026-05-15,2026-05-15 14:59:00,6000.0,nearest_before_1500,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,15,15,215790,215790,이노인스트루먼트,이노인스트루먼트,KOSDAQ,70.0,70.0,2310.0,2310.0,2375.0,13632463.0,13632463.0,31490989530.0,8.197,8.197,2026-05-14,1,1,D+1,18,21,212,-2.737,0.803,0.165,20260515_215790_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,64.1697,0.7418,0.6714,0.5,0.3491,0.0,2.737,True,True,True,64.1697,2026-05-15,2026-05-15,2026-05-15 15:00:00,2015.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,16,16,005880,005880,대한해운,대한해운,KOSPI,70.0,70.0,2550.0,2550.0,2600.0,16870110.0,16870110.0,43018780500.0,6.918,6.918,2026-05-14,1,1,D+1,15,15,174,-1.923,0.689,0.25,20260515_005880_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,57.9019,0.6965,0.573,0.5,0.4168,0.0,1.923,True,True,True,57.9019,2026-05-15,2026-05-15,2026-05-15 15:00:00,2455.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,17,17,088350,088350,한화생명,한화생명,KOSPI,70.0,70.0,5490.0,5490.0,5900.0,44518112.0,44518112.0,244404434880.0,10.241,10.241,2026-05-14,1,1,D+1,4,3,31,-6.949,5.485,0.439,20260515_088350_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,57.7607,0.2684,0.6577,0.5,0.7941,0.0,6.949,True,True,True,57.7607,2026-05-15,2026-05-15,2026-05-15 15:00:00,5290.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,18,18,032580,032580,피델릭스,피델릭스,KOSDAQ,70.0,70.0,3865.0,3865.0,4170.0,16732332.0,16732332.0,64670463180.0,20.405,20.405,2026-05-14,1,1,D+1,14,17,125,-7.314,8.332,0.318,20260515_032580_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,54.7454,0.403,0.661,0.5,0.5054,0.15,7.314,True,True,True,54.7454,2026-05-15,2026-05-15,2026-05-15 15:00:00,4115.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,19,19,038500,038500,삼표시멘트,삼표시멘트,KOSDAQ,70.0,70.0,15560.0,15560.0,16900.0,27829706.0,27829706.0,433030225360.0,12.59,12.59,2026-05-13,2,2,D+2,3,10,16,-7.929,7.074,0.41,20260515_038500_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,54.5914,0.3225,0.6127,0.5,0.9183,0.15,7.929,True,True,True,54.5914,2026-05-15,2026-05-15,2026-05-15 15:00:00,13810.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,20,20,321260,321260,프로이천,프로이천,KOSDAQ,70.0,70.0,4430.0,4430.0,4780.0,15219217.0,15219217.0,67421131310.0,11.447,11.447,2026-05-13,2,2,D+2,12,17,121,-7.322,2.422,0.321,20260515_321260_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,53.0719,0.3903,0.5875,0.5,0.5144,0.0,7.322,True,True,True,53.0719,2026-05-15,2026-05-15,2026-05-15 15:00:00,3610.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,21,21,412350,412350,레이저쎌,레이저쎌,KOSDAQ,70.0,70.0,11590.0,11590.0,12900.0,11755322.0,11755322.0,136244181980.0,13.184,13.184,2026-05-14,1,1,D+1,8,26,64,-10.155,7.322,0.396,20260515_412350_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,42.1295,0.3347,0.45,0.5,0.6672,0.15,10.155,True,True,True,42.1295,2026-05-15,2026-05-15,2026-05-15 15:00:00,11230.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,22,22,086960,086960,MDS테크,MDS테크,KOSDAQ,70.0,70.0,3285.0,3285.0,3565.0,10802466.0,10802466.0,35486100810.0,8.416,8.416,2026-05-13,2,2,D+2,14,29,183,-7.854,4.972,0.455,20260515_086960_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,38.6103,0.218,0.5535,0.5,0.375,0.35,7.854,True,True,True,38.6103,2026-05-15,2026-05-15,2026-05-15 15:00:00,3070.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,23,23,012200,012200,계양전기,계양전기,KOSPI,70.0,70.0,12380.0,12380.0,13900.0,39532020.0,39532020.0,489406407600.0,12.648,12.648,2026-05-13,2,2,D+2,2,6,13,-10.935,7.462,0.647,20260515_012200_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,35.2204,0.2,0.45,0.5,0.9448,0.5,10.935,True,True,True,35.2204,2026-05-15,2026-05-15,2026-05-15 15:00:00,8890.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,24,24,223250,223250,드림씨아이에스,드림씨아이에스,KOSDAQ,70.0,70.0,7420.0,7420.0,8390.0,12423912.0,12423912.0,92185427040.0,10.089,10.089,2026-05-13,2,2,D+2,9,23,88,-11.561,5.102,0.451,20260515_223250_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,33.2221,0.2519,0.4153,0.5,0.5823,0.35,11.561,True,True,True,33.2221,2026-05-15,2026-05-15,2026-05-15 15:00:00,6590.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,25,25,128820,128820,대성산업,대성산업,KOSPI,70.0,70.0,8090.0,8090.0,8880.0,11387852.0,11387852.0,92127722680.0,7.437,7.437,2026-05-14,1,1,D+1,12,27,98,-8.896,9.289,0.513,20260515_128820_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,30.2978,0.1494,0.4538,0.5,0.5822,0.5,8.896,True,True,True,30.2978,2026-05-15,2026-05-15,2026-05-15 15:00:00,7430.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,26,26,036540,036540,SFA반도체,SFA반도체,KOSDAQ,70.0,70.0,8780.0,8780.0,9850.0,28393755.0,28393755.0,249297168900.0,6.039,6.039,2026-05-15,0,0,D0,5,7,33,-10.863,2.908,0.695,20260515_036540_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,26.9499,0.0916,0.3316,0.5,0.7984,0.35,10.863,True,True,True,26.9499,2026-05-15,2026-05-15,2026-05-15 15:00:00,8530.0,ok,excluded,outside_top3,43,43,
operational_d0_pool_v2_score,D0_POOL_S10_NO_PROGRAM__TOP3,TOP3_NO_MIN_SCORE,2026-05-15,14:15,27,27,142280,142280,녹십자엠에스,녹십자엠에스,KOSDAQ,70.0,70.0,4880.0,4880.0,5630.0,15374993.0,15374993.0,75029965840.0,2.629,2.629,2026-05-13,2,2,D+2,11,16,112,-13.321,8.556,0.118,20260515_142280_d0_pool_v2,False,True,active_d0_3d_pool,d0_pool_3d_v2_20260514,14:15,15:00,KIWOOM_DAILY_INTRADAY_OR_EOD,26.275,0.3796,0.2796,0.5,0.5376,0.4,13.321,True,True,True,26.275,2026-05-15,2026-05-15,2026-05-15 15:00:00,4220.0,ok,excluded,outside_top3,43,43,
