signal_date,active_variant,selected_count,eod_count,v2_count,human_count,eod_only_count,all_eod_only_day,source_freshness,fallback_blocked_operational,latest20_all_eod_only_day_rate_pct
2025-07-16,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2025-07-17,V3_C_RISK_CONTROL,3,2,2,1,0,False,PASS,False,0.0
2025-07-18,V3_C_RISK_CONTROL,3,2,1,3,0,False,PASS,False,0.0
2025-07-21,V3_C_RISK_CONTROL,3,1,1,2,1,False,PASS,False,0.0
2025-07-22,V3_C_RISK_CONTROL,3,1,2,1,1,False,PASS,False,0.0
2025-07-23,V3_C_RISK_CONTROL,3,1,1,2,1,False,PASS,False,0.0
2025-07-24,V3_C_RISK_CONTROL,3,1,0,2,1,False,PASS,False,0.0
2025-07-25,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2025-07-28,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2025-07-29,V3_C_RISK_CONTROL,3,2,1,2,1,False,PASS,False,0.0
2025-07-30,V3_C_RISK_CONTROL,3,1,0,3,0,False,PASS,False,0.0
2025-07-31,V3_C_RISK_CONTROL,3,1,2,1,1,False,PASS,False,0.0
2025-08-01,V3_C_RISK_CONTROL,3,0,1,3,0,False,PASS,False,0.0
2025-08-04,V3_C_RISK_CONTROL,3,2,0,2,1,False,PASS,False,0.0
2025-08-05,V3_C_RISK_CONTROL,3,1,0,2,1,False,PASS,False,0.0
2025-08-06,V3_C_RISK_CONTROL,3,1,2,3,0,False,PASS,False,0.0
2025-08-07,V3_C_RISK_CONTROL,3,2,1,2,1,False,PASS,False,0.0
2025-08-08,V3_C_RISK_CONTROL,3,2,2,2,0,False,PASS,False,0.0
2025-08-11,V3_C_RISK_CONTROL,3,2,1,1,1,False,PASS,False,0.0
2025-08-12,V3_C_RISK_CONTROL,3,2,2,1,1,False,PASS,False,0.0
2025-08-13,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2025-08-14,V3_C_RISK_CONTROL,3,2,1,2,0,False,PASS,False,0.0
2025-08-18,V3_C_RISK_CONTROL,3,2,1,1,1,False,PASS,False,0.0
2025-08-19,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2025-08-20,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2025-08-21,V3_C_RISK_CONTROL,3,2,2,1,1,False,PASS,False,0.0
2025-08-22,V3_C_RISK_CONTROL,3,2,2,1,0,False,PASS,False,0.0
2025-08-25,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2025-08-26,V3_C_RISK_CONTROL,3,0,0,3,0,False,PASS,False,0.0
2025-08-27,V3_C_RISK_CONTROL,3,0,1,2,0,False,PASS,False,0.0
2025-08-28,V3_C_RISK_CONTROL,3,1,1,2,1,False,PASS,False,0.0
2025-08-29,V3_C_RISK_CONTROL,3,1,2,1,0,False,PASS,False,0.0
2025-09-01,V3_C_RISK_CONTROL,3,0,2,2,0,False,PASS,False,0.0
2025-09-02,V3_C_RISK_CONTROL,3,1,2,2,0,False,PASS,False,0.0
2025-09-03,V3_C_RISK_CONTROL,3,3,2,2,0,False,PASS,False,0.0
2025-09-04,V3_C_RISK_CONTROL,3,1,1,2,0,False,PASS,False,0.0
2025-09-05,V3_C_RISK_CONTROL,3,2,0,2,1,False,PASS,False,0.0
2025-09-08,V3_C_RISK_CONTROL,3,2,2,1,1,False,PASS,False,0.0
2025-09-09,V3_C_RISK_CONTROL,3,1,1,1,1,False,PASS,False,0.0
2025-09-10,V3_C_RISK_CONTROL,3,2,2,1,0,False,PASS,False,0.0
