d0_date,stock_code,stock_name,market,sector,industry,stock_type,d0_open,d0_high,d0_low,d0_close,d0_volume,d0_prev_close,d0_pct_change,d0_trading_value_proxy_eok,d0_volume_vs_20d,d0_value_vs_20d,d0_upper_shadow_ratio,d0_lower_shadow_ratio,d0_range_pct,d0_volume_rank,d0_value_rank,signal_date,trading_day_age,duplicate_active_event_dropped,signal_prev_close,entry_1500_available,entry_1500_price,entry_1500_dt,signal_volume_to_1500,rsi14_signal_1500,signal_minute_rows_to_1500,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,pool_f_base,pool_f_refined_d0,pool_signal_balanced,daily3_active_score,entry_price_1500,signal_trading_value_to_1500_eok,source_universe,selection_feature_scope,v2_score_total_100,v2_candle_score,v2_pullback_score,v2_liquidity_score,v2_risk_penalty_norm,v2_amount_limit_pass,v2_volume_filter_pass,v2_change_filter_pass,v2_valid,source_model_key,source_model_label,source_rank
2026-05-29,034220,LG디스플레이,KOSPI,전자부품 제조업,"고화질, 초대형, 폴더블 고부가가치 디스플레이 제품 개발, 제조",COMMON,15240,16600,14700,16090,60260628,14420.0,11.581137309292643,9695.9350452,4.515843487411843,5.159899313182358,0.26842105263157895,0.28421052631578947,12.925170068027212,2.0,14.0,2026-06-01,1,False,16090.0,True,15750.0,2026-06-01 15:00:00,52059124.0,61.11111111111111,360,-2.1131137352392804,-2.1131137352392804,-5.12048192771084,86.3899460191487,False,False,True,71.0,15750.0,8199.31203,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,76.788297,0.559592,0.825775,1.0,0.0,True,True,True,True,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,1
2026-05-19,356680,엑스게이트,KOSDAQ,소프트웨어 개발 및 공급업,통합 네트워크 보안 솔루션,COMMON,16060,19430,16060,19000,10755689,15460.0,22.897800776196632,2043.58091,1.8790215287220267,2.194710814293873,0.12759643916913946,0.0,20.983810709838107,22.0,32.0,2026-06-01,8,False,25000.0,True,21200.0,2026-06-01 15:00:00,1288336.0,57.142857142857146,361,-15.200000000000003,11.578947368421044,9.109624292331443,11.978181964911778,False,False,False,50.25,21200.0,273.127232,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,72.651302,1.0,0.64244,0.755196,0.0,True,True,True,True,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,2
2026-05-15,080220,제주반도체,KOSDAQ,반도체 제조업,"모바일용 LP DDR SDRAM, CRAM, SRAM",COMMON,76000,89100,71100,82300,10810191,75600.0,8.86243386243386,8896.787193,2.259405730986927,3.30627039223435,0.37777777777777777,0.2722222222222222,25.31645569620253,21.0,9.0,2026-06-01,10,False,97800.0,True,99400.0,2026-06-01 15:00:00,3021421.0,33.33333333333333,361,1.6359918200409052,20.777642770352365,11.56004489337823,27.94974667885147,False,False,True,40.75,99400.0,3003.292474,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,68.715154,0.743648,0.62674,1.0,0.0,True,True,True,True,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,3
