d0_date,stock_code,stock_name,market,sector,industry,stock_type,d0_open,d0_high,d0_low,d0_close,d0_volume,d0_prev_close,d0_pct_change,d0_trading_value_proxy_eok,d0_volume_vs_20d,d0_value_vs_20d,d0_upper_shadow_ratio,d0_lower_shadow_ratio,d0_range_pct,d0_volume_rank,d0_value_rank,signal_date,trading_day_age,duplicate_active_event_dropped,signal_prev_close,entry_1500_available,entry_1500_price,entry_1500_dt,signal_volume_to_1500,rsi14_signal_1500,signal_minute_rows_to_1500,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,pool_f_base,pool_f_refined_d0,pool_signal_balanced,daily3_active_score,entry_price_1500,signal_trading_value_to_1500_eok,source_universe,selection_feature_scope,v2_score_total_100,v2_candle_score,v2_pullback_score,v2_liquidity_score,v2_risk_penalty_norm,v2_amount_limit_pass,v2_volume_filter_pass,v2_change_filter_pass,v2_valid,source_model_key,source_model_label,source_rank
2025-04-01,007110,일신석재,KOSPI,"건축자재, 철물 및 난방장치 도매업","건축석 제조,도소매/석공예,석공사",COMMON,1940,2080,1851,2005,15968847,1764.0,13.662131519274379,320.17538235,8.50526600262569,8.522481286600465,0.32751091703056767,0.388646288209607,12.371690977849811,10.0,86.0,2025-04-02,1,False,2005.0,True,2020.0,2025-04-02 15:00:00,8467594.0,45.45454545454546,360,0.7481296758104827,0.7481296758104827,-2.8846153846153855,53.02570686537356,False,False,True,78.0,2020.0,171.0453988,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,78.903423,0.659238,0.990934,0.352694,0.15,True,True,True,True,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,1
2025-04-01,052220,iMBC,KOSDAQ,영상·오디오물 제공 서비스업,"디지털콘텐츠,웹에이젼시",COMMON,4015,5260,4000,5260,19121036,4060.0,29.556650246305427,1005.7664936,7.881161816504426,9.699299262719462,0.0,0.011904761904761904,31.5,7.0,20.0,2025-04-02,1,False,5260.0,True,5120.0,2025-04-02 15:00:00,14028088.0,45.6140350877193,361,-2.6615969581749055,-2.6615969581749055,-2.6615969581749055,73.36468588835878,False,False,True,81.0,5120.0,718.2381056,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,77.364498,0.828897,0.973411,0.601249,0.5,True,True,True,True,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,2
2025-03-31,476060,온코닉테라퓨틱스,KOSDAQ,자연과학 및 공학 연구개발업,"자큐보정(Zastaprazan, 소화기질환 신약), Nesuparib(표적항암제 신약)",COMMON,5450,6488,4908,6488,38541668,4995.0,29.889889889889897,2500.58341984,3.174067171818376,4.465923537423421,0.0,0.3430379746835443,32.19233903830481,2.0,4.0,2025-04-02,2,False,6313.0,True,6975.0,2025-04-02 15:00:00,5499570.0,61.78057553956834,359,10.486298115000793,7.506165228113448,7.506165228113448,14.269154100958994,False,False,True,58.75,6975.0,383.5950075,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,73.584357,1.0,0.764286,0.799021,0.35,True,True,True,True,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,3
2025-04-02,065500,오리엔트정공,KOSDAQ,자동차 신품 부품 제조업,"하우징, 리테이너베어링",COMMON,14250,16870,13560,15890,50208521,13070.0,21.576128538638105,7978.1339869,3.7097020543458914,6.359232720506725,0.29607250755287007,0.2084592145015106,24.410029498525073,3.0,2.0,2025-04-03,1,False,15890.0,True,15910.0,2025-04-03 15:00:00,37762971.0,49.81751824817518,358,0.12586532410321372,0.12586532410321372,-5.690574985180796,75.21227522316381,False,False,True,85.0,15910.0,6008.0886861,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,73.3335,0.506364,0.788598,1.0,0.0,True,True,True,True,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,1
2025-04-01,007110,일신석재,KOSPI,"건축자재, 철물 및 난방장치 도매업","건축석 제조,도소매/석공예,석공사",COMMON,1940,2080,1851,2005,15968847,1764.0,13.662131519274379,320.17538235,8.50526600262569,8.522481286600465,0.32751091703056767,0.388646288209607,12.371690977849811,10.0,86.0,2025-04-03,2,False,2030.0,True,2060.0,2025-04-03 15:00:00,5675766.0,40.0,361,1.4778325123152802,2.7431421446383997,-0.9615384615384581,35.54274143900308,False,False,True,77.75,2060.0,116.9207796,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,72.416854,0.782865,0.839835,0.352694,0.15,True,True,True,True,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,2
2025-03-28,199550,레이저옵텍,KOSDAQ,의료용 기기 제조업,레이저 기반 피부미용기기 및 질환치료기기,COMMON,9551,10775,9325,9984,13890575,9165.0,8.936170212765958,1386.835008,3.252974261057708,3.5102542383160316,0.5455172413793103,0.15586206896551724,15.549597855227882,14.0,10.0,2025-04-03,4,False,10041.0,True,10465.0,2025-04-03 15:00:00,4561339.0,22.35294117647058,361,4.222686983368185,4.817708333333326,-2.877030162412997,32.837654308766915,False,False,False,60.25,10465.0,477.34412635,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,69.533532,0.413264,0.934632,0.671012,0.35,True,True,True,True,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,3
2025-04-03,475460,미트박스,KOSDAQ,기타 정보 서비스업,축산물 도소매 판매 및 중개,COMMON,11180,14030,11150,13750,11592240,11230.0,22.439893143365985,1593.933,19.23373758686797,23.991589574473586,0.09722222222222222,0.010416666666666666,25.829596412556054,14.0,10.0,2025-04-04,1,False,13750.0,True,13640.0,2025-04-04 15:00:00,6229630.0,67.64705882352942,361,-0.8000000000000007,-0.8000000000000007,-2.7797576621525266,53.73965687390875,False,False,True,89.0,13640.0,849.721532,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,85.874016,0.821301,0.982695,0.701235,0.15,True,True,True,True,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,1
2025-04-01,007110,일신석재,KOSPI,"건축자재, 철물 및 난방장치 도매업","건축석 제조,도소매/석공예,석공사",COMMON,1940,2080,1851,2005,15968847,1764.0,13.662131519274379,320.17538235,8.50526600262569,8.522481286600465,0.32751091703056767,0.388646288209607,12.371690977849811,10.0,86.0,2025-04-04,3,False,2060.0,True,2240.0,2025-04-04 15:00:00,20930732.0,64.42307692307692,360,8.737864077669899,11.72069825436408,7.692307692307687,131.07228092297458,False,False,True,37.5,2240.0,468.8483968,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,69.17357,0.844678,0.764286,0.352694,0.15,True,True,True,True,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,2
2025-04-02,308100,형지글로벌,KOSDAQ,"섬유, 의복, 신발 및 가죽제품 소매업",골프의류 및 골프잡화,COMMON,5208,6316,4690,6316,17782082,4861.0,29.932112734005358,1123.11629912,29.851968861897678,45.15781001261222,0.0,0.31857318573185733,34.66950959488273,10.0,20.0,2025-04-04,2,False,6316.0,True,6822.0,2025-04-04 15:00:00,14963297.0,53.09017223910841,343,8.011399620012671,8.011399620012671,8.011399620012671,84.14817230063386,False,False,True,68.75,6822.0,1020.79612134,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,68.653153,1.0,0.764286,0.625212,0.5,True,True,True,True,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,3
2025-04-03,475460,미트박스,KOSDAQ,기타 정보 서비스업,축산물 도소매 판매 및 중개,COMMON,11180,14030,11150,13750,11592240,11230.0,22.439893143365985,1593.933,19.23373758686797,23.991589574473586,0.09722222222222222,0.010416666666666666,25.829596412556054,14.0,10.0,2025-04-07,2,False,13760.0,True,13910.0,2025-04-07 15:00:00,4601197.0,51.16279069767442,361,1.0901162790697638,1.1636363636363667,-0.8553100498930877,39.692043988047175,False,False,True,94.75,13910.0,640.0265027,COMMON_D0_ACTIVE_WATCH,pre_outcome_1500_only,79.382824,0.945016,0.831489,0.701235,0.15,True,True,True,True,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,1
