signal_date,rank,stock_code,stock_name,active_variant,compare_variant,active_route,fallback_route,v3_total_score,v3_grade,entry_1500_price,source_freshness,stale_sources,fallback_used,fallback_reason,operational_allowed,consensus_sources,in_eod_active_top3,in_v2_hybrid_top3,in_human_proxy_top3,consensus_score,rank_score,path_score,risk_control_score,market_condition_score,liquidity_score,manual_proxy_score,complete_d1,complete_d5,h1_plus1_touch,h1_minus2_touch,h5_plus1_touch,h5_plus2_touch,h5_plus3_touch,h5_minus1_touch,h5_minus2_touch,h5_minus3_touch,ret_d1_close_pct,ret_d5_close_pct
2025-11-27,2,005930,삼성전자,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,56.75,B,103500.0,PASS,,False,,True,EOD,True,False,False,20.0,15.0,90.0,85.0,50.0,75.0,50.0,True,True,False,True,True,False,False,True,True,True,-2.898550724637683,1.5458937198067568
2025-11-27,3,486990,노타,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,55.35,B,49900.0,PASS,,False,,True,EOD,True,False,False,20.0,10.0,84.0,85.0,50.0,75.0,50.0,True,True,True,True,True,True,False,True,True,True,-11.422845691382765,-14.829659318637278
2025-11-28,1,424870,이뮨온시아,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,66.812051,B,10439.0,PASS,,False,,True,"EOD,V2",True,True,False,65.0,15.0,85.413673,85.0,50.0,65.0,50.0,True,True,False,True,True,True,True,True,True,True,-7.194175687326377,1.5614522463837543
2025-11-28,2,476060,온코닉테라퓨틱스,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,62.359353,B,20850.0,PASS,,False,,True,"V2,Human",False,True,True,45.0,17.0,74.265058,85.0,50.0,65.0,90.391892,True,True,True,True,True,False,False,True,True,True,-4.74820143884892,-17.122302158273385
2025-11-28,3,010170,대한광통신,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,61.5814,B,2266.0,PASS,,False,,True,V2,False,True,False,40.0,15.0,92.20933225,85.0,50.0,65.0,50.0,True,True,True,True,True,True,True,True,True,True,-1.4563106796116498,0.0
2025-12-01,1,098460,고영,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,79.061442,A,26250.0,PASS,,False,,True,"EOD,V2,Human",True,True,True,100.0,33.0,80.10961449999999,85.0,50.0,75.0,89.9,True,True,True,True,True,True,True,True,True,False,5.714285714285716,0.952380952380949
2025-12-01,2,125490,한라캐스트,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,63.639049,B,15560.0,PASS,,False,,True,"V2,Human",False,True,True,45.0,22.0,79.274612,85.0,50.0,65.0,90.957143,True,True,True,True,True,True,True,True,True,True,-1.0282776349614386,17.544987146529568
2025-12-01,3,092200,디아이씨,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,55.543971,B,9700.0,PASS,,False,,True,V2,False,True,False,25.0,5.0,83.6264765,85.0,50.0,65.0,50.0,True,True,True,True,True,True,True,True,True,True,0.4123711340206171,32.371134020618555
2025-12-02,1,098460,고영,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,62.54939,B,27925.0,PASS,,False,,True,"EOD,Human",True,False,True,40.0,14.0,84.0,85.0,50.0,75.0,85.987805,True,True,True,False,True,True,True,True,True,True,3.1333930170098556,-1.8800358102059045
2025-12-02,2,424870,이뮨온시아,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,59.227823,B,10516.0,PASS,,False,,True,V2,False,True,False,40.0,15.0,86.51882,80.0,50.0,65.0,50.0,True,True,False,True,True,True,True,True,True,True,-6.2190947128185625,1.825789273488021
2025-12-02,3,125490,한라캐스트,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,55.975307,B,15450.0,PASS,,False,,True,V2,False,True,False,25.0,10.0,83.16871175,85.0,50.0,65.0,50.0,True,True,True,False,True,True,True,True,False,False,0.7766990291262044,16.37540453074433
2025-12-03,1,319400,현대무벡스,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,57.360811,B,10490.0,PASS,,False,,True,Human,False,False,True,20.0,8.0,90.0,85.0,50.0,65.0,86.216216,True,True,True,True,True,True,True,True,True,True,-2.287893231649185,1.1439466158245981
2025-12-03,2,308080,바이젠셀,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,56.772957,B,7800.0,PASS,,False,,True,"V2,Human",False,True,True,45.0,14.0,54.49989375,80.0,50.0,55.0,83.959459,True,True,True,False,True,True,True,True,False,False,15.384615384615374,102.56410256410255
