signal_date,rank,stock_code,stock_name,active_variant,compare_variant,active_route,fallback_route,v3_total_score,v3_grade,entry_1500_price,source_freshness,stale_sources,fallback_used,fallback_reason,operational_allowed,consensus_sources,in_eod_active_top3,in_v2_hybrid_top3,in_human_proxy_top3,consensus_score,rank_score,path_score,risk_control_score,market_condition_score,liquidity_score,manual_proxy_score,complete_d1,complete_d5,h1_plus1_touch,h1_minus2_touch,h5_plus1_touch,h5_plus2_touch,h5_plus3_touch,h5_minus1_touch,h5_minus2_touch,h5_minus3_touch,ret_d1_close_pct,ret_d5_close_pct
2026-06-01,1,034220,LG디스플레이,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,81.300715,A,15750.0,PASS,,False,,True,"EOD,V2,Human",True,True,True,100.0,38.0,90.69707425,85.0,50.0,75.0,92.923077,False,False,False,False,False,False,False,False,False,False,,
2026-06-01,2,080220,제주반도체,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,56.701818,B,99400.0,PASS,,False,,True,"EOD,V2",True,True,False,65.0,15.0,64.6787885,60.0,50.0,75.0,50.0,False,False,False,False,False,False,False,False,False,False,,
2026-06-01,3,006660,삼성공조,V3_C_RISK_CONTROL,V3_D_V2_CONFIRM,BELL_V3_CONSENSUS_TOP3,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,55.578846,B,18400.0,PASS,,False,,True,Human,False,False,True,20.0,12.0,73.0,85.0,50.0,65.0,93.576923,False,False,False,False,False,False,False,False,False,False,,
