signal_date,stock_code,stock_name,entry_1500_price,entry_price_1500,d0_date,trading_day_age,d0_trading_value_proxy_eok,signal_vs_d0_high_pct,signal_vs_d0_close_pct,signal_volume_retention_vs_d0,signal_day_pct_change_1500,rsi14_signal_1500,daily3_active_score,stock_name_eodsrc,eod_rank,eod_model_key,eod_model_label,entry_1500_price_eodsrc,entry_price_1500_eodsrc,d0_date_eodsrc,trading_day_age_eodsrc,d0_trading_value_proxy_eok_eodsrc,signal_vs_d0_high_pct_eodsrc,signal_vs_d0_close_pct_eodsrc,signal_volume_retention_vs_d0_eodsrc,signal_day_pct_change_1500_eodsrc,rsi14_signal_1500_eodsrc,daily3_active_score_eodsrc,stock_name_v2src,v2_rank,v2_model_key,v2_model_label,entry_1500_price_v2src,entry_price_1500_v2src,d0_date_v2src,trading_day_age_v2src,d0_trading_value_proxy_eok_v2src,signal_vs_d0_high_pct_v2src,signal_vs_d0_close_pct_v2src,signal_volume_retention_vs_d0_v2src,signal_day_pct_change_1500_v2src,rsi14_signal_1500_v2src,daily3_active_score_v2src,v2_score_total_100,stock_name_humansrc,human_rank,human_model_key,human_model_label,entry_1500_price_humansrc,entry_price_1500_humansrc,d0_date_humansrc,trading_day_age_humansrc,d0_trading_value_proxy_eok_humansrc,signal_vs_d0_high_pct_humansrc,signal_vs_d0_close_pct_humansrc,signal_volume_retention_vs_d0_humansrc,signal_day_pct_change_1500_humansrc,rsi14_signal_1500_humansrc,daily3_active_score_humansrc,human_score,candidate_weak_flag_count,candidate_weak,in_eod_active_top3,in_v2_hybrid_top3,in_human_proxy_top3,candidate_pool_source_count,consensus_score,rank_score,path_score,risk_control_score,liquidity_score,manual_proxy_score,market_condition_score,v3_variant,variant_bonus,total_score,v3_rank,selected_top3
2025-04-02,007110,일신석재,2020.0,2020.0,2025-04-01,1,320.17538235,-2.8846153846153855,0.7481296758104827,53.02570686537356,0.7481296758104827,45.45454545454546,78.0,,9999.0,,,,,,,,,,,,,,일신석재,1.0,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,2020.0,2020.0,2025-04-01,1.0,320.17538235,-2.8846153846153855,0.7481296758104827,53.02570686537356,0.7481296758104827,45.45454545454546,78.0,78.903423,,,,,,,,,,,,,,,,,,,False,True,False,1,40.0,15.0,91.22585575,85.0,55.0,50.0,50.0,V3_C_RISK_CONTROL,0.0,60.933878,1,True
2025-04-02,052220,iMBC,5120.0,5120.0,2025-04-01,1,1005.7664936,-2.6615969581749055,-2.6615969581749055,73.36468588835878,-2.6615969581749055,45.6140350877193,81.0,,9999.0,,,,,,,,,,,,,,iMBC,2.0,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,5120.0,5120.0,2025-04-01,1.0,1005.7664936,-2.6615969581749055,-2.6615969581749055,73.36468588835878,-2.6615969581749055,45.6140350877193,81.0,77.364498,,,,,,,,,,,,,,,,,,,False,True,False,1,25.0,10.0,90.8411245,85.0,65.0,50.0,50.0,V3_C_RISK_CONTROL,0.0,57.126169,2,True
2025-04-02,005930,삼성전자,58850.0,58850.0,2025-04-01,1,8138.923128,-1.2583892617449632,0.08503401360544505,92.38476817814221,0.08503401360544505,38.46153846153846,80.0,삼성전자,1.0,EOD_ACTIVE_WATCH_LATEST_TOP3,EOD Active Watch Top3,58850.0,58850.0,2025-04-01,1.0,8138.923128,-1.2583892617449632,0.08503401360544505,92.38476817814221,0.08503401360544505,38.46153846153846,80.0,,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,1,20.0,15.0,90.0,85.0,75.0,50.0,50.0,V3_C_RISK_CONTROL,0.0,56.75,3,True
2025-04-02,065500,오리엔트정공,16290.0,16290.0,2025-04-01,1,2144.1174239,24.63657230298393,24.63657230298393,282.1952337710304,24.63657230298393,47.20812182741117,55.0,,9999.0,,,,,,,,,,,,,,,9999.0,,,,,,,,,,,,,,,오리엔트정공,1.0,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,16290.0,16290.0,2025-04-01,1.0,2144.1174239,24.63657230298393,24.63657230298393,282.1952337710304,24.63657230298393,47.20812182741117,55.0,95.764151,0.0,False,False,False,True,1,20.0,12.0,67.0,85.0,65.0,95.764151,50.0,V3_C_RISK_CONTROL,0.0,54.788208,4,False
2025-04-02,093240,형지엘리트,3373.0,3373.0,2025-04-01,1,746.22249352,19.27157001414428,19.27157001414428,141.225236702377,19.27157001414428,49.08579465541491,48.0,,9999.0,,,,,,,,,,,,,,,9999.0,,,,,,,,,,,,,,,형지엘리트,2.0,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,3373.0,3373.0,2025-04-01,1.0,746.22249352,19.27157001414428,19.27157001414428,141.225236702377,19.27157001414428,49.08579465541491,48.0,94.04717,0.0,False,False,False,True,1,20.0,8.0,67.0,85.0,55.0,94.04717,50.0,V3_C_RISK_CONTROL,0.0,53.802358,5,False
2025-04-02,002630,오리엔트바이오,2335.0,2335.0,2025-04-01,1,751.81683855,13.625304136253046,13.625304136253046,237.94259309224407,13.625304136253046,42.519685039370074,55.0,,9999.0,,,,,,,,,,,,,,,9999.0,,,,,,,,,,,,,,,오리엔트바이오,3.0,HUMAN_PROXY_ALIGNED_DAILY_TOP3,Human Proxy aligned daily Top3,2335.0,2335.0,2025-04-01,1.0,751.81683855,13.625304136253046,13.625304136253046,237.94259309224407,13.625304136253046,42.519685039370074,55.0,93.349057,0.0,False,False,False,True,1,20.0,4.0,67.0,85.0,55.0,93.349057,50.0,V3_C_RISK_CONTROL,0.0,53.367453,6,False
2025-04-02,476060,온코닉테라퓨틱스,6975.0,6975.0,2025-03-31,2,2500.58341984,7.506165228113448,7.506165228113448,14.269154100958994,10.486298115000793,61.78057553956834,58.75,,9999.0,,,,,,,,,,,,,,온코닉테라퓨틱스,3.0,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,6975.0,6975.0,2025-03-31,2.0,2500.58341984,7.506165228113448,7.506165228113448,14.269154100958994,10.486298115000793,61.78057553956834,58.75,73.584357,,,,,,,,,,,,,,,,,,,False,True,False,1,25.0,5.0,58.89608925,70.0,65.0,50.0,50.0,V3_C_RISK_CONTROL,0.0,47.334413,7,False
2025-04-02,034020,두산에너빌리티,24000.0,24000.0,2025-03-21,8,4341.0978,-13.200723327305608,-11.111111111111116,21.492983641142573,0.6289308176100628,66.66666666666666,50.25,두산에너빌리티,3.0,EOD_ACTIVE_WATCH_LATEST_TOP3,EOD Active Watch Top3,24000.0,24000.0,2025-03-21,8.0,4341.0978,-13.200723327305608,-11.111111111111116,21.492983641142573,0.6289308176100628,66.66666666666666,50.25,,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,1,20.0,5.0,28.0,48.0,65.0,50.0,50.0,V3_C_RISK_CONTROL,0.0,34.85,8,False
2025-04-02,272210,한화시스템,33400.0,33400.0,2025-03-19,10,5058.2828075,-23.04147465437788,-20.946745562130175,17.46878013996848,-1.4749262536873142,40.0,56.75,한화시스템,2.0,EOD_ACTIVE_WATCH_LATEST_TOP3,EOD Active Watch Top3,33400.0,33400.0,2025-03-19,10.0,5058.2828075,-23.04147465437788,-20.946745562130175,17.46878013996848,-1.4749262536873142,40.0,56.75,,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,1,20.0,10.0,0.0,15.0,75.0,50.0,50.0,V3_C_RISK_CONTROL,0.0,21.75,9,False
2025-04-03,065500,오리엔트정공,15910.0,15910.0,2025-04-02,1,7978.1339869,-5.690574985180796,0.12586532410321372,75.21227522316381,0.12586532410321372,49.81751824817518,85.0,오리엔트정공,2.0,EOD_ACTIVE_WATCH_LATEST_TOP3,EOD Active Watch Top3,15910.0,15910.0,2025-04-02,1.0,7978.1339869,-5.690574985180796,0.12586532410321372,75.21227522316381,0.12586532410321372,49.81751824817518,85.0,오리엔트정공,1.0,V2_HYBRID_ALIGNED_D0_ACTIVE_TOP3,V2 Hybrid aligned D0 Active Top3,15910.0,15910.0,2025-04-02,1.0,7978.1339869,-5.690574985180796,0.12586532410321372,75.21227522316381,0.12586532410321372,49.81751824817518,85.0,73.3335,,,,,,,,,,,,,,,,,,,True,True,False,2,80.0,25.0,95.833375,85.0,75.0,50.0,50.0,V3_C_RISK_CONTROL,0.0,73.625006,1,True
