signal_date,policy_key,policy_label_ko,candidate_n,fill_pass_rate_pct,d5_profit_first_rate_pct,d5_loss_first_rate_pct,dplus1_G_count,dplus1_Y_count,dplus1_O_count,dplus1_R_count,dplus1_X_count,dplus2_G_count,dplus2_Y_count,dplus2_O_count,dplus2_R_count,dplus2_X_count,dplus3_G_count,dplus3_Y_count,dplus3_O_count,dplus3_R_count,dplus3_X_count,dplus4_G_count,dplus4_Y_count,dplus4_O_count,dplus4_R_count,dplus4_X_count,dplus5_G_count,dplus5_Y_count,dplus5_O_count,dplus5_R_count,dplus5_X_count
2026-04-17,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,0.0,100.0,0,0,2,1,0,3,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,1,1,1,0
2026-04-20,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,26,96.1538,46.1538,50.0,1,3,15,6,1,4,5,11,5,1,4,7,7,7,1,4,5,12,4,1,4,11,7,1,3
2026-04-20,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,100.0,0.0,2,1,0,0,0,0,1,1,1,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0
2026-04-20,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,100.0,0.0,1,1,1,0,0,0,1,0,2,0,1,2,0,0,0,0,1,2,0,0,0,2,1,0,0
2026-04-20,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,100.0,0.0,2,1,0,0,0,1,2,0,0,0,1,0,2,0,0,1,1,0,1,0,0,3,0,0,0
2026-04-21,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,16,100.0,37.5,62.5,3,4,4,4,1,0,2,11,3,0,2,4,6,2,2,2,6,3,3,2,5,5,5,0,1
2026-04-21,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,33.3333,66.6667,0,1,1,1,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0
2026-04-21,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,33.3333,66.6667,0,1,1,1,0,0,2,1,0,0,0,1,2,0,0,1,1,1,0,0,0,1,2,0,0
2026-04-21,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,33.3333,66.6667,0,2,0,1,0,1,0,2,0,0,1,0,1,1,0,0,2,0,0,1,1,1,0,1,0
2026-04-22,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,23,100.0,39.1304,60.8696,1,6,11,5,0,6,7,7,2,1,7,2,9,3,2,4,6,8,3,2,1,7,10,4,1
2026-04-22,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,66.6667,33.3333,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,1,1,1,0
2026-04-22,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,66.6667,33.3333,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,1,1,1,0
2026-04-22,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,100.0,0.0,1,1,1,0,0,1,0,2,0,0,0,1,1,0,1,0,1,0,2,0,0,1,2,0,0
2026-04-23,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,21,95.2381,38.0952,52.381,1,11,6,0,3,3,8,8,1,1,1,7,10,2,1,2,5,10,3,1,1,4,13,2,1
2026-04-23,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,33.3333,66.6667,0,2,1,0,0,1,1,1,0,0,0,1,2,0,0,0,1,1,1,0,0,1,1,1,0
2026-04-23,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,33.3333,66.6667,0,2,1,0,0,1,1,1,0,0,0,1,2,0,0,0,1,2,0,0,0,1,1,1,0
2026-04-23,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,0.0,100.0,0,1,2,0,0,1,0,1,0,1,0,1,1,1,0,0,2,1,0,0,0,1,1,1,0
2026-04-24,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,19,94.7368,52.6316,42.1053,6,6,6,0,1,0,5,11,1,2,2,6,7,3,1,1,5,12,0,1,7,3,7,1,1
2026-04-24,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,66.6667,66.6667,33.3333,0,2,1,0,0,0,1,2,0,0,0,1,1,1,0,0,0,2,1,0,0,1,2,0,0
2026-04-24,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,66.6667,66.6667,33.3333,1,2,0,0,0,0,1,2,0,0,0,1,2,0,0,0,0,2,1,0,1,0,2,0,0
2026-04-24,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,66.6667,33.3333,2,0,1,0,0,0,0,2,1,0,0,2,1,0,0,0,1,2,0,0,2,0,1,0,0
2026-04-27,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,22,95.4545,31.8182,63.6364,1,3,16,0,2,1,10,7,3,1,3,2,15,1,1,9,5,7,0,1,7,7,6,0,2
2026-04-27,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,33.3333,66.6667,0,1,2,0,0,0,1,2,0,0,0,1,1,1,0,1,0,2,0,0,2,1,0,0,0
2026-04-27,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,33.3333,66.6667,0,1,2,0,0,0,1,2,0,0,0,0,2,1,0,1,0,2,0,0,2,1,0,0,0
2026-04-27,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,33.3333,66.6667,0,0,3,0,0,0,1,2,0,0,0,2,1,0,0,3,0,0,0,0,2,1,0,0,0
2026-04-28,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,28,96.4286,28.5714,64.2857,2,5,15,5,1,2,2,20,3,1,9,7,10,1,1,3,6,17,1,1,3,7,16,1,1
2026-04-28,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,33.3333,66.6667,0,1,2,0,0,0,1,1,1,0,1,0,2,0,0,2,1,0,0,0,2,0,1,0,0
2026-04-28,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,33.3333,66.6667,0,1,2,0,0,0,0,2,1,0,1,0,2,0,0,2,1,0,0,0,1,0,2,0,0
2026-04-28,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,33.3333,66.6667,0,1,2,0,0,0,1,2,0,0,2,0,1,0,0,2,0,1,0,0,1,0,2,0,0
2026-04-29,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,13,100.0,46.1538,53.8462,3,3,5,1,1,8,2,2,1,0,1,4,5,2,1,0,2,8,3,0,0,6,3,4,0
2026-04-29,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,33.3333,66.6667,0,2,0,1,0,2,0,1,0,0,1,2,0,0,0,2,0,1,0,0,0,2,0,1,0
2026-04-29,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,33.3333,66.6667,0,2,0,1,0,2,0,1,0,0,0,3,0,0,0,1,0,2,0,0,0,2,0,1,0
2026-04-29,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,33.3333,66.6667,0,2,1,0,0,2,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,2,1,0,0
2026-04-30,D0_POOL_ALL_RECENT_1M,최근 한 달 D0 후보 전체,21,90.4762,57.1429,33.3333,9,3,5,2,2,2,3,7,7,2,2,5,8,4,2,1,6,12,0,2,3,2,11,3,2
2026-04-30,P0_LEGACY_D0_RANK_TOP3,기존 P0 d0_rank Top3,3,100.0,66.6667,33.3333,2,0,1,0,0,0,3,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,3,0,0
2026-04-30,P0_TRADING_VALUE_TOP3,거래대금 순수 Top3,3,100.0,66.6667,33.3333,2,0,1,0,0,0,3,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,3,0,0
2026-04-30,V2_FINAL_TOP3,최종 운영형 V2 Top3,3,100.0,100.0,0.0,2,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,2,1,0,0,0,0,3,0,0
