metric,value
created_at,2026-05-20T08:33:21
calendar_max_date,2026-05-19
latest_signal_date,2026-05-19
rows_total,825
entry_1500_available_rate,98.3030303030303
d1_outcome_available_rate,99.63503649635037
h5_outcome_available_rate,98.88888888888889
d1_due_rows,822
h5_due_rows,810
minute_missing_rows,21
partial_minute_rows,7
latest_pending_rows,3
date_mapping_error_rows,0
replay_rows,825
pass_entry_rate,True
pass_d1_rate,True
pass_h5_rate,True
pass_date_mapping,True
overall_status,PASS
