signal_date,signal_time,code,name,market,d0_date,trading_day_age,bellguard_score,bellguard_live_light,bellguard_reason,bellguard_data_status,score_v2,d0_pct_change,distance_from_d0_high_pct,volume_ratio_vs_20d,upper_shadow_ratio,d0_trading_value,entry_time,entry_price_1500,daily_latest,minute_latest,inst_trade_latest,short_sale_latest,program_latest,daily_detail_latest,credit_trade_latest,sec_lending_latest,optional_data_note
2026-05-15,14:15,006340,대원전선,KOSPI,2026-05-14,1,57.365996368644936,GREEN,D0 고가 대비 깊은 눌림 / 윗꼬리 부담,OK_REQUIRED_DATA_READY,17.583,6.562,-8.937,0.329,0.651,194664503820.0,2026-05-15 15:00:00,13870.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,005880,대한해운,KOSPI,2026-05-14,1,57.02829072811062,GREEN,D0 고가 대비 눌림 적정,OK_REQUIRED_DATA_READY,57.9019,6.918,-1.923,0.689,0.25,43018780500.0,2026-05-15 15:00:00,2455.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,215790,이노인스트루먼트,KOSDAQ,2026-05-14,1,54.90667856854876,GREEN,D0 고가 대비 눌림 적정,OK_REQUIRED_DATA_READY,64.1697,8.197,-2.737,0.803,0.165,31490989530.0,2026-05-15 15:00:00,2015.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-24,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-24; lending:2026-04-27
2026-05-15,14:15,321260,프로이천,KOSDAQ,2026-05-13,2,54.3164986153372,YELLOW,D0 고가 대비 눌림 적정 / 거래량 증가,OK_REQUIRED_DATA_READY,53.0719,11.447,-7.322,2.422,0.321,67421131310.0,2026-05-15 15:00:00,3610.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-24,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-24; lending:2026-04-27
2026-05-15,14:15,025820,이구산업,KOSPI,2026-05-13,2,53.83720076715656,YELLOW,D0 고가 대비 눌림 적정 / 윗꼬리 부담 / 20일 대비 거래량 과열,OK_REQUIRED_DATA_READY,64.4084,13.805,-5.718,6.502,0.35,89741149680.0,2026-05-15 14:59:00,6000.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,008350,남선알미늄,KOSPI,2026-05-14,1,53.37468027543084,GREEN,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 거래량 증가,OK_REQUIRED_DATA_READY,26.0702,5.659,-9.756,3.167,0.679,104982363475.0,2026-05-15 15:00:00,1799.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:missing
2026-05-15,14:15,452260,한화갤러리아,KOSPI,2026-05-13,2,52.32780658640964,YELLOW,D0 고가 근접 과열 확인 / 윗꼬리 낮음 / 거래량 증가,OK_REQUIRED_DATA_READY,72.7894,30.0,0.0,4.261,0.0,179863578440.0,2026-05-15 15:00:00,3310.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-24,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-24; lending:missing
2026-05-15,14:15,412350,레이저쎌,KOSDAQ,2026-05-14,1,52.25770881349763,YELLOW,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 20일 대비 거래량 과열,OK_REQUIRED_DATA_READY,42.1295,13.184,-10.155,7.322,0.396,136244181980.0,2026-05-15 15:00:00,11230.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-24,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-24; lending:2026-04-27
2026-05-15,14:15,253840,수젠텍,KOSDAQ,2026-05-13,2,52.00179120520381,GREEN,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 거래량 증가,OK_REQUIRED_DATA_READY,20.9504,4.38,-10.289,2.687,0.655,108019232750.0,2026-05-15 15:00:00,6620.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-24,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-24; lending:missing
2026-05-15,14:15,396300,세아메카닉스,KOSDAQ,2026-05-15,0,51.93986201988628,GREEN,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 거래량 증가,OK_REQUIRED_DATA_READY,21.1367,7.799,-15.259,2.845,0.675,70089410680.0,2026-05-15 15:00:00,6160.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-24,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-24; lending:2026-04-27
2026-05-15,14:15,001740,SK네트웍스,KOSPI,2026-05-14,1,51.89272165155566,YELLOW,D0 고가 근접 과열 확인 / 윗꼬리 낮음 / 거래량 증가,OK_REQUIRED_DATA_READY,71.9284,29.934,0.0,4.634,0.0,125884611900.0,2026-05-15 15:00:00,8770.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,2026-04-27,2026-04-30,2026-04-29,2026-04-27,program:2026-04-27; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,095910,에스에너지,KOSDAQ,2026-05-14,1,51.68319584868401,YELLOW,D0 고가 대비 눌림 적정 / 거래량 증가,OK_REQUIRED_DATA_READY,66.9238,23.632,-4.789,3.063,0.204,37405991805.0,2026-05-15 14:59:00,2090.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-24,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-24; lending:missing
2026-05-15,14:15,138360,앤로보틱스,KOSDAQ,2026-05-15,0,50.12945924225322,GREEN,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 거래량 증가,OK_REQUIRED_DATA_READY,10.2831,1.711,-20.04,2.624,0.76,65556183660.0,2026-05-15 15:00:00,3955.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-24,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-24; lending:missing
2026-05-15,14:15,290690,소룩스,KOSDAQ,2026-05-15,0,48.091113712560244,ORANGE,D0 고가 근접 과열 확인 / 윗꼬리 낮음 / 20일 대비 거래량 과열,OK_REQUIRED_DATA_READY,67.0551,29.837,0.0,8.912,0.0,57912203480.0,2026-05-15 14:59:00,5570.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-24,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-24; lending:2026-04-27
2026-05-15,14:15,086960,MDS테크,KOSDAQ,2026-05-13,2,47.60078249124815,YELLOW,D0 고가 대비 눌림 적정 / 윗꼬리 부담 / 거래량 증가,OK_REQUIRED_DATA_READY,38.6103,8.416,-7.854,4.972,0.455,35486100810.0,2026-05-15 15:00:00,3070.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,128820,대성산업,KOSPI,2026-05-14,1,46.88278410131731,YELLOW,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 20일 대비 거래량 과열,OK_REQUIRED_DATA_READY,30.2978,7.437,-8.896,9.289,0.513,92127722680.0,2026-05-15 15:00:00,7430.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-22,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-22; lending:2026-04-27
2026-05-15,14:15,142210,유니트론텍,KOSDAQ,2026-05-13,2,46.25042895484486,YELLOW,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 20일 대비 거래량 과열,OK_REQUIRED_DATA_READY,24.09,6.307,-10.111,8.663,0.481,99390026690.0,2026-05-15 15:00:00,7490.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-24,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-24; lending:missing
2026-05-15,14:15,014910,성문전자,KOSPI,2026-05-14,1,45.41562837330609,YELLOW,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 20일 대비 거래량 과열,OK_REQUIRED_DATA_READY,12.2979,2.124,-18.916,11.387,0.643,143575097715.0,2026-05-15 15:00:00,2960.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,001780,알루코,KOSPI,2026-05-14,1,45.12955152107368,GREEN,D0 고가 대비 깊은 눌림 / 윗꼬리 부담,OK_REQUIRED_DATA_READY,23.1619,6.618,-8.517,1.803,0.6,39483601500.0,2026-05-15 15:00:00,2635.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,2026-04-27,2026-04-30,2026-04-29,2026-04-27,program:2026-04-27; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,142280,녹십자엠에스,KOSDAQ,2026-05-13,2,44.882535044685866,GREEN,D0 고가 대비 깊은 눌림 / 20일 대비 거래량 과열,OK_REQUIRED_DATA_READY,26.275,2.629,-13.321,8.556,0.118,75029965840.0,2026-05-15 15:00:00,4220.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-24,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-24; lending:missing
2026-05-15,14:15,032580,피델릭스,KOSDAQ,2026-05-13,2,36.574444117506324,ORANGE,D0 고가 근접 과열 확인 / 윗꼬리 낮음 / 20일 대비 거래량 과열,OK_REQUIRED_DATA_READY,65.9664,29.96,0.0,9.716,0.0,36880797450.0,2026-05-15 15:00:00,4115.0,2026-05-15,2026-05-15,2026-05-15,2026-05-15,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:missing
2026-05-15,14:15,332570,PS일렉트로닉스,KOSDAQ,2026-05-13,2,65.62215593295039,RED,D0 고가 대비 눌림 적정 / 거래량 증가 / 필수 데이터 일부 지연,EXCLUDE_REQUIRED_DATA_STALE,71.2561,16.997,-5.404,2.647,0.302,352775867980.0,2026-05-15 15:00:00,11950.0,2026-05-15,2026-05-15,2026-05-15,2026-05-11,,2026-04-30,2026-04-29,2026-04-22,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-22; lending:missing
2026-05-15,14:15,012200,계양전기,KOSPI,2026-05-13,2,53.34476589514754,RED,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 20일 대비 거래량 과열 / 필수 데이터 일부 지연,EXCLUDE_REQUIRED_DATA_STALE,35.2204,12.648,-10.935,7.462,0.647,489406407600.0,2026-05-15 15:00:00,8890.0,2026-05-15,2026-05-15,2026-05-15,2026-05-11,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,027360,아주IB투자,KOSDAQ,2026-05-14,1,51.39008683473389,RED,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 필수 데이터 일부 지연,EXCLUDE_REQUIRED_DATA_STALE,0.0,1.209,-12.445,0.699,0.938,210875117400.0,2026-05-15 15:00:00,14060.0,2026-05-15,2026-05-15,2026-05-15,2026-05-11,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
2026-05-15,14:15,223250,드림씨아이에스,KOSDAQ,2026-05-13,2,46.897631830554474,RED,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 20일 대비 거래량 과열 / 필수 데이터 일부 지연,EXCLUDE_REQUIRED_DATA_STALE,33.2221,10.089,-11.561,5.102,0.451,92185427040.0,2026-05-15 15:00:00,6590.0,2026-05-15,2026-05-15,2026-05-15,2026-05-11,,2026-04-30,2026-04-29,2026-04-24,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-24; lending:2026-04-27
2026-05-15,14:15,081150,티플랙스,KOSDAQ,2026-05-14,1,41.700378290487826,RED,D0 고가 대비 깊은 눌림 / 윗꼬리 부담 / 20일 대비 거래량 과열 / 필수 데이터 일부 지연,EXCLUDE_REQUIRED_DATA_STALE,25.6744,11.525,-14.004,8.487,0.624,100217893640.0,2026-05-15 15:00:00,4125.0,2026-05-15,2026-05-15,2026-05-15,2026-05-14,,2026-04-30,2026-04-29,2026-04-27,program:missing; daily_detail:2026-04-30; credit_trade:2026-04-29; sec_lending:2026-04-27; lending:2026-04-27
