d0_date,bellguard_r1_cell,bellguard_r1_light,bellguard_r1_score,bellguard_r1_case_key,bellguard_r1_reason,bellguard_r2_cell,bellguard_r2_light,bellguard_r2_score,bellguard_r2_case_key,bellguard_r2_reason,bellguard_r3_cell,bellguard_r3_light,bellguard_r3_score,bellguard_r3_case_key,bellguard_r3_reason,bellguard_green,bellguard_red,bellguard_avg_down,bellguard_count,bellguard_only_count,bellguard_only_codes,date_verdict,overlap_count,overlap_codes,main_dataset
2025-05-16,🔴 LG에너지솔루션 (373220),RED,-3,HYBRID_D0_RISK_FILTER|2025-05-16|R1|373220,+2 먼저 / -3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,🔴 포스코퓨처엠 (003670),RED,0,HYBRID_D0_RISK_FILTER|2025-05-16|R2|003670,+3 먼저 / -1 먼저 / -5 도달 / -10 도달 / D1 종가 양호,🔴 대상 (001680),RED,-8,HYBRID_D0_RISK_FILTER|2025-05-16|R3|001680,-3 먼저 / -5 도달,0.0,3.0,-8.528268787242451,3.0,3.0,001680|003670|373220,V2 공격 우세,0.0,,bellguard_1y
2025-05-19,🔴 LG에너지솔루션 (373220),RED,-10,HYBRID_D0_RISK_FILTER|2025-05-19|R1|373220,-3 먼저 / -5 도달 / D1 종가 -3 이하,🔴 포스코퓨처엠 (003670),RED,-14,HYBRID_D0_RISK_FILTER|2025-05-19|R2|003670,-3 먼저 / -5 도달 / -10 도달 / D1 종가 -3 이하 / 점심 -3 이하,🔴 SK이노베이션 (096770),RED,-11,HYBRID_D0_RISK_FILTER|2025-05-19|R3|096770,+1 먼저 / -3 먼저 / -5 도달 / D1 종가 -3 이하 / 점심 -3 이하,0.0,3.0,-9.648457769080744,3.0,3.0,003670|096770|373220,V2 공격 우세,0.0,,bellguard_1y
2025-05-20,🔴 포스코퓨처엠 (003670),RED,-7,HYBRID_D0_RISK_FILTER|2025-05-20|R1|003670,+1 먼저 / -3 먼저 / -5 도달,🔴 SK이노베이션 (096770),RED,-4,HYBRID_D0_RISK_FILTER|2025-05-20|R2|096770,+1 먼저 / -3 먼저,🟠 CJ제일제당 (097950),ORANGE,-3,HYBRID_D0_RISK_FILTER|2025-05-20|R3|097950,-2 먼저,0.0,2.0,-5.244614595748065,3.0,3.0,003670|096770|097950,V2 공격 우세,0.0,,bellguard_1y
2025-05-21,🔴 포스코퓨처엠 (003670),RED,-4,HYBRID_D0_RISK_FILTER|2025-05-21|R1|003670,+2 먼저 / -3 먼저 / +5 도달 / -5 도달,🔴 SK이노베이션 (096770),RED,-4,HYBRID_D0_RISK_FILTER|2025-05-21|R2|096770,-3 먼저 / D1 종가 양호,🔴 SK바이오팜 (326030),RED,-5,HYBRID_D0_RISK_FILTER|2025-05-21|R3|326030,-3 먼저,0.0,3.0,-4.947657110780308,3.0,3.0,003670|096770|326030,V2 공격 우세,0.0,,bellguard_1y
2025-05-22,🟢 SK텔레콤 (017670),GREEN,4,HYBRID_D0_RISK_FILTER|2025-05-22|R1|017670,+2 먼저 / 점심 양호,🔴 SK이노베이션 (096770),RED,-8,HYBRID_D0_RISK_FILTER|2025-05-22|R2|096770,-3 먼저 / +5 도달 / D1 종가 -3 이하 / 점심 -3 이하,🟢 한국타이어앤테크놀로지 (161390),GREEN,5,HYBRID_D0_RISK_FILTER|2025-05-22|R3|161390,+3 먼저 / D1 종가 양호,2.0,1.0,-1.7088840421830012,3.0,3.0,017670|096770|161390,HYBRID 방어 우세,0.0,,bellguard_1y
2025-05-23,🟢 메리츠금융지주 (138040),GREEN,6,HYBRID_D0_RISK_FILTER|2025-05-23|R1|138040,+3 먼저 / +5 도달 / D1 종가 양호,🟢 포스코인터내셔널 (047050),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-23|R2|047050,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 CJ제일제당 (097950),GREEN,4,HYBRID_D0_RISK_FILTER|2025-05-23|R3|097950,+3 먼저 / -1 먼저 / D1 종가 양호,3.0,0.0,-0.7358695748757212,3.0,3.0,047050|097950|138040,HYBRID 방어 우세,0.0,,bellguard_1y
2025-05-26,🟢 SK바이오팜 (326030),GREEN,5,HYBRID_D0_RISK_FILTER|2025-05-26|R1|326030,+3 먼저 / D1 종가 양호,🟢 CJ제일제당 (097950),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-26|R2|097950,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 HL만도 (204320),GREEN,4,HYBRID_D0_RISK_FILTER|2025-05-26|R3|204320,+3 먼저 / -1 먼저 / +5 도달,3.0,0.0,-0.4236023891557379,3.0,3.0,097950|204320|326030,HYBRID 방어 우세,0.0,,bellguard_1y
2025-05-27,🟢 메리츠금융지주 (138040),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-27|R1|138040,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 고려아연 (010130),GREEN,6,HYBRID_D0_RISK_FILTER|2025-05-27|R2|010130,+3 먼저 / -1 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 한국타이어앤테크놀로지 (161390),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-27|R3|161390,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,3.0,0.0,-0.6958096082177456,3.0,3.0,010130|138040|161390,HYBRID 방어 우세,0.0,,bellguard_1y
2025-05-28,🔴 한화비전 (489790),RED,-3,HYBRID_D0_RISK_FILTER|2025-05-28|R1|489790,+2 먼저 / -3 먼저 / -5 도달 / D1 종가 양호 / 점심 양호,🔴 고려아연 (010130),RED,-2,HYBRID_D0_RISK_FILTER|2025-05-28|R2|010130,+1 먼저 / -3 먼저 / D1 종가 양호 / 점심 양호,🟢 SKC (011790),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-28|R3|011790,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,1.0,2.0,-4.820050596697178,3.0,3.0,010130|011790|489790,HYBRID 방어 우세,0.0,,bellguard_1y
2025-05-29,🔴 한화비전 (489790),RED,-10,HYBRID_D0_RISK_FILTER|2025-05-29|R1|489790,-3 먼저 / -5 도달 / D1 종가 -3 이하,🟢 한화솔루션 (009830),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-29|R2|009830,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,🟢 오리온 (271560),GREEN,2,HYBRID_D0_RISK_FILTER|2025-05-29|R3|271560,+1 먼저 / 점심 양호,2.0,1.0,-3.294746329686556,3.0,3.0,009830|271560|489790,HYBRID 방어 우세,0.0,,bellguard_1y
2025-05-30,🟢 한화솔루션 (009830),GREEN,6,HYBRID_D0_RISK_FILTER|2025-05-30|R1|009830,+3 먼저 / +5 도달 / D1 종가 양호,🟢 고려아연 (010130),GREEN,2,HYBRID_D0_RISK_FILTER|2025-05-30|R2|010130,+3 먼저 / -2 먼저 / +5 도달,🟢 케이씨텍 (281820),GREEN,7,HYBRID_D0_RISK_FILTER|2025-05-30|R3|281820,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,3.0,0.0,-0.964643456056528,3.0,3.0,009830|010130|281820,HYBRID 방어 우세,0.0,,bellguard_1y
2025-06-02,🟢 한화비전 (489790),GREEN,4,HYBRID_D0_RISK_FILTER|2025-06-02|R1|489790,+3 먼저,🔴 엘앤에프 (066970),RED,4,HYBRID_D0_RISK_FILTER|2025-06-02|R2|066970,+3 먼저 / +5 도달 / -5 도달 / D1 종가 양호 / 점심 양호,🟢 에코프로머티 (450080),GREEN,7,HYBRID_D0_RISK_FILTER|2025-06-02|R3|450080,+3 먼저 / +5 도달 / D1 종가 양호 / 점심 양호,2.0,1.0,-4.0578775711020825,3.0,3.0,066970|450080|489790,HYBRID 방어 우세,0.0,,bellguard_1y
