month,version_key,version_label_ko,sample_n,days_with_pick,green,yellow,orange,red,avg_score,avg_max_up,avg_max_down,avg_d1_close,avg_lunch_1200,green_rate,red_rate
2025-04,HYBRID_D0_RISK_FILTER,벨가드 안정후보,6,2,0,0,0,6,-12.166666666666666,5.271351691628245,-21.820361930724516,-10.411568304637408,-7.914034966806695,0.0,1.0
2025-05,HYBRID_D0_RISK_FILTER,벨가드 안정후보,57,19,25,0,1,31,-1.2456140350877194,4.518024648009785,-5.490438634885358,0.206479542220084,-0.1409685174870224,0.4385964912280701,0.543859649122807
2025-06,HYBRID_D0_RISK_FILTER,벨가드 안정후보,57,19,31,1,1,24,1.0,9.54936308034727,-3.982205834144249,1.5867189851127488,1.3340597501163558,0.543859649122807,0.4210526315789473
2025-07,HYBRID_D0_RISK_FILTER,벨가드 안정후보,69,23,32,0,3,34,-0.2608695652173913,4.631030437648057,-4.014167554668839,-0.0055288016422655,-0.2349365782713187,0.463768115942029,0.4927536231884058
2025-08,HYBRID_D0_RISK_FILTER,벨가드 안정후보,60,20,30,3,0,27,0.65,4.5579723215268055,-3.5386591066754502,0.5311145789868444,0.3665918706011789,0.5,0.45
2025-09,HYBRID_D0_RISK_FILTER,벨가드 안정후보,66,22,38,1,4,23,1.181818181818182,6.827668528814949,-3.554799122786348,0.740418800700865,0.3717617810873281,0.5757575757575758,0.3484848484848485
2025-10,HYBRID_D0_RISK_FILTER,벨가드 안정후보,54,18,30,0,1,23,1.148148148148148,10.907615262841984,-3.566929205326108,1.7875012611420222,1.2386065697725557,0.5555555555555556,0.4259259259259259
2025-11,HYBRID_D0_RISK_FILTER,벨가드 안정후보,60,20,14,0,0,46,-2.816666666666667,5.746874239457825,-6.943429349270128,-0.642899766065711,-0.3927118634975168,0.2333333333333333,0.7666666666666667
2025-12,HYBRID_D0_RISK_FILTER,벨가드 안정후보,63,21,39,2,1,21,1.6666666666666667,8.1445396194345,-3.3312724317778346,1.3322633546495222,0.2759006802931188,0.6190476190476191,0.3333333333333333
2026-01,HYBRID_D0_RISK_FILTER,벨가드 안정후보,63,21,36,0,0,27,1.126984126984127,12.293424634048536,-3.741010341450437,1.1476410410249298,0.6589711660796247,0.5714285714285714,0.4285714285714285
2026-02,HYBRID_D0_RISK_FILTER,벨가드 안정후보,51,17,23,1,0,27,-0.8235294117647058,10.59443822171762,-7.233464343553157,1.3005078795531595,1.3428455063551754,0.4509803921568627,0.5294117647058824
2026-03,HYBRID_D0_RISK_FILTER,벨가드 안정후보,63,21,23,0,1,39,-2.634920634920635,5.257812680151986,-5.882575066520668,-0.3105406050559513,-0.3604737924165099,0.365079365079365,0.6190476190476191
2026-04,HYBRID_D0_RISK_FILTER,벨가드 안정후보,66,22,39,1,0,26,1.2272727272727273,17.464835772660894,-3.521334569920091,0.9482376685465692,0.7586762661814052,0.5909090909090909,0.3939393939393939
2026-05,HYBRID_D0_RISK_FILTER,벨가드 안정후보,24,8,11,0,0,13,0.75,7.705484038961058,-4.108654200649741,0.948203225133706,1.273159905058254,0.4583333333333333,0.5416666666666666
