strategy,strategy_label_ko,candidate_lineage,candidate_source,signal_date,d0_date,code,name,market,sector,industry,source_rank,source_score,entry_price_hint,d0_close,d0_high,d0_volume,d0_trading_value,d0_pct_change,distance_from_d0_high_pct,volume_ratio_vs_20d,upper_shadow_ratio,lower_shadow_ratio,d1_date,d0_open,d0_low,d0_ret_pct,d0_gap_pct,d0_intraday_ret_pct,d0_upper_shadow_pct,d0_lower_shadow_pct,d0_range_pct,d0_trading_value_eok,d0_value_vs_20d,d0_volume_vs_20d,d0_close_vs_ma5_pct,d0_close_vs_ma20_pct,d0_close_vs_ma60_pct,d0_60d_value_above_close_share,d0_value_bucket,d0_value_vs_20d_bucket,d0_ma20_bucket,d0_supply_overhang_bucket,d1_ret_vs_d0_close_pct,d1_low_vs_d0_close_pct,d1_high_vs_d0_close_pct,d1_rel_color,target_d1_full_above_d0_close,target_d1_close_up,regime,recent_dart_bad_news_flag,event_risk_note,d0_close_position_in_day_range,gap_overheat_flag,overheat_score,health_score,regime_score,rank_quality,source_score_norm,value_score,pullback_balance_score,close_location_score,bellguard_score,rank
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2026-05-13,2026-05-13,034220,LG디스플레이,KOSPI,전자부품 제조업,"고화질, 초대형, 폴더블 고부가가치 디스플레이 제품 개발, 제조",4,77.4084,14120.0,14170.0,14850.0,37392073.0,529845674410.0,11.05015673981191,-4.579124579124583,5.4837095486284655,0.3469387755102041,0.0357142857142857,2026-05-14,12960.0,12890.0,11.05015673981191,1.567398119122254,9.33641975308641,4.798870853916726,0.5430566330488773,15.205585725368495,5298.4567441,4.647601934733884,4.431834072702785,10.152363184079594,6.971652889442503,13.673739521078176,0.455261709354839,Q5,Q5,Q5,Q2,8.25688073394495,-0.0705716302046521,10.585744530698648,Y,False,True,bull,False,,0.6530612244897959,False,0.4102515887848421,1.0,0.55,1.0,1.0,1.0,0.964927048260382,0.6530612244897959,0.8025576905668527,1
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2026-05-13,2026-05-13,332570,PS일렉트로닉스,KOSDAQ,전자부품 제조업,전력증폭기 모듈(PAM),10,72.3246,,14180.0,14990.0,24878411.0,352775867980.0,16.996699669966997,-5.403602401601071,2.808186902373479,0.3022388059701492,0.1977611940298507,2026-05-14,12840.0,12310.0,16.996699669966997,5.940594059405946,10.436137071651096,5.7122708039492265,4.305442729488229,21.77091795288384,3527.7586798,3.779971061115933,2.6469559764380337,20.35308097097268,55.210157618213664,114.8403469565547,0.3849370256623331,Q5,Q5,Q5,Q1,-6.770098730606488,-9.59097320169252,1.5514809590973178,O,False,False,rebound,False,,0.6977611940298507,False,0.4706388156624147,1.0,0.58,0.7142857142857143,0.8020481270929057,0.8472574128703485,0.966366466533244,0.6977611940298507,0.6759688028968281,2
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2026-05-13,2026-05-13,452260,한화갤러리아,KOSPI,종합 소매업,백화점,9,72.7894,,3640.0,3640.0,49413071.0,179863578440.0,30.000000000000004,0.0,5.374337432608858,0.0,0.0411764705882352,2026-05-14,2825.0,2790.0,30.000000000000004,0.8928571428571397,28.849557522123902,0.0,1.2544802867383575,30.46594982078854,1798.6357844,4.699881327347947,4.2605408420878375,19.934102141680388,26.88453159041395,34.16057497389276,0.5036571323917505,Q5,Q5,Q5,Q3,-8.241758241758246,-8.241758241758246,13.186813186813184,O,False,False,bull,False,,1.0,False,0.6050920272874664,0.85,0.55,0.7619047619047619,0.820146406043143,0.5943397441358813,0.5833333333333333,1.0,0.5865928105786705,3
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2026-05-13,2026-05-13,025820,이구산업,KOSPI,1차 비철금속 제조업,"동판.조,황동판.조,인청동판.조 제조,임가공/부동산 임대",18,64.3985,,6760.0,7170.0,13275318.0,89741149680.0,13.804713804713796,-5.718270571827056,9.379123933799312,0.3504273504273504,0.0854700854700854,2026-05-14,6100.0,6000.0,13.804713804713796,2.6936026936027035,10.81967213114754,6.065088757396442,1.6666666666666607,19.500000000000007,897.4114968,7.016835427254177,6.502411602199188,10.747051114023588,16.50150797070229,26.0684424828272,0.4282921439133526,Q5,Q5,Q5,Q2,-3.2544378698224907,-5.917159763313606,5.621301775147924,O,False,False,bull,False,,0.6495726495726496,False,0.483309971842023,1.0,0.55,0.3333333333333333,0.4934234093917919,0.3334031007982161,0.940144119014412,0.6495726495726496,0.4650275564033728,4
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2026-05-13,2026-05-13,032580,피델릭스,KOSDAQ,반도체 제조업,PSRAM 및 LPSDRAM,15,65.9664,,3210.0,3210.0,11489345.0,36880797450.0,29.95951417004048,0.0,18.67074586406808,0.0,0.1777777777777777,2026-05-14,2470.0,2310.0,29.95951417004048,0.0,29.95951417004048,0.0,6.926406926406936,38.96103896103895,368.8079745,13.090761178974006,9.71625645208048,52.62457208063904,120.99067157757052,166.5670154459392,0.0988072604471827,Q5,Q5,Q5,Q1,20.40498442367602,0.0,29.90654205607477,G,True,True,rebound,False,,1.0,False,0.6549468075783864,0.85,0.58,0.4761904761904761,0.554473950626898,0.0,0.5833333333333333,1.0,0.3988902790584665,5
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2026-05-13,2026-05-13,038500,삼표시멘트,KOSDAQ,기타 비금속 광물제품 제조업,시멘트 제품,24,54.5956,,15560.0,16900.0,27829706.0,433030225360.0,12.590448625180905,-7.928994082840235,10.31609298779061,0.4097859327217125,0.0428134556574923,2026-05-14,13770.0,13630.0,12.590448625180905,-0.361794500723589,12.999273783587515,8.611825192802058,1.0271460014673606,23.991195891415984,4330.3022536,6.918752244345884,7.073675908832394,5.5201410552014,-2.1075810003145623,-2.385981054348507,0.469385537004497,Q5,Q5,Q2,Q2,-5.205655526992292,-5.526992287917743,4.5629820051413805,O,False,False,rebound,False,,0.5902140672782875,False,0.5202013124672163,1.0,0.58,0.0476190476190476,0.1117202710069308,0.9242270483388572,0.7559171597633138,0.5902140672782875,0.3553566811519147,6
D0_STRICT_3D_BELLGUARD_TOP3,D0 3일 넓은풀 -> BellGuard 위험점수 Top3,"active_d0_3d_pool broad rows from D0_NO_PRICE_UPPER, then price<=100000, no future outcome in score",ACTIVE_D0_3D_POOL_STRICT_PRICECAP,2026-05-13,2026-05-13,321260,프로이천,KOSDAQ,반도체 제조업,반도체검사장치 Probe Card,25,51.7264,,4430.0,4780.0,15219217.0,67421131310.0,11.446540880503145,-7.322175732217573,2.219960219533563,0.3211009174311927,0.1834862385321101,2026-05-14,3890.0,3690.0,11.446540880503145,-2.1383647798742134,13.881748071979436,7.900677200902928,5.420054200542013,29.539295392953925,674.2113131,3.1024442681619258,2.421821832820692,12.751336217867149,43.52826826502512,96.87430560699208,0.47995095343646,Q5,Q5,Q5,Q2,-3.6117381489842,-8.803611738148987,-1.8058690744920949,R,False,False,rebound,False,,0.6788990825688074,False,0.4507664307560645,0.85,0.58,0.0,0.0,0.2261295477429795,0.8064853556485355,0.6788990825688074,0.2411740960345069,7
