d0_date,code,name,market,sector,industry,pricecap_rank,bellguard_score,entry_price_used,d0_pct_change,distance_from_d0_high_pct,volume_ratio_vs_20d,d0_trading_value,d0_trading_value_eok,overheat_score,health_score,regime_score,regime,bellguard_reason_auto
2026-05-13,034220,LG디스플레이,KOSPI,전자부품 제조업,"고화질, 초대형, 폴더블 고부가가치 디스플레이 제품 개발, 제조",1,0.8025576905668527,14120.0,11.05015673981191,-4.579124579124583,5.4837095486284655,529845674410.0,5298.4567441,0.4102515887848421,1.0,0.55,bull,D0 +11.1% / 거래량 20일대비 5.5배
2026-05-13,332570,PS일렉트로닉스,KOSDAQ,전자부품 제조업,전력증폭기 모듈(PAM),2,0.6759688028968281,14180.0,16.996699669966997,-5.403602401601071,2.808186902373479,352775867980.0,3527.7586798,0.4706388156624147,1.0,0.58,rebound,D0 +17.0% / 거래량 20일대비 2.8배
2026-05-13,452260,한화갤러리아,KOSPI,종합 소매업,백화점,3,0.5865928105786705,3640.0,30.000000000000004,0.0,5.374337432608858,179863578440.0,1798.6357844,0.6050920272874664,0.85,0.55,bull,D0 +30.0% / 거래량 20일대비 5.4배
