input_policy,signal_date,rank_num,stock_code,stock_name,trading_day_age,d0_date,d0_trading_value_proxy_eok,d0_pct_change,d0_volume_vs_20d,d0_upper_shadow_ratio,d0_range_pct,entry_1500_price,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,signal_trading_value_to_1500_eok,signal_rsi14_1500,signal_risk_count,eod_signal_balanced_score
ASOF_1500_SAFE_FEATURES_ONLY,2026-04-27,1,098460,고영,1,2026-04-24,12952.30653,29.95391705069124,14.433002908154794,0.0,22.786647314949192,43400.0,2.600472813238764,2.600472813238764,2.600472813238764,51.32398936515904,6820.510508,62.5,0.0,82.04225352112675
ASOF_1500_SAFE_FEATURES_ONLY,2026-04-27,2,047040,대우건설,2,2026-04-23,12804.039675,2.1505376344086,0.7992900106684148,0.4936708860759494,12.24806201550388,33050.0,0.7621951219512146,-0.6015037593984918,-8.701657458563538,55.96433400617372,7122.593602,42.85714285714285,0.0,76.54564093421287
ASOF_1500_SAFE_FEATURES_ONLY,2026-04-27,3,080220,제주반도체,1,2026-04-24,11124.8667,18.16192560175054,12.45149922049715,0.2336448598130841,23.362445414847155,58900.0,9.07407407407408,9.07407407407408,4.24778761061948,68.21483083478205,8277.42315,37.5,0.0,70.76997499012768
ASOF_1500_SAFE_FEATURES_ONLY,2026-04-28,1,010170,대한광통신,1,2026-04-27,10374.8703174,19.91017964071857,1.3822725149316148,0.1772151898734177,23.54694485842026,15060.0,-5.992509363295884,-5.992509363295884,-9.167671893848006,35.31723787288985,3444.545037,69.44444444444444,0.0,75.87498893511551
ASOF_1500_SAFE_FEATURES_ONLY,2026-04-28,2,001440,대한전선,2,2026-04-24,9463.071987,4.89596083231334,2.768313424148032,0.4875,9.80392156862746,46000.0,5.625717566016064,7.351225204200706,2.678571428571419,86.04642454042445,8741.21854,56.25,0.0,58.06861888111888
ASOF_1500_SAFE_FEATURES_ONLY,2026-04-28,3,080220,제주반도체,1,2026-04-27,8488.833032,8.148148148148149,5.512837185788044,0.4883720930232558,15.92592592592592,55100.0,-5.650684931506844,-5.650684931506844,-11.980830670926512,22.91391667933091,1835.211292,61.53846153846154,0.0,67.68665636688893
ASOF_1500_SAFE_FEATURES_ONLY,2026-04-29,1,047040,대우건설,1,2026-04-28,30108.9534415,11.897590361445776,1.7288876605163868,0.3975155279503105,24.922600619195045,36850.0,-0.8075370121130576,-0.8075370121130576,-8.674101610904582,16.278032614194476,4861.566699,77.77777777777777,1.0,59.577807621285885
ASOF_1500_SAFE_FEATURES_ONLY,2026-04-29,2,010170,대한광통신,2,2026-04-27,10374.8703174,19.91017964071857,1.3822725149316148,0.1772151898734177,23.54694485842026,15100.0,0.0662690523525411,-5.742821473158555,-8.92641737032569,33.20662937658167,3247.296223,55.55555555555556,0.0,76.26069107081764
ASOF_1500_SAFE_FEATURES_ONLY,2026-04-29,3,001440,대한전선,1,2026-04-28,8951.987619,5.396096440872555,2.0873266398077006,0.4774774774774775,12.90697674418604,52100.0,13.507625272331158,13.507625272331158,7.312049433573642,143.596256642678,14591.086404,59.25925925925926,0.0,52.27027027027027
ASOF_1500_SAFE_FEATURES_ONLY,2026-04-30,1,047040,대우건설,2,2026-04-28,30108.9534415,11.897590361445776,1.7288876605163868,0.3975155279503105,24.922600619195045,35375.0,-4.132791327913276,-4.777927321668907,-12.329615861214371,13.30171323716549,3813.65033875,52.38095238095237,0.0,67.76739953107646
ASOF_1500_SAFE_FEATURES_ONLY,2026-04-30,2,001440,대한전선,1,2026-04-29,15331.967488,11.546840958605674,2.9272064549170134,0.2266666666666666,16.51982378854626,57100.0,11.5234375,11.5234375,7.939508506616266,108.99385408349752,18636.572651,40.625,0.0,58.3682119205298
ASOF_1500_SAFE_FEATURES_ONLY,2026-04-30,3,006340,대원전선,1,2026-04-29,11221.9166752,29.990069513406148,3.711000947301868,0.0,33.16378433367244,15430.0,17.87624140565316,17.87624140565316,17.87624140565316,91.6100887205775,12118.1583421,21.42857142857143,0.0,62.25165562913907
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-04,1,047040,대우건설,3,2026-04-28,30108.9534415,11.897590361445776,1.7288876605163868,0.3975155279503105,24.922600619195045,31950.0,-8.714285714285719,-13.997308209959623,-20.817843866171003,32.106126198581045,8313.724197,54.54545454545455,3.0,17.114190157668418
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-04,2,001440,대한전선,1,2026-04-30,19070.359939,9.9609375,2.928018775831485,0.3163265306122449,19.758064516129025,60700.0,7.815275310834813,7.815275310834813,2.188552188552184,57.021547672844896,11724.064176,50.0,0.0,63.56279434850863
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-04,3,006340,대원전선,1,2026-04-30,12412.6483845,14.973262032085554,3.028478358118713,0.408,29.22837100545597,17270.0,14.750830564784057,14.750830564784057,4.161640530759958,47.55075317665782,6772.9472184,8.333333333333329,0.0,54.55307692307693
ASOF_1500_SAFE_FEATURES_ONLY,2026-05-06,1,047040,대우건설,4,2026-04-28,30108.9534415,11.897590361445776,1.7288876605163868,0.3975155279503105,24.922600619195045,32250.0,0.3110419906687367,-13.189771197846568,-20.07434944237918,27.09221827769254,7081.2695625,50.0,2.0,27.30649784997611
