signal_date,rank_final,stock_code,stock_name,source_tier,source_model,fallback_level,is_refined_candidate,is_base_candidate,is_comparison_candidate,is_high_risk_comparison,entry_price_1500,current_seed_100k_buyable,required_cash_1share,d0_date,trading_day_age,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,rsi14_signal_1500,badge_text,d1_plus1_touch,d1_plus1_profit_protect,d1_plus2_touch,d1_minus2_touch,h5_plus2_touch,h5_minus2_touch,h5_plus3_touch,h5_minus3_touch,h5_plus2_minus2_first,h5_plus3_minus3_first,ret_d1_close,ret_d5_close,mae_proxy_d1_low_return,dplus_result_status,dplus_result_display,d1_plus1_touch_display,d1_plus1_profit_protect_display,d1_plus2_touch_display,d1_minus2_touch_display,h5_plus2_touch_display,h5_minus2_touch_display,h5_plus3_touch_display,h5_minus3_touch_display
2026-05-19,1,034220,LG디스플레이,A,SMALL_POOL_F_BASE,1,False,True,False,False,12790.0,True,12790.0,2026-05-19,0,-4.480955937266618,0.6294256490952055,-5.189028910303928,93.97912164810931,66.66666666666666,소액 기본 후보,False,False,False,False,False,False,False,False,NONE,NONE,,,,paper watch 대기,D+1~D+5 미확정,대기,대기,대기,대기,대기,대기,대기,대기
2026-05-19,2,047040,대우건설,A,SMALL_POOL_F_BASE,2,False,True,False,False,27300.0,True,27300.0,2026-05-19,0,-6.825938566552903,0.9242144177449063,-9.752066115702485,91.7609933545327,35.71428571428571,소액 기본 후보,False,False,False,False,False,False,False,False,NONE,NONE,,,,paper watch 대기,D+1~D+5 미확정,대기,대기,대기,대기,대기,대기,대기,대기
2026-05-19,3,178320,서진시스템,A,SMALL_POOL_F_BASE,3,False,True,False,False,70300.0,True,70300.0,2026-05-19,0,-3.434065934065933,0.7163323782235054,-5.000000000000004,90.1890975578158,41.17647058823529,소액 기본 후보,False,False,False,False,False,False,False,False,NONE,NONE,,,,paper watch 대기,D+1~D+5 미확정,대기,대기,대기,대기,대기,대기,대기,대기
