signal_date,rank_final,stock_code,stock_name,source_tier,source_model,fallback_level,is_refined_candidate,is_base_candidate,is_comparison_candidate,is_high_risk_comparison,entry_price_1500,current_seed_100k_buyable,required_cash_1share,d0_date,trading_day_age,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,rsi14_signal_1500,badge_text,d1_plus1_touch,d1_plus1_profit_protect,d1_plus2_touch,d1_minus2_touch,h5_plus2_touch,h5_minus2_touch,h5_plus3_touch,h5_minus3_touch,h5_plus2_minus2_first,h5_plus3_minus3_first,ret_d1_close,ret_d5_close,mae_proxy_d1_low_return
2026-05-06,1,001440,대한전선,A,SMALL_POOL_F_BASE,1,False,True,False,False,69200.0,True,69200.0,2026-05-06,0,14.003294892915985,0.0,-6.486486486486487,96.87402059522478,58.82352941176471,소액 기본 후보,False,False,False,True,True,True,True,True,MINUS_FIRST,MINUS_FIRST,-7.369942196531786,-5.491329479768781,-11.994219653179194
2026-05-06,2,006800,미래에셋증권,A,SMALL_POOL_F_BASE,2,False,True,False,False,84800.0,True,84800.0,2026-05-06,0,20.62588904694167,1.193317422434359,-3.4168564920273314,95.92718049490327,32.35294117647058,소액 기본 후보,False,False,False,True,False,True,False,True,MINUS_FIRST,MINUS_FIRST,-6.839622641509435,-14.033018867924529,-10.731132075471695
2026-05-06,3,098460,고영,A,SMALL_POOL_F_BASE,3,False,True,False,False,41600.0,True,41600.0,2026-05-06,0,6.803594351732989,0.0,-1.7709563164108655,92.08815491549346,66.66666666666666,소액 기본 후보,False,False,False,True,True,True,False,True,MINUS_FIRST,MINUS_FIRST,-3.4855769230769273,2.043269230769229,-4.807692307692313
2026-05-07,1,001440,대한전선,A,SMALL_POOL_F_BASE,1,False,True,False,False,64200.0,True,64200.0,2026-05-07,0,-7.22543352601156,0.15600624024960652,-7.758620689655171,95.25912440883039,46.15384615384615,소액 기본 후보,True,False,True,True,True,True,True,True,TIE_SAME_BAR,PLUS_FIRST,12.616822429906538,2.024922118380057,-2.336448598130836
2026-05-07,2,047040,대우건설,A,SMALL_POOL_F_BASE,2,False,True,False,False,33300.0,True,33300.0,2026-05-07,0,3.416149068322971,0.3012048192771122,-10.962566844919785,96.67722567883281,71.42857142857143,소액 기본 후보,False,False,False,True,False,True,False,True,MINUS_FIRST,MINUS_FIRST,-1.3513513513513487,-2.102102102102099,-6.6066066066066025
2026-05-07,3,006800,미래에셋증권,A,SMALL_POOL_F_BASE,3,False,True,False,False,79400.0,True,79400.0,2026-05-07,0,-5.250596658711215,0.5063291139240533,-4.106280193236711,93.93388662023206,38.888888888888886,소액 기본 후보,True,False,True,True,True,True,True,True,MINUS_FIRST,MINUS_FIRST,0.25188916876575096,-8.942065491183882,-3.652392947103278
2026-05-08,1,001440,대한전선,A,SMALL_POOL_F_BASE,1,False,True,False,False,72800.0,True,72800.0,2026-05-08,0,13.572542901716078,0.6915629322268302,-2.67379679144385,92.61475442950677,38.46153846153846,소액 기본 후보,True,True,True,True,True,True,True,True,PLUS_FIRST,PLUS_FIRST,-3.159340659340659,-17.582417582417587,-5.494505494505497
2026-05-08,2,047040,대우건설,A,SMALL_POOL_F_BASE,2,False,True,False,False,32600.0,True,32600.0,2026-05-08,0,-1.8072289156626509,-0.7610350076103556,-0.7610350076103556,90.417904879552,81.25,소액 기본 후보,True,False,True,True,True,True,False,True,MINUS_FIRST,MINUS_FIRST,-1.5337423312883458,-12.576687116564422,-3.6809815950920255
2026-05-08,3,006800,미래에셋증권,A,SMALL_POOL_F_BASE,3,False,True,False,False,79700.0,True,79700.0,2026-05-08,0,0.8860759493670933,0.12562814070351536,-3.6275695284159637,95.05801371510557,71.42857142857143,소액 기본 후보,True,True,True,False,True,True,True,True,PLUS_FIRST,PLUS_FIRST,-0.37641154328732496,-12.296110414052697,-0.37641154328732496
2026-05-11,1,047040,대우건설,A,SMALL_POOL_F_BASE,1,False,True,False,False,32050.0,True,32050.0,2026-05-11,0,-2.43531202435312,-0.15576323987538387,-4.1853512705530616,94.34559513999984,61.11111111111111,소액 기본 후보,False,False,False,True,True,True,True,True,MINUS_FIRST,MINUS_FIRST,-5.928237129485181,-8.580343213728547,-11.544461778471138
2026-05-11,2,006800,미래에셋증권,A,SMALL_POOL_F_BASE,2,False,True,False,False,79700.0,True,79700.0,2026-05-11,0,0.12562814070351536,0.37783375314861534,-6.783625730994148,92.60184324948897,55.55555555555556,소액 기본 후보,False,False,False,False,False,True,False,True,MINUS_FIRST,MINUS_FIRST,-6.775407779171894,-11.543287327478048,-13.174404015056462
2026-05-11,3,010170,대한광통신,B,P0_SIGNAL_LIQUIDITY_BASE,3,False,False,True,False,27400.0,True,27400.0,2026-05-11,0,22.595078299776294,-1.9677996422182487,-4.1958041958041985,95.11748675920977,63.63636363636363,소액 유동성 비교,True,True,True,True,True,True,True,True,PLUS_FIRST,PLUS_FIRST,6.204379562043805,-15.693430656934304,-11.496350364963504
2026-05-12,1,010170,대한광통신,A,SMALL_POOL_F_BASE,1,False,True,False,False,28600.0,True,28600.0,2026-05-12,0,2.3255813953488413,-1.718213058419249,-9.206349206349207,96.21276274676168,52.38095238095237,소액 기본 후보,False,False,False,True,False,True,False,True,MINUS_FIRST,MINUS_FIRST,-13.461538461538458,-24.650349650349646,-13.811188811188813
2026-05-12,2,047040,대우건설,A,SMALL_POOL_F_BASE,2,False,True,False,False,29750.0,True,29750.0,2026-05-12,0,-7.320872274143298,-1.3266998341625258,-7.46500777604977,94.69846564350387,63.63636363636363,소액 기본 후보,False,False,False,True,True,True,True,True,MINUS_FIRST,MINUS_FIRST,-2.6890756302521024,-9.075630252100842,-4.201680672268903
2026-05-12,3,001440,대한전선,B,P0_SIGNAL_LIQUIDITY_BASE,3,False,False,True,False,66900.0,True,66900.0,2026-05-12,0,-5.106382978723401,-0.44642857142856984,-6.302521008403361,93.16485991048414,75.60975609756098,소액 유동성 비교,True,False,False,True,True,True,True,True,MINUS_FIRST,MINUS_FIRST,-2.2421524663677084,-20.478325859491775,-5.68011958146487
2026-05-13,1,010170,대한광통신,A,SMALL_POOL_F_BASE,1,False,True,False,False,25250.0,True,25250.0,2026-05-13,0,-13.230240549828176,2.020202020202011,-8.34845735027223,94.02360998922848,44.444444444444436,소액 기본 후보,True,True,True,True,True,True,True,True,PLUS_FIRST,PLUS_FIRST,-1.980198019801982,,-10.89108910891089
2026-05-13,2,047040,대우건설,A,SMALL_POOL_F_BASE,2,False,True,False,False,29000.0,True,29000.0,2026-05-13,0,-3.814262023217252,0.17271157167531026,-2.5210084033613467,90.85567960598843,35.71428571428571,소액 기본 후보,True,True,True,False,True,True,True,True,PLUS_FIRST,PLUS_FIRST,12.413793103448278,,2.2413793103448265
2026-05-13,3,024840,KBI메탈,A,SMALL_POOL_F_BASE,3,False,True,False,False,7820.0,True,7820.0,2026-05-13,0,-15.000000000000002,2.3560209424083878,-11.837655016910931,93.61087979355415,37.2093023255814,소액 기본 후보,True,False,True,True,True,True,True,True,MINUS_FIRST,MINUS_FIRST,-0.5115089514066473,,-7.800511508951402
2026-05-14,1,010170,대한광통신,A,SMALL_POOL_F_BASE,1,False,True,False,False,24550.0,True,24550.0,2026-05-14,0,-0.8080808080808133,-0.8080808080808133,-7.183364839319473,95.9784419607658,53.33333333333334,소액 기본 후보,True,True,False,True,False,True,False,True,MINUS_FIRST,MINUS_FIRST,-6.313645621181263,,-10.59063136456212
2026-05-14,2,034220,LG디스플레이,A,SMALL_POOL_F_BASE,2,False,True,False,False,15340.0,True,15340.0,2026-05-14,0,8.25688073394495,0.0,-2.1059349074665,94.79242916847366,55.0,소액 기본 후보,True,True,True,True,True,True,True,True,PLUS_FIRST,PLUS_FIRST,-8.083441981747065,,-10.495436766623211
2026-05-14,3,080220,제주반도체,A,SMALL_POOL_F_BASE,3,False,True,False,False,75400.0,True,75400.0,2026-05-14,0,28.01358234295417,-0.2645502645502673,-1.437908496732021,79.39301862089924,51.470588235294116,소액 기본 후보,True,True,True,True,True,True,True,True,PLUS_FIRST,MINUS_FIRST,9.151193633952248,,-5.702917771883287
2026-05-15,1,010170,대한광통신,A,SMALL_POOL_F_BASE,1,False,True,False,False,22100.0,True,22100.0,2026-05-15,0,-10.70707070707071,-3.913043478260869,-11.422845691382765,89.97985656751749,38.46153846153846,소액 기본 후보,True,False,True,True,True,True,True,True,MINUS_FIRST,MINUS_FIRST,4.52488687782806,,-11.945701357466065
2026-05-15,2,034220,LG디스플레이,A,SMALL_POOL_F_BASE,2,False,True,False,False,13760.0,True,13760.0,2026-05-15,0,-10.299869621903524,-2.4113475177305,-18.0952380952381,96.1376884007936,30.769230769230774,소액 기본 후보,True,True,True,True,True,True,False,True,PLUS_FIRST,MINUS_FIRST,-2.6889534883720922,,-7.194767441860462
