signal_date,rank_final,stock_code,stock_name,source_tier,source_model,fallback_level,is_refined_candidate,is_base_candidate,is_comparison_candidate,is_high_risk_comparison,entry_price_1500,current_seed_100k_buyable,required_cash_1share,d0_date,trading_day_age,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,rsi14_signal_1500,badge_text,d1_plus1_touch,d1_plus1_profit_protect,d1_plus2_touch,d1_minus2_touch,h5_plus2_touch,h5_minus2_touch,h5_plus3_touch,h5_minus3_touch,h5_plus2_minus2_first,h5_plus3_minus3_first,ret_d1_close,ret_d5_close,mae_proxy_d1_low_return
2025-04-01,1,010140,삼성중공업,S,SMALL_POOL_F_REFINED_100K,1,True,False,False,False,14090.0,True,14090.0,2025-04-01,0,4.525222551928776,0.2846975088967918,-0.07092198581559739,91.8391168083223,62.50000000000001,소액 정제 후보,False,False,False,True,False,True,False,True,MINUS_FIRST,MINUS_FIRST,-1.490418736692689,-6.174591909155424,-2.058197303051812
2025-04-01,2,035720,카카오,A,SMALL_POOL_F_BASE,2,False,True,False,False,42100.0,True,42100.0,2025-04-01,0,7.672634271099743,-0.23696682464454666,-0.824499411071844,92.73999919084787,50.0,소액 기본 후보,False,False,False,True,True,True,True,True,MINUS_FIRST,MINUS_FIRST,-2.8503562945368155,-7.244655581947745,-3.32541567695962
2025-04-01,3,047810,한국항공우주,A,SMALL_POOL_F_BASE,3,False,True,False,False,80000.0,True,80000.0,2025-04-01,0,6.666666666666665,0.37641154328733606,-0.24937655860348684,92.56155514687131,78.57142857142857,소액 기본 후보,True,True,False,True,False,True,False,True,MINUS_FIRST,MINUS_FIRST,-5.75,-8.375,-7.1250000000000036
2025-04-02,1,035720,카카오,A,SMALL_POOL_F_BASE,1,False,True,False,False,40950.0,True,40950.0,2025-04-02,0,-2.962085308056872,0.12224938875304847,-3.3057851239669422,90.83535567512878,50.0,소액 기본 후보,True,False,True,True,True,True,True,True,MINUS_FIRST,PLUS_FIRST,4.6398046398046455,-9.27960927960928,-2.3199023199023228
2025-04-02,2,047810,한국항공우주,A,SMALL_POOL_F_BASE,2,False,True,False,False,75100.0,True,75100.0,2025-04-02,0,-5.771643663739024,-0.3978779840848823,-7.512315270935965,91.27480559698519,26.66666666666667,소액 기본 후보,True,False,True,True,True,True,True,True,MINUS_FIRST,MINUS_FIRST,4.127829560585883,-4.793608521970705,-3.7283621837549963
2025-04-02,3,007390,네이처셀,A,SMALL_POOL_F_BASE,3,False,True,False,False,29450.0,True,29450.0,2025-04-02,0,2.6132404181184565,-2.9654036243822124,-2.9654036243822124,77.72261819199666,50.0,소액 기본 후보,True,False,True,True,True,True,True,True,MINUS_FIRST,MINUS_FIRST,0.1697792869269854,2.716468590831922,-2.037351443123936
2025-04-03,1,042660,한화오션,S,SMALL_POOL_F_REFINED_100K,1,True,False,False,False,71800.0,True,71800.0,2025-04-03,0,3.1609195402298784,0.27932960893854997,-0.2777777777777768,90.5303254001063,50.0,소액 정제 후보,False,False,False,True,True,True,True,True,MINUS_FIRST,MINUS_FIRST,-3.4818941504178302,1.810584958217265,-6.824512534818938
2025-04-03,2,035720,카카오,S,SMALL_POOL_F_REFINED_100K,2,True,False,False,False,42450.0,True,42450.0,2025-04-03,0,3.789731051344747,-0.9334889148191361,-1.0489510489510523,93.14443644619395,50.0,소액 정제 후보,True,True,True,True,True,True,True,True,PLUS_FIRST,PLUS_FIRST,-1.4134275618374548,-5.771495877502941,-3.5335689045936425
2025-04-03,3,098070,한텍,A,SMALL_POOL_F_BASE,3,False,True,False,False,32750.0,True,32750.0,2025-04-03,0,4.133545310015907,-1.2066365007541435,-4.099560761346998,79.24819945387794,65.67164179104478,소액 기본 후보,True,True,True,True,True,True,True,True,PLUS_FIRST,PLUS_FIRST,-7.328244274809159,30.534351145038173,-8.702290076335872
2025-04-04,1,098070,한텍,A,SMALL_POOL_F_BASE,1,False,True,False,False,31100.0,True,31100.0,2025-04-04,0,-6.184012066365008,2.471169686985175,-10.115606936416189,93.81837759439834,36.0,소액 기본 후보,True,False,False,True,True,True,True,True,MINUS_FIRST,MINUS_FIRST,-4.340836012861738,35.36977491961415,-13.826366559485525
