scenario,seed,max_holdings,trade_days,no_trade_rate,avg_holding_count,cash_utilization_rate,d1_plus1_profit_protect_success_rate,d1_account_return_avg,d1_loss_day_rate
SMALL_POOL_F_REFINED_100K,100000,1,104,0.0,1.0,58.77149038461538,75.0,0.7438127884615379,38.46153846153847
SMALL_POOL_F_REFINED_100K,100000,2,104,0.0,1.0384615384615385,59.57735576923078,75.92592592592592,0.7921049038461534,37.5
SMALL_POOL_F_REFINED_100K,100000,3,104,0.0,1.0384615384615385,59.57735576923078,75.92592592592592,0.7921049038461534,37.5
SMALL_POOL_F_REFINED_100K,200000,1,104,0.0,1.0,29.38574519230769,75.0,0.37190639423076893,38.46153846153847
SMALL_POOL_F_REFINED_100K,200000,2,104,0.0,1.1634615384615385,34.323870192307695,72.72727272727273,0.3623666826923075,41.34615384615385
SMALL_POOL_F_REFINED_100K,200000,3,104,0.0,1.1730769230769231,34.40478365384615,72.95081967213115,0.36182024038461513,41.34615384615385
SMALL_POOL_F_REFINED_100K,300000,1,104,0.0,1.0,19.590496794871793,75.0,0.24793759615384597,38.46153846153847
SMALL_POOL_F_REFINED_100K,300000,2,104,0.0,1.1634615384615385,22.882580128205124,72.72727272727273,0.24157778846153835,41.34615384615385
SMALL_POOL_F_REFINED_100K,300000,3,104,0.0,1.1730769230769231,22.936522435897434,72.95081967213115,0.24121349358974348,41.34615384615385
SMALL_POOL_F_REFINED_100K,500000,1,104,0.0,1.0,11.754298076923078,75.0,0.14876255769230756,38.46153846153847
SMALL_POOL_F_REFINED_100K,500000,2,104,0.0,1.1634615384615385,13.729548076923077,72.72727272727273,0.144946673076923,41.34615384615385
SMALL_POOL_F_REFINED_100K,500000,3,104,0.0,1.1730769230769231,13.761913461538462,72.95081967213115,0.14472809615384608,41.34615384615385
SMALL_POOL_F_REFINED_100K,1000000,1,104,0.0,1.0,5.877149038461539,75.0,0.07438127884615378,38.46153846153847
SMALL_POOL_F_REFINED_100K,1000000,2,104,0.0,1.1634615384615385,6.8647740384615386,72.72727272727273,0.0724733365384615,41.34615384615385
