scenario,sample_n,active_signal_dates,entry_price_median,d1_plus1_touch_rate,d1_minus1_touch_rate,d1_minus2_touch_rate,d1_plus1_before_minus1_rate,d1_plus1_before_minus2_rate,d1_plus1_before_minus3_rate,d1_plus1_close_positive_rate,touch1_breakeven_protect_rate,touch1_keep_0_3_rate,touch1_keep_0_5_rate,touch1_then_minus1_rate,touch1_then_minus2_rate,no_touch1_minus2_first_rate,d1_close_avg_net,d1_close_win_rate_net,d1_profit_factor_net
MID_POOL_I_VALUE_REFINED_500K,87,82,197400.0,74.71264367816092,39.08045977011494,26.436781609195403,68.96551724137932,73.5632183908046,74.71264367816092,55.172413793103445,73.5632183908046,73.5632183908046,73.5632183908046,11.494252873563218,6.896551724137931,18.39080459770115,0.5464335424345304,57.47126436781609,1.5437485351454827
SMALL_POOL_F_REFINED_100K,122,104,63500.0,79.50819672131148,45.08196721311475,36.0655737704918,67.21311475409836,72.95081967213115,76.22950819672131,57.377049180327866,72.95081967213115,72.95081967213115,72.95081967213115,22.950819672131146,18.0327868852459,14.754098360655737,1.243526793207724,59.01639344262295,2.2130222055523125
MID_POOL_I_VALUE_BASE,805,275,261500.0,70.55900621118012,57.14285714285714,40.745341614906835,56.8944099378882,64.22360248447205,66.83229813664596,52.17391304347826,64.22360248447205,64.22360248447205,64.22360248447205,20.124223602484474,11.304347826086957,24.347826086956523,0.4080937088888133,51.80124223602485,1.3022513957658506
SMALL_POOL_F_BASE,820,276,56650.0,74.26829268292683,64.39024390243902,50.73170731707317,56.82926829268292,63.29268292682927,68.41463414634147,48.78048780487805,63.29268292682927,63.29268292682927,63.29268292682927,32.80487804878049,23.04878048780488,21.70731707317073,0.07162597230919163,48.41463414634146,1.036663268961435
P0_SIGNAL_LIQUIDITY_BASE,765,255,44850.0,74.50980392156863,64.83660130718954,52.54901960784314,55.032679738562095,61.1764705882353,66.27450980392156,49.54248366013072,61.1764705882353,61.1764705882353,61.1764705882353,36.209150326797385,28.104575163398692,19.477124183006538,0.3999968418595902,50.19607843137255,1.1766399008668118
BELLGUARD_D0_BASE,765,255,19320.0,76.47058823529412,74.77124183006536,62.745098039215684,53.071895424836605,60.91503267973856,66.79738562091502,46.928104575163395,60.91503267973856,60.91503267973856,60.91503267973856,44.31372549019608,34.77124183006536,21.69934640522876,3.9433014635248864,46.1437908496732,2.6959274104024216
V2_D0_BASE,765,255,11250.0,77.90849673202615,77.51633986928105,67.05882352941175,52.28758169934641,59.34640522875817,65.7516339869281,46.1437908496732,59.34640522875817,59.34640522875817,59.34640522875817,48.23529411764706,38.82352941176471,21.176470588235293,8.841917241418743,45.62091503267974,4.502653459055887
