signal_date,rank,rank_num,webhook_rank,stock_code,code,stock_name,name,market,sector,industry,model_id,source_model_id,source_layer,watch_days,selection_policy,selection_model,d0_date,d1_date,trading_day_age,entry_1500_price,entry_price_used,d0_pct_change,d0_trading_value_proxy_eok,d0_volume_vs_20d,d0_value_vs_20d,d0_upper_shadow_ratio,d0_lower_shadow_ratio,d0_range_pct,d0_value_rank,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,signal_trading_value_to_1500_proxy_eok,signal_trading_value_to_1500_eok,signal_turnover_retention_vs_d0,rsi14_signal_1500,signal_rsi14_1500,eod_signal_balanced_score,bellguard_score,source_score,signal_risk_count,threshold_pct,cutoff_label,cutoff_time,traffic_rule,traffic_label,traffic_light,traffic_light_emoji,traffic_light_label_ko,d1_label,minute_available,plus_touch,minus2_touch,minus3_touch,green,yellow,orange,red,gray,red_fast_fail,plus_touch_time,minus2_touch_time,minus3_touch_time,entry_recover_time_after_minus2,plus_before_minus2,profit_before_minus2,success_strict,success_profit_first,success_broad,d1_high_until_cutoff,d1_low_until_cutoff,d1_return_at_cutoff,ret_d1_close,d1_high_return,d1_low_return,d1_rows_until_cutoff,paper_watch_only,orders_enabled,account_api_enabled,source_dataset,outcome_confirmed,pending_reason,cell
2025-04-02,1,1,1,005930,005930,삼성전자,삼성전자,KOSPI,통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",EOD_D0_BASE_VALUE_TOP3,EOD_D0_BASE_VALUE_TOP3_W10,ACTIVE_WATCHLIST,10,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,EOD_D0_BASE_VALUE_TOP3,2025-04-01,2025-04-03,1,58850.0,58850.0,1.730103806228378,8138.923128,0.666062388995665,0.6779504787800679,0.47058823529411764,0.47058823529411764,2.936096718480141,1.0,0.08503401360544505,0.08503401360544505,-1.2583892617449632,92.38476817814221,7525.519078,7525.519078,92.46332665448416,38.46153846153846,38.46153846153846,71.0548128342246,71.0548128342246,71.0548128342246,0,1.3,D1_1500,15:00,D1_1500_PLUS_1P3,RED_FAST_FAIL,RED,🔴,약세,RED_FAST_FAIL,True,False,True,True,False,False,False,True,False,True,,2025-04-03 09:00:00,2025-04-03 09:00:00,,False,False,False,False,False,-1.7841971112999122,-3.313508920985553,-2.633814783347499,-2.1240441801189447,-1.7841971112999122,-3.313508920985553,361,True,False,False,eod_d0_active_watch_1y,True,,🔴 삼성전자(005930)
2025-04-02,2,2,2,484810,484810,티엑스알로보틱스,티엑스알로보틱스,KOSDAQ,일반 목적용 기계 제조업,"물류자동화, 로봇자동화, AMR/AGV",EOD_D0_BASE_VALUE_TOP3,EOD_D0_BASE_VALUE_TOP3_W10,ACTIVE_WATCHLIST,10,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,EOD_D0_BASE_VALUE_TOP3,2025-04-01,2025-04-03,1,23800.0,23800.0,13.98601398601398,3259.418253,,,0.14666666666666667,0.16,17.647058823529417,3.0,-2.6584867075664653,-2.6584867075664653,-4.800000000000004,51.629755829927845,1638.091882,1638.091882,50.257185634040205,41.66666666666667,41.66666666666667,80.3,80.3,80.3,0,1.3,D1_1500,15:00,D1_1500_PLUS_1P3,YELLOW_PROFIT_CHANCE_VOLATILE,YELLOW,🟡,회복,YELLOW_PROFIT_CHANCE_VOLATILE,True,True,True,True,False,True,False,False,False,False,2025-04-03 09:04:00,2025-04-03 11:30:00,2025-04-03 14:52:00,2025-04-03 12:13:00,True,True,False,True,True,6.0924369747899165,-3.7815126050420145,-3.1512605042016806,-2.7310924369747913,6.0924369747899165,-3.7815126050420145,361,True,False,False,eod_d0_active_watch_1y,True,,🟡 티엑스알로보틱스(484810)
2025-04-02,3,3,3,463480,463480,모티브링크,모티브링크,KOSDAQ,전자부품 제조업,"EV용 Main Transformer, EV용 Line Filter",EOD_D0_BASE_VALUE_TOP3,EOD_D0_BASE_VALUE_TOP3_W10,ACTIVE_WATCHLIST,10,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,EOD_D0_BASE_VALUE_TOP3,2025-04-01,2025-04-03,1,15590.0,15590.0,12.962962962962955,2373.05677,2.443655764947089,2.8162696376513194,0.4810810810810811,0.16756756756756758,12.946116165150446,4.0,2.2295081967213193,2.2295081967213193,-3.407682775712517,54.540021391902904,1323.1214292,1323.1214292,55.75599563932892,57.14285714285714,57.14285714285714,76.87469287469287,76.87469287469287,76.87469287469287,0,1.3,D1_1500,15:00,D1_1500_PLUS_1P3,ORANGE_DIP_REBOUND_CHANCE,ORANGE,🟠,불안정 회복,ORANGE_DIP_REBOUND_CHANCE,True,True,True,True,False,False,True,False,False,False,2025-04-03 09:52:00,2025-04-03 09:18:00,2025-04-03 09:20:00,2025-04-03 09:47:00,False,False,False,False,True,2.052597819114821,-4.297626683771649,-3.784477228992944,-3.4637588197562574,2.052597819114821,-4.297626683771649,361,True,False,False,eod_d0_active_watch_1y,True,,🟠 모티브링크(463480)
2025-04-03,1,1,1,005930,005930,삼성전자,삼성전자,KOSPI,통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",EOD_D0_BASE_VALUE_TOP3,EOD_D0_BASE_VALUE_TOP3_W10,ACTIVE_WATCHLIST,10,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,EOD_D0_BASE_VALUE_TOP3,2025-04-01,2025-04-04,2,57300.0,57300.0,1.730103806228378,8138.923128,0.666062388995665,0.6779504787800679,0.47058823529411764,0.47058823529411764,2.936096718480141,1.0,-2.5510204081632626,-2.5510204081632626,-3.8590604026845665,123.3666139130538,9784.573212,9784.573212,120.2195064152718,50.0,50.0,73.77450980392157,73.77450980392157,73.77450980392157,0,1.3,D1_1500,15:00,D1_1500_PLUS_1P3,YELLOW_PROFIT_CHANCE_VOLATILE,YELLOW,🟡,회복,YELLOW_PROFIT_CHANCE_VOLATILE,True,True,True,False,False,True,False,False,False,False,2025-04-04 11:16:00,2025-04-04 13:05:00,,,True,True,False,True,True,1.5706806282722585,-2.7923211169284423,-2.2687609075043635,-2.0942408376963373,1.5706806282722585,-2.7923211169284423,361,True,False,False,eod_d0_active_watch_1y,True,,🟡 삼성전자(005930)
2025-04-03,2,2,2,065500,065500,오리엔트정공,오리엔트정공,KOSDAQ,자동차 신품 부품 제조업,"하우징, 리테이너베어링",EOD_D0_BASE_VALUE_TOP3,EOD_D0_BASE_VALUE_TOP3_W10,ACTIVE_WATCHLIST,10,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,EOD_D0_BASE_VALUE_TOP3,2025-04-02,2025-04-04,1,15910.0,15910.0,21.576128538638105,7978.1339869,3.7097020543458914,6.359232720506725,0.29607250755287007,0.2084592145015106,24.410029498525066,2.0,0.12586532410321372,0.12586532410321372,-5.690574985180796,75.21227522316381,6008.0886861,6008.0886861,75.30694139713884,49.81751824817518,49.81751824817518,87.39224572004028,87.39224572004028,87.39224572004028,0,1.3,D1_1500,15:00,D1_1500_PLUS_1P3,YELLOW_PROFIT_CHANCE_VOLATILE,YELLOW,🟡,회복,YELLOW_PROFIT_CHANCE_VOLATILE,True,True,True,True,False,True,False,False,False,False,2025-04-04 09:00:00,2025-04-04 10:50:00,2025-04-04 11:03:00,2025-04-04 10:50:00,True,True,False,True,True,20.80452545568825,-23.13010685103708,-12.633563796354498,-17.22187303582653,20.80452545568825,-23.13010685103708,350,True,False,False,eod_d0_active_watch_1y,True,,🟡 오리엔트정공(065500)
2025-04-03,3,3,3,098070,098070,한텍,한텍,KOSDAQ,일반 목적용 기계 제조업,"열교환기 등 화공기기, 저장용 탱크",EOD_D0_BASE_VALUE_TOP3,EOD_D0_BASE_VALUE_TOP3_W10,ACTIVE_WATCHLIST,10,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,EOD_D0_BASE_VALUE_TOP3,2025-04-02,2025-04-04,1,32750.0,32750.0,29.95867768595042,3541.7577895,,,0.0,0.08148148148148149,27.327935222672075,4.0,4.133545310015907,4.133545310015907,4.133545310015907,64.69297168747005,2385.97898,2385.97898,67.36708498456737,65.67164179104478,65.67164179104478,64.25,64.25,64.25,0,1.3,D1_1500,15:00,D1_1500_PLUS_1P3,YELLOW_PROFIT_CHANCE_VOLATILE,YELLOW,🟡,회복,YELLOW_PROFIT_CHANCE_VOLATILE,True,True,True,True,False,True,False,False,False,False,2025-04-04 09:00:00,2025-04-04 10:43:00,2025-04-04 10:47:00,2025-04-04 10:43:00,True,True,False,True,True,5.6488549618320505,-8.702290076335872,-5.038167938931293,-7.328244274809159,5.6488549618320505,-8.702290076335872,360,True,False,False,eod_d0_active_watch_1y,True,,🟡 한텍(098070)
2025-04-04,1,1,1,005930,005930,삼성전자,삼성전자,KOSPI,통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",EOD_D0_BASE_VALUE_TOP3,EOD_D0_BASE_VALUE_TOP3_W10,ACTIVE_WATCHLIST,10,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,EOD_D0_BASE_VALUE_TOP3,2025-04-01,2025-04-07,3,56000.0,56000.0,1.730103806228378,8138.923128,0.666062388995665,0.6779504787800679,0.47058823529411764,0.47058823529411764,2.936096718480141,1.0,-2.777777777777779,-4.761904761904767,-6.040268456375841,149.00049892693863,11549.55816,11549.55816,141.9052370732749,50.0,50.0,71.65546218487395,71.65546218487395,71.65546218487395,0,1.3,D1_1500,15:00,D1_1500_PLUS_1P3,RED_FAST_FAIL,RED,🔴,약세,RED_FAST_FAIL,True,False,True,True,False,False,False,True,False,True,,2025-04-07 09:00:00,2025-04-07 09:00:00,,False,False,False,False,False,-3.392857142857142,-5.178571428571432,-4.46428571428571,-5.000000000000004,-3.392857142857142,-5.178571428571432,361,True,False,False,eod_d0_active_watch_1y,True,,🔴 삼성전자(005930)
2025-04-04,2,2,2,065500,065500,오리엔트정공,오리엔트정공,KOSDAQ,자동차 신품 부품 제조업,"하우징, 리테이너베어링",EOD_D0_BASE_VALUE_TOP3,EOD_D0_BASE_VALUE_TOP3_W10,ACTIVE_WATCHLIST,10,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,EOD_D0_BASE_VALUE_TOP3,2025-04-02,2025-04-07,2,13900.0,13900.0,21.576128538638105,7978.1339869,3.7097020543458914,6.359232720506725,0.29607250755287007,0.2084592145015106,24.410029498525066,2.0,-10.553410553410558,-12.523599748269355,-17.605216360403087,106.35598885695119,7422.567891,7422.567891,93.03639050419267,54.05405405405405,54.05405405405405,32.397421703477136,32.397421703477136,32.397421703477136,2,1.3,D1_1500,15:00,D1_1500_PLUS_1P3,ORANGE_DIP_REBOUND_CHANCE,ORANGE,🟠,불안정 회복,ORANGE_DIP_REBOUND_CHANCE,True,True,True,True,False,False,True,False,False,False,2025-04-07 09:02:00,2025-04-07 09:00:00,2025-04-07 09:00:00,2025-04-07 09:02:00,False,False,False,False,True,6.115107913669071,-5.39568345323741,0.9352517985611541,3.3812949640287693,6.115107913669071,-5.39568345323741,360,True,False,False,eod_d0_active_watch_1y,True,,🟠 오리엔트정공(065500)
2025-04-04,3,3,3,098070,098070,한텍,한텍,KOSDAQ,일반 목적용 기계 제조업,"열교환기 등 화공기기, 저장용 탱크",EOD_D0_BASE_VALUE_TOP3,EOD_D0_BASE_VALUE_TOP3_W10,ACTIVE_WATCHLIST,10,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,EOD_D0_BASE_VALUE_TOP3,2025-04-02,2025-04-07,2,31100.0,31100.0,29.95867768595042,3541.7577895,,,0.0,0.08148148148148149,27.327935222672075,4.0,-6.184012066365008,-1.112877583465821,-1.112877583465821,32.5568831504648,1140.25351,1140.25351,32.19456489600812,36.0,36.0,72.1413043478261,72.1413043478261,72.1413043478261,0,1.3,D1_1500,15:00,D1_1500_PLUS_1P3,ORANGE_DIP_REBOUND_CHANCE,ORANGE,🟠,불안정 회복,ORANGE_DIP_REBOUND_CHANCE,True,True,True,True,False,False,True,False,False,False,2025-04-07 12:14:00,2025-04-07 09:00:00,2025-04-07 09:00:00,2025-04-07 12:08:00,False,False,False,False,True,1.7684887459807008,-13.826366559485525,-2.4115755627009627,-4.340836012861738,1.7684887459807008,-13.826366559485525,359,True,False,False,eod_d0_active_watch_1y,True,,🟠 한텍(098070)
2025-04-07,1,1,1,005930,005930,삼성전자,삼성전자,KOSPI,통신 및 방송 장비 제조업,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",EOD_D0_BASE_VALUE_TOP3,EOD_D0_BASE_VALUE_TOP3_W10,ACTIVE_WATCHLIST,10,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,EOD_D0_BASE_VALUE_TOP3,2025-04-01,2025-04-08,4,53500.0,53500.0,1.730103806228378,8138.923128,0.666062388995665,0.6779504787800679,0.47058823529411764,0.47058823529411764,2.936096718480141,1.0,-4.634581105169344,-9.013605442176875,-10.23489932885906,201.2677194559688,14904.50401,14904.50401,183.12624134174033,50.0,50.0,57.29117647058824,57.29117647058824,57.29117647058824,0,1.3,D1_1500,15:00,D1_1500_PLUS_1P3,GREEN_DIRECT_PROFIT_CHANCE,GREEN,🟢,강세,GREEN_DIRECT_PROFIT_CHANCE,True,True,False,False,True,False,False,False,False,False,2025-04-08 09:00:00,,,,True,True,True,True,True,3.364485981308407,-0.37383177570093906,-0.18691588785046953,0.0,3.364485981308407,-0.37383177570093906,361,True,False,False,eod_d0_active_watch_1y,True,,🟢 삼성전자(005930)
