signal_date,rank,rank_num,webhook_rank,stock_code,code,stock_name,name,market,sector,industry,model_id,source_model_id,source_layer,watch_days,selection_policy,selection_model,d0_date,d1_date,trading_day_age,entry_1500_price,entry_price_used,d0_pct_change,d0_trading_value_proxy_eok,d0_volume_vs_20d,d0_value_vs_20d,d0_upper_shadow_ratio,d0_lower_shadow_ratio,d0_range_pct,d0_value_rank,signal_day_pct_change_1500,signal_vs_d0_close_pct,signal_vs_d0_high_pct,signal_volume_retention_vs_d0,signal_trading_value_to_1500_proxy_eok,signal_trading_value_to_1500_eok,signal_turnover_retention_vs_d0,rsi14_signal_1500,signal_rsi14_1500,eod_signal_balanced_score,bellguard_score,source_score,signal_risk_count,threshold_pct,cutoff_label,cutoff_time,traffic_rule,traffic_label,traffic_light,traffic_light_emoji,traffic_light_label_ko,d1_label,minute_available,plus_touch,minus2_touch,minus3_touch,green,yellow,orange,red,gray,red_fast_fail,plus_touch_time,minus2_touch_time,minus3_touch_time,entry_recover_time_after_minus2,plus_before_minus2,profit_before_minus2,success_strict,success_profit_first,success_broad,d1_high_until_cutoff,d1_low_until_cutoff,d1_return_at_cutoff,ret_d1_close,d1_high_return,d1_low_return,d1_rows_until_cutoff,paper_watch_only,orders_enabled,account_api_enabled,source_dataset,outcome_confirmed,pending_reason,cell
2026-05-26,1,1,1,080220,080220,제주반도체,제주반도체,KOSDAQ,반도체 제조업,"모바일용 LP DDR SDRAM, CRAM, SRAM",EOD_D0_BASE_VALUE_TOP3,EOD_D0_BASE_VALUE_TOP3_W10,ACTIVE_WATCHLIST,10,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,EOD_D0_BASE_VALUE_TOP3,2026-05-15,,6,118800.0,118800.0,8.86243386243386,8896.787193,2.259405730986927,3.30627039223435,0.37777777777777777,0.2722222222222222,25.31645569620253,9.0,0.08424599831506896,44.34993924665858,33.33333333333333,29.334292058299432,,,,57.142857142857146,57.142857142857146,37.75,37.75,37.75,,1.3,D1_1500,15:00,D1_1500_PLUS_1P3,GRAY_PENDING_OR_INSUFFICIENT,GRAY,⚪,보류,GRAY_PENDING_OR_INSUFFICIENT,False,False,False,False,False,False,False,False,True,False,,,,,False,False,False,False,False,,,,,,,0,True,False,False,eod_d0_active_watch_1y,False,waiting_for_d1_1500_1p3_relabel,⚪ 제주반도체(080220)
2026-05-26,2,2,2,100790,100790,미래에셋벤처투자,미래에셋벤처투자,KOSDAQ,기타 금융업,중소기업 창업투자 관련 고유계정/투자조합 관련 수익,EOD_D0_BASE_VALUE_TOP3,EOD_D0_BASE_VALUE_TOP3_W10,ACTIVE_WATCHLIST,10,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,EOD_D0_BASE_VALUE_TOP3,2026-05-18,,5,61000.0,61000.0,22.768670309653928,7995.26771,2.3338763442560055,2.9203295236117524,0.038461538461538464,0.3076923076923077,18.118466898954704,10.0,8.92857142857142,-9.495548961424326,-10.029498525073743,36.11722402225854,,,,64.28571428571428,64.28571428571428,72.0,72.0,72.0,,1.3,D1_1500,15:00,D1_1500_PLUS_1P3,GRAY_PENDING_OR_INSUFFICIENT,GRAY,⚪,보류,GRAY_PENDING_OR_INSUFFICIENT,False,False,False,False,False,False,False,False,True,False,,,,,False,False,False,False,False,,,,,,,0,True,False,False,eod_d0_active_watch_1y,False,waiting_for_d1_1500_1p3_relabel,⚪ 미래에셋벤처투자(100790)
2026-05-26,3,3,3,319400,319400,현대무벡스,현대무벡스,KOSDAQ,일반 목적용 기계 제조업,"물류자동화, IT서비스",EOD_D0_BASE_VALUE_TOP3,EOD_D0_BASE_VALUE_TOP3_W10,ACTIVE_WATCHLIST,10,EOD_D0_BASE_VALUE_TOP3__WATCH10D__D0_VALUE_DESC,EOD_D0_BASE_VALUE_TOP3,2026-05-12,,9,37700.0,37700.0,9.819121447028433,7332.024775,5.422102450595762,6.75089003731712,0.5545023696682464,0.3791469194312796,27.91005291005291,12.0,0.8021390374331583,-11.29411764705882,-22.026887280248186,6.96409301208342,,,,58.33333333333333,58.33333333333333,43.0,43.0,43.0,,1.3,D1_1500,15:00,D1_1500_PLUS_1P3,GRAY_PENDING_OR_INSUFFICIENT,GRAY,⚪,보류,GRAY_PENDING_OR_INSUFFICIENT,False,False,False,False,False,False,False,False,True,False,,,,,False,False,False,False,False,,,,,,,0,True,False,False,eod_d0_active_watch_1y,False,waiting_for_d1_1500_1p3_relabel,⚪ 현대무벡스(319400)
