signal_date,1위,2위,3위,selected_count,plus_touch_count,green_count,yellow_count,orange_count,red_count,gray_count,red_fast_count,confirmed_count,profit_before_minus2_count,success_broad_count,avg_d1_return_at_cutoff,avg_ret_d1_close,avg_d1_high_until_cutoff,avg_d1_low_until_cutoff,pending_count,plus_touch_rate_pct,profit_before_minus2_rate_pct,success_broad_rate_pct,traffic_preference_bucket
2026-05-28,⚪ 제주반도체(080220),⚪ 대한광통신(010170),⚪ SK네트웍스(001740),3,0,0,0,0,0,3,0,0,0,0,,,,,3,0.0,0.0,0.0,E_NO_1P3_REACH_AVOID
2026-05-27,🟠 제주반도체(080220),🟠 대한광통신(010170),🟠 미래에셋벤처투자(100790),3,2,0,0,3,0,0,0,3,0,3,-7.404954778475466,,2.3053871318568766,-11.181254708161466,0,66.66666666666666,0.0,100.0,C_REACHED_BUT_VOLATILE
2026-05-26,🟡 제주반도체(080220),🟡 미래에셋벤처투자(100790),🟠 현대무벡스(319400),3,3,0,2,1,0,0,0,3,2,3,-6.406529285745414,,2.9477245531513545,-8.56298828222702,0,100.0,66.66666666666666,100.0,B_PROFIT_FIRST_PREFERRED
2026-05-22,🟡 대한전선(001440),🟡 제주반도체(080220),🟢 미래에셋벤처투자(100790),3,3,1,2,0,0,0,0,3,3,3,1.287344452238063,,8.917010885095992,-2.88117320032214,0,100.0,100.0,100.0,B_PROFIT_FIRST_PREFERRED
2026-05-21,🟢 미래에셋증권(006800),🟡 대한전선(001440),🟢 삼성E&A(028050),3,3,2,1,0,0,0,0,3,3,3,0.527346582343402,,4.063138462704652,-0.5504482381925913,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2026-05-20,🟢 미래에셋증권(006800),🟢 대한전선(001440),🟢 삼성E&A(028050),3,3,3,0,0,0,0,0,3,3,3,8.483336527370641,,9.672026655817575,3.817040801988673,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2026-05-19,⚪ 미래에셋증권(006800),⚪ 대한전선(001440),⚪ 삼성E&A(028050),3,0,0,0,0,0,3,0,3,0,0,,,,,0,0.0,0.0,0.0,E_NO_1P3_REACH_AVOID
2026-05-18,🟠 대한광통신(010170),🔴 미래에셋증권(006800),🔴 대한전선(001440),3,1,0,0,1,2,0,2,3,0,1,-6.408900855502161,-7.083595724562475,1.2892546690046987,-8.288292080881,0,33.33333333333333,0.0,33.33333333333333,D_ONE_REACH_CAUTION
2026-05-15,🟠 대한광통신(010170),🟢 미래에셋증권(006800),🟠 대한전선(001440),3,2,1,0,2,0,0,0,3,1,3,2.3904244994327937,2.2810410568824673,6.606398860967921,-5.9929527511670715,0,66.66666666666666,33.33333333333333,100.0,C_REACHED_BUT_VOLATILE
2026-05-14,🟡 대한광통신(010170),🟡 미래에셋증권(006800),🔴 대한전선(001440),3,2,0,2,0,1,0,1,3,2,2,-8.62842168675944,-5.968703791535309,2.99237363357275,-8.679157353933464,0,66.66666666666666,66.66666666666666,66.66666666666666,C_REACHED_BUT_VOLATILE
2026-05-13,🟡 대한광통신(010170),🟢 대한전선(001440),🟡 한온시스템(018880),3,3,1,2,0,0,0,0,3,3,3,-1.0493411437228077,-0.5217864980294825,5.4443336107666385,-5.2581366748943426,0,100.0,100.0,100.0,B_PROFIT_FIRST_PREFERRED
2026-05-12,🔴 대한광통신(010170),🟠 대한전선(001440),🟠 한온시스템(018880),3,2,0,0,2,1,0,1,3,0,2,-5.51743572430932,-5.755396975968722,0.009894210952225238,-7.6689777975512285,0,66.66666666666666,0.0,66.66666666666666,C_REACHED_BUT_VOLATILE
2026-05-11,⚪ 미래에셋증권(006800),🟡 대한광통신(010170),🟠 대한전선(001440),3,1,0,1,1,0,1,0,3,1,2,-0.531067034639293,-1.8628986872170186,7.941115782414688,-12.42662041216373,0,33.33333333333333,33.33333333333333,66.66666666666666,D_ONE_REACH_CAUTION
2026-05-08,🟡 대한전선(001440),🟢 대한광통신(010170),🟢 미래에셋증권(006800),3,3,2,1,0,0,0,0,3,3,3,6.8691631191631215,7.4550495660909695,13.454786807986308,-0.6388725648449648,0,100.0,100.0,100.0,A_CLEAN_PREFERRED
2026-05-07,🟡 대한전선(001440),🟠 미래에셋증권(006800),🟠 제주반도체(080220),3,2,0,1,2,0,0,0,3,1,3,4.049641215323333,3.8683912308450363,7.189867262412766,-3.4403238363776754,0,66.66666666666666,33.33333333333333,100.0,C_REACHED_BUT_VOLATILE
